algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.6784456507364909,356.32946159929037,0.0,82.41965870903088,192.0571060180664,1000.0,0.0,0.0,136,237,30264,343,202.73390080378607,0.0,1436.3325232802924,0.0,2.5358737510874714,0.0,0.8980868007949447,0.0,0.8980868007949447,0.0,0.49087038392630905,0.0,202.73390080378607,0.0,2.5358737510874714,1.034605489979118,0.49087038392630905,0.8980868007949447,8.785135701497396,62.24107600881267
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.6717843154072761,3452.7344215581816,0.32511221579858307,38.853027403354645,710.9483676147461,1000.0,0.8181818181818182,0.2385845618223695,256,7,30099,544,234.4276466369629,0.0,1578.258756623837,0.0,2.5548999695296883,0.0,1.0407796999444832,0.0,1.0407796999444832,0.0,0.23343145521357656,0.0,234.4276466369629,0.0,2.5548999695296883,1.0351779162347583,0.23343145521357656,1.0407796999444832,9.377105865478516,63.13035026495347
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.6581299840286374,279881.3271776993,0.1,40.555493351291204,2244.433142089844,1000.0,0.0625,0.09090909090909091,284,707,30244,59,234.51277340159697,0.0,1172.7799122225242,0.0,2.5582930991927326,0.0,1.0396419214269146,0.0,1.0396419214269146,0.0,0.21596732861636317,0.0,234.51277340159697,0.0,2.5582930991927326,1.0348940080593054,0.21596732861636317,1.0396419214269146,13.289057159423828,66.45752835927638
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,5.194253122102357,0.6457596495002508,16944133.680556655,0.0,41.980469807982445,12185.7571875,1000.0,0.0,0.0,308,470,30006,28,231.66414701021634,0.0,846.3557133171762,0.0,2.563127254928611,0.0,1.0280677358740222,0.0,1.0280677358740222,0.0,0.21809849422425032,0.0,231.66414701021634,0.0,2.563127254928611,1.0345366449080975,0.21809849422425032,1.0280677358740222,10.038779703776042,36.67541424374431
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,5.199425998052196,0.6358499843751391,910227934.2997135,0.0,42.49268860220909,94304.904453125,1000.0,0.0,0.0,1241,344,28967,14,225.47872924804688,0.0,1857.989691243984,0.0,2.5841578211330147,0.0,0.998637305928488,0.0,0.998637305928488,0.0,0.25679358378984035,0.0,225.47872924804688,0.0,2.5841578211330147,1.0349003887552268,0.25679358378984035,0.998637305928488,7.515957641601562,61.932989708132794
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,5.203509058533325,0.6172956500947475,69225522560.46547,0.18697348888192716,60.7998143196106,743432.80125,1000.0,0.1639350355526826,0.18551654184194613,5815,577,24541,123,205.6585250854492,0.0,1777.7079874526123,0.0,2.659224834796014,0.0,0.9118581321915308,0.0,0.9118581321915308,0.0,0.3998643675819039,0.0,205.6585250854492,0.0,2.659224834796014,1.0337626037726546,0.3998643675819039,0.9118581321915308,13.710568339029948,118.51386583017415
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,5.203509058533325,0.5945866522441308,4485260590930.166,0.16030620115502145,45.193601901332535,4661816.605,1000.0,0.2361852328957592,0.10190462705050472,5613,973,25072,118,219.64615376790366,0.0,1662.9434287417062,0.0,2.700209888811455,0.0,0.9737382180333679,0.0,0.9737382180333679,0.0,0.26686880361133564,0.0,219.64615376790366,0.0,2.700209888811455,1.0295899598120442,0.26686880361133564,0.9737382180333679,17.571692301432293,133.0354742993365
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,5.203509058533325,0.5909783186763525,189564205973800.12,0.0943427721744874,37.552054993311565,34949298.08,1000.0,0.2248963998963999,0.054839986482498555,3393,520,26950,39,221.4654571533203,0.0,1489.2189107866839,0.0,2.720027279207668,0.0,0.9814649891075876,0.0,0.9814649891075876,0.0,0.2349689490472277,0.0,221.4654571533203,0.0,2.720027279207668,1.0278125828029727,0.2349689490472277,0.9814649891075876,11.073272857666016,74.4609455393342
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,5.203509058533325,0.586989652266105,7560965764344738.0,0.2486822125223221,32.13133020699024,212613979.36,1000.0,0.4667376705420183,0.1562888034768759,7065,514,23302,23,226.53193791707358,0.0,583.6347568956321,0.0,2.7239802031324505,0.0,1.0056524447348731,0.0,1.0056524447348731,0.0,0.16758177378991,0.0,226.53193791707358,0.0,2.7239802031324505,1.0270419361198302,0.16758177378991,1.0056524447348731,9.061277516682942,23.345390275825284
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,61,5.20606615556614,0.5780973186095556,2.92730771201405e+17,0.13321786564271065,49.72731256484985,1598552088.96,1000.0,0.11909722222222222,0.12368447942916028,2953,458,27319,72,211.1047306060791,0.0,1384.0294170071952,0.0,2.751282785710426,0.0,0.9365399394805884,0.0,0.9365399394805884,0.0,0.2829050160944462,0.0,211.1047306060791,0.0,2.751282785710426,1.023325170806186,0.2829050160944462,0.9365399394805884,11.258918965657552,73.81490224038374
