algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,1.8762500527937753,0.8675176450113455,0.5455595477422078,0.06365532366322828,1.7689354744824497,6.806468667984009,1000.0,0.8166666666666667,0.023820695371924556,370,95,30014,435,1.4487945309661354,0.0,277.69534717906606,0.0,277.69534717906606,0.0,1.2308911746940452,0.0,1.2308911746940452,0.0,10010.964769410626,0.0,0.8046764731407166,0.0,1.4487945309661354,0.4804411039688913,0.8046764731407166,1.2308911746940452,10.182162729899089,367.068708211723
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,1.8762500527937753,0.8576116452614466,2.7870428918798766,0.14452003023431592,1.862476912828592,12.427937512397767,1000.0,0.6,0.027050762936373984,142,6,30258,574,1.463571023881006,0.0,271.52330369215747,0.0,271.52330369215747,0.0,1.2030632213143728,0.0,1.2030632213143728,0.0,9514.262770758653,0.0,0.8281901524617121,0.0,1.463571023881006,0.467561709118817,0.8281901524617121,1.2030632213143728,11.766009826660156,412.28472006620837
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,1.8762500527937753,0.8414443123340607,47.88996721496185,0.3689160076391604,1.3665689329306285,49.489969902038574,1000.0,0.8181818181818182,0.2704446194102058,458,5,29897,546,1.470986474470798,0.0,285.7754440307617,0.0,285.7754440307617,0.0,1.2688928713133505,0.0,1.2688928713133505,0.0,10976.83468252986,0.0,0.7603572805722555,0.0,1.470986474470798,0.4607351010088165,0.7603572805722555,1.2688928713133505,11.43101776123047,439.07338730119443
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,1.8762500527937753,0.817746980873247,5348.7469919312,0.09090909090909091,1.7202095249119926,209.34219314575196,1000.0,0.0625,0.07575757575757576,59,700,30469,66,1.4740272941449062,0.0,294.4693603515625,0.0,294.4693603515625,0.0,1.3056019131844498,0.0,1.3056019131844498,0.0,10318.320501718104,0.0,0.7206621827448115,0.0,1.4740272941449062,0.4615154183748244,0.7206621827448115,1.3056019131844498,16.68659708658854,584.7048284306926
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,1.8762500527937753,0.7995229816064239,388600.0426772801,0.0,1.4043145867494435,1515.9332379150392,1000.0,0.0,0.0,293,468,30021,30,1.4758404440340307,0.0,309.0296231783353,0.0,309.0296231783353,0.0,1.3712046676308203,0.0,1.3712046676308203,0.0,9080.926089054503,0.0,0.6523422088760596,0.0,1.4758404440340307,0.4617437049809305,0.6523422088760596,1.3712046676308203,13.391283671061197,393.5067971923618
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,1.8762500527937753,0.7838866479198138,23973055.60237363,0.054529510648906494,1.3619031012058258,13247.398754882812,1000.0,0.23452380952380955,0.0316034889603547,3049,339,27159,19,1.4839502430589595,0.0,276.5569808959961,0.0,276.5569808959961,0.0,1.2248852963207173,0.0,1.2248852963207173,0.0,11314.462881684532,0.0,0.7925319492816925,0.0,1.4839502430589595,0.45463870706554826,0.7925319492816925,1.2248852963207173,9.218566029866537,377.14876272281776
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,1.8797861961684583,0.7705213135108352,1185736458.9152963,0.13200197957651624,1.3085248139221222,92243.0778515625,1000.0,0.11325757575757574,0.13264146572756397,1991,581,28365,119,1.5133117063187742,0.0,289.38037261962893,0.0,289.38037261962893,0.0,1.2828003868552043,0.0,1.2828003868552043,0.0,9201.89861770358,0.0,0.7316410067956894,0.0,1.5133117063187742,0.4238851710278347,0.7316410067956894,1.2828003868552043,19.292024841308592,613.4599078469054
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,1.8862078189611433,0.73831697966593,93208041383.3237,0.004769589384974,1.4559405418112874,667794.5559375,1000.0,0.010559006211180125,0.0025933378046054103,1071,964,29614,127,1.531283275495523,0.0,290.55342864990234,0.0,290.55342864990234,0.0,1.2882240406513246,0.0,1.2882240406513246,0.0,10581.124636305167,0.0,0.7224515086660782,0.0,1.531283275495523,0.4073419466949745,0.7224515086660782,1.2882240406513246,23.244274291992188,846.4899709044134
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,1.8930073716214089,0.7297826470155269,2528323172756.6357,0.17408328811837584,1.0122486459401747,4086015.20125,1000.0,0.27080327080327077,0.10811926629286767,5181,518,25162,41,1.5394838003480884,0.0,327.36595764160154,0.0,327.36595764160154,0.0,1.4509245253036236,0.0,1.4509245253036236,0.0,8771.982442387012,0.0,0.5567761440140505,0.0,1.5394838003480884,0.398664366822497,0.5567761440140505,1.4509245253036236,16.36829788208008,438.5991221193506
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,1.8930073716214089,0.7233116496540606,112714810442432.45,0.023672839506172837,1.0340736297269661,28354913.67,1000.0,0.09833333333333334,0.011645415298383335,2078,511,28289,26,1.5412203949494092,0.0,358.42955271402997,0.0,358.42955271402997,0.0,1.5913837939854538,0.0,1.5913837939854538,0.0,6133.551132963869,0.0,0.4123064087082942,0.0,1.5412203949494092,0.3989854590457577,0.4123064087082942,1.5913837939854538,14.337182108561198,245.3420453185548
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,61,1.9077995488433241,0.7108193156681955,3147011061018569.0,0.29277813641848727,1.580819245427847,163810424.08,1000.0,0.2663940226440226,0.23671703001490238,8022,458,22250,72,1.548694113435648,0.0,303.7398986816406,0.0,303.7398986816406,0.0,1.3475635994071247,0.0,1.3475635994071247,0.0,10106.375214593289,0.0,0.6515218450222164,0.0,1.548694113435648,0.38956734844801433,0.6515218450222164,1.3475635994071247,16.199461263020833,539.006678111642
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,62,1.915820271864966,0.6961619828920811,1.947629761456643e+17,0.04888359859698913,1.2666757728438824,1153459344.0,1000.0,0.1510204081632653,0.028241355594868168,2915,682,27577,38,1.563580519502712,0.0,301.0988836288452,0.0,301.0988836288452,0.0,1.3347517321104658,0.0,1.3347517321104658,0.0,9043.40900573077,0.0,0.6603294181404635,0.0,1.563580519502712,0.3699008529926913,0.6603294181404635,1.3347517321104658,16.058607126871745,482.31514697230773
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,63,1.9186684679630466,0.6825879819815358,9.25459048143251e+18,0.2506944955548338,1.140273676891076,6812604638.72,1000.0,0.3243776020647066,0.1822190356224031,7810,752,22731,77,1.56695492797138,0.0,346.5606175472862,0.0,346.5606175472862,0.0,1.5358156323051697,0.0,1.5358156323051697,0.0,8115.059643706047,0.0,0.45389318392661054,0.0,1.56695492797138,0.37028863985810145,0.45389318392661054,1.5358156323051697,21.948839111328127,513.9537774347162
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,64,1.9331750114016428,0.6616149809459845,4.797598774021273e+20,0.2573392655069299,1.4680881183594465,46784227758.08,1000.0,0.518276551077602,0.16770781363733367,7858,1131,23050,31,1.5752395836620503,0.0,328.74126603868274,0.0,328.74126603868274,0.0,1.455972375566594,0.0,1.455972375566594,0.0,8333.676801083924,0.0,0.5298676658421755,0.0,1.5752395836620503,0.35942561968205455,0.5298676658421755,1.455972375566594,19.724475962320962,500.0206080650354
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,65,1.9331750114016428,0.6519939836859703,1.6961110984520075e+22,0.2626684634095879,0.9040122969370139,276662651043.84,1000.0,0.4328765082188544,0.1747444727020192,8949,850,21685,64,1.5769179861602276,0.0,365.4191525107936,0.0,365.4191525107936,0.0,1.6224646233242404,0.0,1.6224646233242404,0.0,6480.171079812085,0.0,0.3568340984026068,0.0,1.5769179861602276,0.3599053926401758,0.3568340984026068,1.6224646233242404,23.14321299235026,410.41083505476536
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,66,1.9331750114016428,0.6480479846398036,4.953302262792161e+23,0.351249511091121,1.1058632964268327,1884648681635.84,1000.0,0.47621944680215356,0.24516083361197105,7915,627,22539,65,1.579001377678488,0.0,339.2469644546509,0.0,339.2469644546509,0.0,1.503639227119595,0.0,1.503639227119595,0.0,7246.457089781463,0.0,0.47260027355514467,0.0,1.579001377678488,0.36081035709927034,0.47260027355514467,1.503639227119595,18.09317143758138,386.47771145501133
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,67,1.9626497357087331,0.6321689839909475,1.8921369292197979e+25,0.34019239855052424,1.3159168303012847,11073164452823.04,1000.0,0.40725385246936974,0.24881210494461117,9245,653,21209,123,1.6022360480844933,0.0,301.84504623413085,0.0,301.84504623413085,0.0,1.338353806716778,0.0,1.338353806716778,0.0,9598.953209599222,0.0,0.6364129020366818,0.0,1.6022360480844933,0.326692112897725,0.6364129020366818,1.338353806716778,20.12300308227539,639.9302139732815
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,68,1.9734259423145388,0.6124133175238967,1.1029723653675602e+27,0.36706863611642826,1.5477337361801238,76738688020643.84,1000.0,0.45169030344158095,0.3015565555821942,9286,927,21412,91,1.611870961913776,0.0,319.5320507231213,0.0,319.5320507231213,0.0,1.4168257717868584,0.0,1.4168257717868584,0.0,8839.494056046979,0.0,0.5521243102405042,0.0,1.611870961913776,0.3143056332697601,0.5521243102405042,1.4168257717868584,22.36724355061849,618.7645839232885
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,69,1.9846873428025587,0.6132936508456865,1.54995202370911e+28,0.44363362696727887,0.9194068908691406,443572891670282.25,1000.0,0.4582291666666667,0.2929425997852722,9852,328,20365,17,1.619035574701115,0.0,329.60933770073785,0.0,329.60933770073785,0.0,1.4596083757083504,0.0,1.4596083757083504,0.0,7905.971192480173,0.0,0.5039226135445966,0.0,1.619035574701115,0.30126045815017355,0.5039226135445966,1.4596083757083504,9.888280131022135,237.17913577440524
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,70,1.9846873428025587,0.621341650908192,4.5555126877151076e+29,0.18934569952011815,1.3885080516338348,3151502637216563.0,1000.0,0.18095238095238095,0.12224812224812225,10273,163,19774,22,1.6211044323204755,0.0,336.38935470581055,0.0,336.38935470581055,0.0,1.4882656229299847,0.0,1.4882656229299847,0.0,7577.25320954812,0.0,0.4699661280028522,0.0,1.6211044323204755,0.3010076228305557,0.4699661280028522,1.4882656229299847,8.970382792154949,202.06008558794986
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,71,1.9846873428025587,0.611818984473745,3.3407585123933414e+31,0.3441332826434493,1.2484708361327648,1.8107901966150532e+16,1000.0,0.574978354978355,0.32653042464033616,9439,316,20742,23,1.6230975241372734,0.0,322.15941162109374,0.0,322.15941162109374,0.0,1.4308003322842098,0.0,1.4308003322842098,0.0,8127.597708911237,0.0,0.5246246915310622,0.0,1.6230975241372734,0.3010099748951558,0.5246246915310622,1.4308003322842098,10.73864705403646,270.91992363037457
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,72,1.9846873428025587,0.6041939842949311,inf,0.33108307448793367,1.583718834320704,1.2989159118144013e+17,1000.0,0.6940632594227365,0.21469001231815227,9751,581,20690,68,1.627590772779112,0.0,304.00804646809894,0.0,304.00804646809894,0.0,1.345979732175596,0.0,1.345979732175596,0.0,10369.505879642085,0.0,0.6079177935918172,0.0,1.627590772779112,0.30157739255023835,0.6079177935918172,1.345979732175596,15.200402323404948,518.4752939821043
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,73,1.9881652713320788,0.5884759846081337,inf,0.2663004150199549,1.4454160041175783,7.418493222772539e+17,1000.0,0.3030137148713,0.18546811728747384,9206,745,21312,79,1.6302941499182453,0.0,329.39068603515625,0.0,329.39068603515625,0.0,1.4610164341493648,0.0,1.4610164341493648,0.0,7961.388236222758,0.0,0.4844008725136518,0.0,1.6302941499182453,0.3024507517021036,0.4844008725136518,1.4610164341493648,21.959379069010417,530.7592157481838
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,74,2.0483321830877186,0.5897459851702055,inf,0.24713522662035617,0.6098126656065385,5.359562516414753e+18,1000.0,0.5431568887816604,0.1636769815710293,8388,729,22158,45,1.6379044041008763,0.0,368.14727986653645,0.0,368.14727986653645,0.0,1.6323955410509874,0.0,1.6323955410509874,0.0,4588.01014890841,0.0,0.30153137507538,0.0,1.6379044041008763,0.28821403849471106,0.30153137507538,1.6323955410509874,18.407363993326822,229.40050744542052
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,75,2.0483321830877186,0.5831216519574324,nan,0.6454804445448423,1.2123092538011926,nan,1000.0,0.75,0.48035796877105813,12804,13,17640,635,1.6388538431491533,0.0,340.6395023890904,0.0,340.6395023890904,0.0,1.5095068060053942,0.0,1.5095068060053942,0.0,8473.424749093701,0.0,0.4246752804943493,0.0,1.6388538431491533,0.2883062262665794,0.4246752804943493,1.5095068060053942,15.896510111490885,395.42648829103933
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,76,2.0771796393425395,0.5830539847662052,nan,0.458263695219816,1.088181718382657,nan,1000.0,0.4991980254680484,0.33120061343066365,11522,657,18967,54,1.647447632020229,0.0,342.5474910736084,0.0,342.5474910736084,0.0,1.5197630589280666,0.0,1.5197630589280666,0.0,5686.657914382287,0.0,0.40920660295523703,0.0,1.647447632020229,0.27387909920009607,0.40920660295523703,1.5197630589280666,18.26919952392578,303.2884221003887
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,77,2.0771796393425395,0.5807359845936299,nan,0.4380985809557238,1.6500990184790947,nan,1000.0,0.3249072874648322,0.3050634039017197,11579,403,18662,124,1.6514967584536226,0.0,310.8041507496553,0.0,310.8041507496553,0.0,1.3783777495296743,0.0,1.3783777495296743,0.0,9443.721138672136,0.0,0.5528650473365012,0.0,1.6514967584536226,0.2736602795535919,0.5528650473365012,1.3783777495296743,17.612235209147137,535.1441978580878
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,78,2.0771796393425395,0.5807219839841128,nan,0.45874202286581117,0.865301944992759,nan,1000.0,0.636599884001303,0.32590284957585425,11528,655,18985,6,1.6518744652366888,0.0,362.7661229913885,0.0,362.7661229913885,0.0,1.6106020409123303,0.0,1.6106020409123303,0.0,4084.289158550738,0.0,0.30397633488544007,0.0,1.6518744652366888,0.2738530942545422,0.30397633488544007,1.6106020409123303,13.301424509684244,149.75726914686038
