algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,0.6292421547770127,0.8707613110542297,0.445490134259065,nan,2.848532944917679,19.179577431678773,1000.0,0.0,nan,0,57,0,30753,0.7990879466136297,0.6870207384228706,14214.041772708895,638.8355170450466,0.29408001788300947,0.6080416542752457,2.5900925308317904,2.83179585795517,583.9474105834961,638.8355026245117,2.5900925308317904,2.83179585795517,583.9474105834961,638.8355026245117,0.41966467243990396,0.19484996928318854,0.6933641653015928,2.81811453755196,269.5489389038086,596.6712093630322
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,0.6369865931923858,0.8702086436748505,0.445977087020874,nan,3.076578508252683,19.066471791267396,1000.0,0.0,nan,0,251,0,32105,0.7602207893910615,0.6758009651303292,15336.227382754065,637.8177674173404,0.29909528799000623,0.6146087624208912,2.647314146668492,2.8275767233533657,597.5821320906929,637.81775390625,2.647314146668492,2.8275767233533657,597.5821320906929,637.81775390625,0.42530067776236025,0.1950492569456605,0.6845079425204496,2.808984619031607,282.61587963867186,960.5935665736233
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,0.6442689703812251,0.870805311401685,0.4426859285434087,nan,3.018842786550522,18.954450426101683,1000.0,0.0,nan,0,58,0,30716,0.7963434954484304,0.6652130024135112,16090.339102483556,636.4430707575068,0.3033585367096787,0.621214570793916,2.544607208609849,2.8218254985317994,573.5805969238281,636.4430578613282,2.544607208609849,2.8218254985317994,573.5805969238281,636.4430578613282,0.4305009503433736,0.195395794756383,0.6726354831513369,2.806133897215463,268.34315747070315,640.745366762608
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,0.6521399934874382,0.8715656451384226,0.4390189098318418,nan,2.2698078652222953,18.5408203125,1000.0,0.0,nan,0,91,0,30839,0.8067752619584402,0.644670653194189,17414.79311943179,640.1153736799864,0.30868095720034744,0.6277412049769983,2.4974539542417116,2.8367435978871858,562.7662099202474,640.1153604125976,2.4974539542417116,2.8367435978871858,562.7662099202474,640.1153604125976,0.4363050563110078,0.1948948451445894,0.6538463857657505,2.8175385237185737,269.552533203125,674.0011843383576
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,0.6605216461075409,0.8719383110602696,0.43685424715280535,nan,3.0275485298850318,18.339169178009033,1000.0,0.0,nan,0,33,0,30235,0.7950037717819214,0.6320829710364342,16264.617488388596,639.74034886666,0.3142575972964968,0.6342780656868253,2.496996789356255,2.834601760105762,563.0711309259588,639.740337524414,2.496996789356255,2.834601760105762,563.0711309259588,639.740337524414,0.4422657846526282,0.19442232765798245,0.6405764724970994,2.8170015009671623,268.28369989013675,613.7177242912131
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,0.6690527985799763,0.8713049775362015,0.4373891794681549,nan,2.999097848931948,18.2597652053833,1000.0,0.0,nan,0,277,0,31125,0.7033285436530908,0.6241596183180809,17147.431713735205,636.528601538364,0.31895984838068936,0.6408831413847423,2.660230708268505,2.8226524268047877,600.5845375061035,636.528588256836,2.660230708268505,2.8226524268047877,600.5845375061035,636.528588256836,0.4477291655823105,0.19522890175674198,0.6326420031754034,2.8052500998187577,283.43949310302736,1077.6881628746353
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,0.6782808710579031,0.8718246440092723,0.4348335955540339,nan,2.776924344209524,17.979093961715698,1000.0,0.0,nan,0,227,0,30431,0.8160519462365371,0.6097929887473583,15872.664794379267,636.8010011950075,0.3237803285933837,0.6474887454454504,2.4048005065478253,2.8237476418324445,541.9372722919171,636.8009915161133,2.4048005065478253,2.8237476418324445,541.9372722919171,636.8009915161133,0.4532636953342104,0.19549382418992756,0.6223815636175899,2.79817809836437,268.81076568603515,667.409685131864
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,0.6870704271512191,0.8716513111193975,0.4345466684301694,nan,3.2520690679550173,17.712313232421874,1000.0,0.0,nan,0,495,0,30571,0.7838815530141194,0.5963477256894112,16733.567538288506,636.7153166011204,0.3289144115680317,0.6541094963375916,2.445565720105096,2.822688771401711,551.0597106933594,636.7153021240234,2.445565720105096,2.822688771401711,551.0597106933594,636.7153021240234,0.45899244547585566,0.19557168772508574,0.6094314810841582,2.796377860846133,271.21791217041016,756.6931527891035
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,0.6956892073137488,0.8704423109690348,0.4375359978278478,nan,3.9436426059059473,17.253970079421997,1000.0,0.0,nan,0,732,0,30694,0.7671466081038766,0.5768820343911648,16035.167496922671,639.1231936360772,0.3313342130149924,0.6606602351700773,2.4545503857398168,2.833357781549381,553.6452411154042,639.1231814575195,2.4545503857398168,2.833357781549381,553.6452411154042,639.1231814575195,0.4630646218770263,0.19754193763649297,0.5965057348189332,2.794287960456914,281.1169536743164,993.2669823128739
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,0.70385464779873,0.8709999791781108,0.4347105810046196,nan,2.747065441949027,17.136368594169618,1000.0,0.0,nan,0,455,0,30861,0.7856670362608773,0.5692316710948944,16727.37776126219,636.3682456012834,0.33657803916238943,0.6672819799300627,2.39362083606415,2.820245341197608,539.0176369803293,636.368232421875,2.39362083606415,2.820245341197608,539.0176369803293,636.368232421875,0.4688596154694587,0.19749159054439216,0.5833909940496783,2.792335326843083,269.6397868041992,722.9138755558547
