algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,116,7.459197439075445,0.3166544918715954,nan,0.37968776564695544,nan,nan,1000.0,0.2498153610395656,0.2847999029041834,3640,655,6753,148,nan,0.0,nan,0.0,nan,0.0,5.345785626012674,0.0,nan,0.0,nan,0.0,nan,0.0,5.345785626012674,0.9371887108117294,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,117,7.459197439075445,0.30624799121171237,nan,0.42288902140367646,nan,nan,1000.0,0.35307314126279643,0.3038337303041577,3718,512,6645,61,nan,0.0,nan,0.0,nan,0.0,5.364274232819303,0.0,nan,0.0,nan,0.0,nan,0.0,5.364274232819303,0.9137174684410293,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,118,7.459197439075445,0.2979084924980998,nan,0.41583434664781516,nan,nan,1000.0,0.228153314375233,0.30522092734069317,3678,776,6814,194,nan,0.0,nan,0.0,nan,0.0,5.3774387513006445,0.0,nan,0.0,nan,0.0,nan,0.0,5.3774387513006445,0.9005475694954647,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,119,7.459197439075445,0.284714242760092,nan,0.2940397698886663,nan,nan,1000.0,0.1603765285635475,0.23067670307210353,3758,360,6393,131,nan,0.0,nan,0.0,nan,0.0,5.388080492748577,0.0,nan,0.0,nan,0.0,nan,0.0,5.388080492748577,0.8996171601526518,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,120,7.459197439075445,0.2731047433428466,nan,0.4210283702527784,nan,nan,1000.0,0.324002472524394,0.3018112736265723,3581,943,7127,121,nan,0.0,nan,0.0,nan,0.0,5.39504113466623,0.0,nan,0.0,nan,0.0,nan,0.0,5.39504113466623,0.902554595021291,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,121,7.459197439075445,0.27035099344328045,nan,0.4102635919022063,nan,nan,1000.0,0.31345749999775,0.29333534987861676,3627,791,6937,95,nan,0.0,nan,0.0,nan,0.0,5.396871312066967,0.0,nan,0.0,nan,0.0,nan,0.0,5.396871312066967,0.9034180938828823,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,122,7.459197439075445,0.2662809932976961,nan,0.41660477196370077,nan,nan,1000.0,0.4301574725343825,0.3206306461338218,3663,721,6875,45,nan,0.0,nan,0.0,nan,0.0,5.400454583322621,0.0,nan,0.0,nan,0.0,nan,0.0,5.400454583322621,0.903270786145901,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,123,7.459197439075445,0.26212299417704343,nan,0.3674692126746921,nan,nan,1000.0,0.26610037472106435,0.25795306024179265,3751,250,6369,36,nan,0.0,nan,0.0,nan,0.0,5.402553045927559,0.0,nan,0.0,nan,0.0,nan,0.0,5.402553045927559,0.905214456253764,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,124,7.459197439075445,0.2548052441887558,nan,0.40806596040304866,nan,nan,1000.0,0.41440703631880105,0.2969032024802843,3668,544,6704,34,nan,0.0,nan,0.0,nan,0.0,5.409551740840478,0.0,nan,0.0,nan,0.0,nan,0.0,5.409551740840478,0.9063288949065499,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,125,7.459197439075445,0.25003724452108145,nan,0.41181189893523906,nan,nan,1000.0,0.4197855934108909,0.29669432151331626,3634,777,6935,54,nan,0.0,nan,0.0,nan,0.0,5.413213817599204,0.0,nan,0.0,nan,0.0,nan,0.0,5.413213817599204,0.9068048065790469,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,126,7.459197439075445,0.24783299332484604,nan,0.4042063512315542,nan,nan,1000.0,0.5291973097694891,0.2864432092866381,3704,483,6631,12,nan,0.0,nan,0.0,nan,0.0,5.414263048901673,0.0,nan,0.0,nan,0.0,nan,0.0,5.414263048901673,0.9079106353503679,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,127,7.58363026186583,0.23834224499762058,nan,0.3821732679097582,nan,nan,1000.0,0.2527975398943141,0.27176247125250297,3701,465,6599,81,nan,0.0,nan,0.0,nan,0.0,5.425626608227457,0.0,nan,0.0,nan,0.0,nan,0.0,5.425626608227457,0.8968360465433449,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,128,7.58363026186583,0.23021899404004217,nan,0.36344628763049813,nan,nan,1000.0,0.413418800354358,0.2573941700870172,3696,480,6625,31,nan,0.0,nan,0.0,nan,0.0,5.435304626704741,0.0,nan,0.0,nan,0.0,nan,0.0,5.435304626704741,0.8948105757174771,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,129,7.58363026186583,0.22628999492153526,nan,0.37173609294291193,nan,nan,1000.0,0.31595777093402233,0.27282641885309095,3576,1019,7153,128,nan,0.0,nan,0.0,nan,0.0,5.437403089309678,0.0,nan,0.0,nan,0.0,nan,0.0,5.437403089309678,0.8954185397534319,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,130,7.58363026186583,0.22297124402597546,nan,0.4329205544233215,nan,nan,1000.0,0.4557728034926698,0.3086646757643948,3714,632,6755,31,nan,0.0,nan,0.0,nan,0.0,5.441606487208182,0.0,nan,0.0,nan,0.0,nan,0.0,5.441606487208182,0.8931063542161078,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,131,7.58363026186583,0.21740774422883988,nan,0.3325471959353617,nan,nan,1000.0,0.3140453437315356,0.2374150586109614,3672,420,6595,53,nan,0.0,nan,0.0,nan,0.0,5.446750625201527,0.0,nan,0.0,nan,0.0,nan,0.0,5.446750625201527,0.8925189625852045,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,132,7.58363026186583,0.21175024462863803,nan,0.3440802131568675,nan,nan,1000.0,0.30811238612717384,0.26236019418336,3537,1098,7231,120,nan,0.0,nan,0.0,nan,0.0,5.455633745253042,0.0,nan,0.0,nan,0.0,nan,0.0,5.455633745253042,0.8850825401095768,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,133,7.58363026186583,0.20763174446299673,nan,0.37766585848991,nan,nan,1000.0,0.2727868564877094,0.279689745360004,3700,560,6649,87,nan,0.0,nan,0.0,nan,0.0,5.463291688292867,0.0,nan,0.0,nan,0.0,nan,0.0,5.463291688292867,0.8769557654090439,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,134,7.58363026186583,0.20032449470832944,nan,0.4088458028426899,nan,nan,1000.0,0.36137235946615087,0.29181872874398235,3712,617,6729,56,nan,0.0,nan,0.0,nan,0.0,5.472844441054057,0.0,nan,0.0,nan,0.0,nan,0.0,5.472844441054057,0.8664321183930862,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,135,7.58363026186583,0.1983257447555661,nan,0.4393398192864754,nan,nan,1000.0,0.33062857976651083,0.31503266839742355,3696,687,6803,64,nan,0.0,nan,0.0,nan,0.0,5.473893672356525,0.0,nan,0.0,nan,0.0,nan,0.0,5.473893672356525,0.8679045548214489,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,136,7.58363026186583,0.19443099498748778,nan,0.3607427893732601,nan,nan,1000.0,0.3365461844278702,0.28160018142504506,3630,842,6956,106,nan,0.0,nan,0.0,nan,0.0,5.475992134961461,0.0,nan,0.0,nan,0.0,nan,0.0,5.475992134961461,0.8686058885097115,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,137,7.58363026186583,0.18889174526557326,nan,0.4194398667111616,nan,nan,1000.0,0.3593588036959046,0.3090963654923928,3559,918,7138,73,nan,0.0,nan,0.0,nan,0.0,5.479511932807368,0.0,nan,0.0,nan,0.0,nan,0.0,5.479511932807368,0.8686048532410856,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,138,7.58363026186583,0.18265399534255267,nan,0.43608821083245636,nan,nan,1000.0,0.3885558161232102,0.34131621566931464,3713,577,6684,74,nan,0.0,nan,0.0,nan,0.0,5.482659626714774,0.0,nan,0.0,nan,0.0,nan,0.0,5.482659626714774,0.8703647563295924,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,139,7.58363026186583,0.17336599564179778,nan,0.3751799416567738,nan,nan,1000.0,0.3477502356044942,0.291692388379262,3580,976,7116,114,nan,0.0,nan,0.0,nan,0.0,5.490936378817464,0.0,nan,0.0,nan,0.0,nan,0.0,5.490936378817464,0.8677483831469276,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,140,7.58363026186583,0.17133349545300006,nan,0.42887360512854533,nan,nan,1000.0,0.3605869609909187,0.305915696461158,3686,648,6789,51,nan,0.0,nan,0.0,nan,0.0,5.491985610119932,0.0,nan,0.0,nan,0.0,nan,0.0,5.491985610119932,0.8686015906714352,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,141,7.58363026186583,0.16728649575263263,nan,0.3419802579450393,nan,nan,1000.0,0.24719359192737478,0.28006612629476896,3678,481,6597,106,nan,0.0,nan,0.0,nan,0.0,5.493495376190242,0.0,nan,0.0,nan,0.0,nan,0.0,5.493495376190242,0.8709348981106765,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,142,7.58363026186583,0.1638584958948195,nan,0.36610420312547975,nan,nan,1000.0,0.3443193884745467,0.2787191193727081,3656,497,6664,53,nan,0.0,nan,0.0,nan,0.0,5.511416784783274,0.0,nan,0.0,nan,0.0,nan,0.0,5.511416784783274,0.8227136439197122,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,143,7.58363026186583,0.16185724552720784,nan,0.38796583677432006,nan,nan,1000.0,0.37609625791053364,0.2960875277548427,3691,631,6770,54,nan,0.0,nan,0.0,nan,0.0,5.512466016085743,0.0,nan,0.0,nan,0.0,nan,0.0,5.512466016085743,0.8239349593886424,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,144,7.58363026186583,0.1581609958410263,nan,0.4319665757955997,nan,nan,1000.0,0.5013051639710606,0.3210891397123746,3617,803,7003,25,nan,0.0,nan,0.0,nan,0.0,5.525933440092488,0.0,nan,0.0,nan,0.0,nan,0.0,5.525933440092488,0.7972841782464188,nan,nan,nan,nan
noise-game,scale,mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,145,7.58363026186583,0.15608299577608706,nan,0.37879414975839104,nan,nan,1000.0,0.2775991303905559,0.2825334652186572,3680,709,6795,110,nan,0.0,nan,0.0,nan,0.0,5.52908388707235,0.0,nan,0.0,nan,0.0,nan,0.0,5.52908388707235,0.7942100201731547,nan,nan,nan,nan
