algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.702516263298546,0.7864276479681332,0.86569817562898,nan,11.709630890896445,85.5193238067627,1000.0,0.0,nan,0,54,0,31980,1.0237722964437588,0.9721436915522813,231.0681465550473,219.24050079345704,1.0237722964437588,0.9721436915522813,0.868556631238837,0.9256150639057159,2079.7943110212263,219.24050478319649,231.0681465550473,219.24050079345704,0.9192754526228314,2.641840905273891,1.6083016336832554,1.1753842423186038,0.9206647889254844,0.976622885583962,96.4767898864746,166.7283857320852
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.76037670394553,0.7860269808769226,0.8938040333986282,nan,13.660475095113119,90.4342543411255,1000.0,0.0,nan,0,4,0,31676,1.0549612927489642,0.969071126951759,237.978150261773,218.6119435119629,1.0549612927489642,0.969071126951759,0.8223698437213898,0.9182471522688865,2287.8906780435004,218.61194885602134,237.978150261773,218.6119435119629,0.9840771023741149,2.692597102311281,1.6674851023489812,1.1791051432609538,0.9103306772512033,0.9761629755038218,96.01199081420899,169.80884395197452
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,2.824766035904263,0.7950079819560051,0.856967332760493,nan,13.75144776430997,94.52579544067383,1000.0,0.0,nan,0,11,0,30689,1.0465476479030682,0.9698391041883656,235.8666534423828,218.70396224975585,1.0465476479030682,0.9698391041883656,0.8200208219614896,0.9065094634890556,2432.251414379035,218.70396675805895,235.8666534423828,218.70396224975585,1.0249818595696691,2.743743186270354,1.7124863902499432,1.1872759691507644,0.9020005769639219,0.9738381277943454,92.67065127563477,140.99111781956236
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,2.907393771653436,0.7930959785977999,0.8931913703680039,nan,13.487717628479004,98.62246627807617,1000.0,0.0,nan,0,101,0,30875,1.075635226653778,0.9672989656664526,242.52478655646829,218.2955980682373,1.075635226653778,0.9672989656664526,0.7750360737828648,0.8984124827384948,2692.9372458212297,218.29560158305424,242.52478655646829,218.2955980682373,1.0757997053413173,2.796534409885362,1.764093587158935,1.1934503008669552,0.8887470497788372,0.975786138186197,95.56408197021484,178.8781069911435
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,2.980408917035051,0.802922312617302,0.8574498311678569,nan,15.397856924268934,102.01525146484374,1000.0,0.0,nan,0,3,0,30629,1.0067911884860734,0.9675130910837256,227.62827724880643,218.20045097351075,1.0067911884860734,0.9675130910837256,0.8419144749641418,0.8870950412750244,2841.98064165453,218.20045532808578,227.62827724880643,218.20045097351075,1.1100764783938517,2.8499467782832095,1.806024598349595,1.2032745561605147,0.8851494666491969,0.9692044924072717,91.37748937988282,138.43583368101585
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,3.0721239717603614,0.7993923130631447,0.89017431696256,nan,13.386897027492523,105.47542411804199,1000.0,0.0,nan,0,53,0,31197,1.0766907099520187,0.9646444047567286,242.48147583007812,217.61216430664064,1.0766907099520187,0.9646444047567286,0.7490638643503189,0.8792430984973908,2769.115856598935,217.61216910623452,242.48147583007812,217.61216430664064,1.1613625088748087,2.905682284470687,1.85909041911316,1.2085748726613164,0.8696001922642743,0.9729441310674908,94.80427294921876,175.65657505365974
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,3.17712717983603,0.8039169804255167,0.845264048576355,nan,15.48850154876709,108.41037006378174,1000.0,0.0,nan,0,5,0,30997,1.0404890323156275,0.9633188383354306,234.97314730557528,217.32228576660157,1.0404890323156275,0.9633188383354306,0.7789748094298623,0.8695348709821701,3172.4727515475174,217.32229140795295,234.97314730557528,217.32228576660157,1.187930094195308,2.9626994062064758,1.897837818999775,1.2211796898074745,0.8648137303325237,0.9673419290168626,92.09832354736328,156.72331709722656
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,3.255455548738486,0.8025449805458387,0.8279590489466985,nan,11.375844657421112,111.30948741912842,1000.0,0.0,nan,0,73,0,30981,1.0197392818861803,0.9602416112490323,230.23022270202637,216.61147956848146,1.0197392818861803,0.9602416112490323,0.7912980820983648,0.8618209597468376,3470.3471787504764,216.61148421850044,230.23022270202637,216.61147956848146,1.2585159089130014,3.0223836724153683,1.964063014313948,1.2209714524943418,0.8565970428839877,0.9646488461110432,94.01195895385742,197.6957034074154
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,3.3265992807900466,0.8035063125689824,0.8333898597955703,nan,12.876251101493835,113.49741905212403,1000.0,0.0,nan,0,100,0,30758,1.0251407075734347,0.9599566170886099,231.0887327194214,216.5296282196045,1.0251407075734347,0.9599566170886099,0.7726837452501059,0.8507232701778412,3692.9905826949393,216.52963215898245,231.0887327194214,216.5296282196045,1.3217599539231946,3.082276009222903,2.025966376043078,1.2219002331628233,0.8449425646276386,0.964785068235634,94.00669073486328,204.78755150983105
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,3.4233948771291898,0.8061233153939247,0.8294850863019625,nan,13.652435389432041,115.27710109710694,1000.0,0.0,nan,0,19,0,31001,1.0105039818206007,0.9603856615316747,227.97522666237572,216.6141658782959,1.0105039818206007,0.9603856615316747,0.7780484665523876,0.8386540251970291,3288.327951428373,216.61416942198738,227.97522666237572,216.6141658782959,1.367968478058904,3.143445565185599,2.078159312909582,1.228255320141649,0.8354944937037065,0.9629984649590595,91.66112133789062,158.98888270021916
