algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,43,0.0,0.7847622306644917,0.6091873960196972,nan,0.034024445512332024,0.03419371431693435,,nan,nan,0,0,0,11320,33.64,104.79,5.762381381988526,5.712528100013733,8.594862756412216,8.520504242435795
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,44,0.0,0.7853159800171852,0.6073113875091076,nan,0.03385220777709037,0.03412913791835308,,nan,nan,0,0,0,11092,28.85185185185185,103.13,5.769858236666079,5.7221533203125,8.54883222494544,8.47815088244378
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,45,0.0,0.7858232299983502,0.6055868546664714,nan,0.03341315149795264,0.033436768297106026,,nan,nan,0,0,0,11818,43.52,107.3,5.781997184753418,5.731643033027649,8.509895565951664,8.435784742510188
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,46,0.0,0.7864472304284572,0.6038607169687747,nan,0.033146417890675364,0.03285804884508252,,nan,nan,0,0,0,10822,33.2,103.24,5.799708843231201,5.741077456474304,8.479246282526482,8.393526467681292
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,47,0.0,0.7869437286257743,0.6021953745186329,nan,0.03292573843151331,0.033094345908612016,,nan,nan,0,0,0,12214,47.25,108.91,5.802037051745823,5.750442476272583,8.426287236382212,8.351356533785973
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,48,0.0,0.7874942302703858,0.6006682223081589,nan,0.032845957325771453,0.03314010316506028,,nan,nan,0,0,0,10528,23.1875,101.57,5.815934628248215,5.759681553840637,8.390348138504732,8.309194736977773
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,49,0.0,0.7879229798913002,0.599198608994484,nan,0.03227804353926331,0.032525795847177505,,nan,nan,0,0,0,10732,29.5,102.6,5.825139909982681,5.768803329467773,8.34779026795115,8.267056420211965
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,50,0.0,0.7883247283101081,0.5979943798482418,nan,0.03220365038141608,0.16437448367476462,,nan,0.0,0,0,10579,843,40.142857142857146,105.79,5.836164338248117,5.721108055114746,8.308017149460989,8.144229853897578
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,51,0.0,0.7887297303974629,0.596958893686533,nan,0.03197584128472954,0.27973686560988426,,nan,0.0,0,0,10384,588,34.588235294117645,103.84,5.844753686119528,5.684540371894837,8.264960623167733,8.038405869197696
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,52,0.0,0.7883047300577164,0.5993751089274884,nan,0.03234961838461459,0.8269534865021706,,nan,0.0,0,0,10184,412,24.235294117647058,101.84,5.859174363753375,5.7305680894851685,8.230300669141347,8.049649225874287
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,53,0.0,0.7817222312092781,0.6719646030664443,nan,0.033406671551056207,2.5430838018655777,,nan,0.0,0,0,10588,818,45.44444444444444,105.88,5.8702203962537975,6.54452898979187,8.191027598571162,9.131925882926696
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,54,0.0,0.7698207319155336,1.0699503509700299,0.5981517228354558,0.04653002533130348,7.906891107559204,,1.0,0.427021053602775,461,0,10240,1065,27.76923076923077,105.83,5.877273981387798,11.815582647323609,8.146379208957818,16.3773574491675
balance,scale,fashion_mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,55,0.0,0.7890089805424213,0.5963829959928989,1.0,0.06768714973703027,27.96002541542053,,1.0,1.0,521,0,9571,296,6.933333333333334,97.63,5.891840330759684,36.346347141265866,8.11230663357908,50.044247037910026
