algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,balance_kept_honest,balance_kept_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,24,0.5644653157368761,0.8705656454960505,0.47273663739363353,nan,2.444543202718099,20.08361205101013,1000.0,0.0,nan,0,458,0,30472,6.0556430180867515,162.75250343322753,0.8437868833541871,0.8215171959996224,2.728528352652568,2.7810822222435947,0.2343010458252467,0.5556351298359437,2.728528352652568,2.7810822222435947,14340.263179730304,1038.6793750541858,7.6,151.79,615.0372395833333,627.637314453125,10.251982294543755,275.5340396728481,615.0372395833333,627.637314453125,0.3628346794295254,0.20478593276445095,0.8230708951173826,2.7774156732023596,269.50604296875,845.6796454135834
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,25,0.5719626675526293,0.8716523110866546,0.4660910861690839,nan,2.200999995072683,20.070792589187622,1000.0,0.0,nan,0,444,0,30414,5.883906761805217,172.79541595458986,0.9266766756772995,0.80553386002779,2.507715136413968,2.790753495487906,0.2443748328264628,0.5623903481771793,2.507715136413968,2.790753495487906,13670.336641808104,1022.8551064884431,5.833333333333333,151.72,565.6319478352865,629.6818029785156,9.895051698833523,290.592567729188,565.6319478352865,629.6818029785156,0.37158103896674943,0.20272885794102058,0.8123910005362529,2.7747324562950415,265.44788793945315,737.2301219987718
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,26,0.5796265754153203,0.8724799784024556,0.46017553269863126,nan,2.7200731680943417,20.216383810043336,1000.0,0.0,nan,0,455,0,30439,6.310305375319261,182.8321971130371,0.8551735190244821,0.7971112281084061,2.6481608208782674,2.7824678853369527,0.25209091189948846,0.569198770927542,2.6481608208782674,2.7824678853369527,14317.601943594387,995.3038362900063,6.461538461538462,151.775,597.6249060997596,627.6698660278321,10.541620209825208,305.42857587078777,597.6249060997596,627.6698660278321,0.37893405551070986,0.20173041918859738,0.8006549360046924,2.7742707405577844,266.6061939697266,770.3791850494565
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,27,0.5873347061819072,0.8731823116540909,0.455097561776638,nan,2.8499800668043247,20.235285453796386,1000.0,0.0,nan,0,645,0,30723,6.100288335014792,192.94202964782716,0.828125841477338,0.7847632944583893,2.683754107678365,2.7830603453278138,0.25898494538096095,0.5760028192575226,2.683754107678365,2.7830603453278138,15311.6436375646,972.3582371659406,10.470588235294118,152.725,605.9158720128677,627.6985906982422,10.123065692146588,320.17582344266566,605.9158720128677,627.6985906982422,0.38579209493158556,0.20133279012650807,0.7881603603538829,2.7752805939912215,271.68057592773437,909.5391785435728
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,28,0.5951474636038978,0.8739613109827041,0.450140955944856,nan,2.7361795341267303,20.11014377117157,1000.0,0.0,nan,0,596,0,30642,6.093628406524658,203.06088844299316,0.8865925038562101,0.7679226949810982,2.524485849601214,2.7935519860496187,0.26615890201822295,0.5827495308160067,2.524485849601214,2.7935519860496187,14848.07338876906,956.714348639386,8.588235294117647,152.48,569.3492575252758,630.1317156982421,10.04482472354752,334.7284895865513,569.3492575252758,630.1317156982421,0.3927951535373364,0.20070556135725184,0.7772194081187798,2.772473072134305,271.41056103515626,887.5202346739023
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,29,0.6031263494214043,0.8747863123814265,0.44523976316054664,nan,2.5004373341798782,20.091226987838745,1000.0,0.0,nan,0,702,0,30716,5.9008581936359406,213.11714714050294,0.8310770429670811,0.756153781414032,2.6239873861618133,2.792174427114733,0.2717795671127336,0.5895109167401646,2.6239873861618133,2.792174427114733,15899.699413167791,939.6161428999939,7.125,153.01,591.3744945526123,629.9556222534179,9.662428145363867,348.9711247443501,591.3744945526123,629.9556222534179,0.39887210696370606,0.2006957381015598,0.7617036526401838,2.7797161277848876,270.9062327270508,884.6368383813668
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,30,0.610709411732789,0.8751626455783844,0.44138123174508415,nan,2.6168952801010827,19.925190324783326,1000.0,0.0,nan,0,672,0,30832,6.202778165990656,223.16375953674316,0.8316390392455187,0.7397946175932885,2.596629264180351,2.8007493272641915,0.2819178074593366,0.596227275267409,2.596629264180351,2.8007493272641915,15754.933759736527,929.2145055078095,11.818181818181818,152.86,585.8382374156605,631.611658630371,10.089323614344284,362.99402117991275,585.8382374156605,631.611658630371,0.40764159458256555,0.19800555220109897,0.7488963170363022,2.780521212904532,278.4215458984375,1064.9028876315308
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,0.6178248043854708,0.8756223126252493,0.43775775482257206,nan,3.33325066169103,19.75613809108734,1000.0,0.0,nan,0,462,0,30426,6.418295383453369,233.12723526000977,0.8285365998744965,0.7242533636093139,2.577618795450622,2.807077462122371,0.2862560712332237,0.6029184841570738,2.577618795450622,2.807077462122371,15979.782449457702,914.5254023526718,5.333333333333333,151.81,580.6491241455078,633.2958779907226,10.370512195610065,376.6808306494567,580.6491241455078,633.2958779907226,0.41292103640276373,0.19859118940806733,0.7301561883035695,2.794089235706989,267.25393017578125,749.3249397280536
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,0.6246270251631879,0.876283977429072,0.43408173173666,nan,3.0365691918593187,19.724699425697327,1000.0,0.0,nan,0,434,0,30422,6.274168968200684,243.00671592712402,0.9056548843016992,0.7145291599631309,2.3839729559718537,2.800330238037243,0.29308723053765673,0.6096414142798697,2.3839729559718537,2.800330238037243,15250.786762119447,904.0894239529832,6.769230769230769,151.67,537.6079946664663,631.6126751708985,10.070277077147795,390.03491512529007,537.6079946664663,631.6126751708985,0.4197089040345419,0.1974150982028618,0.7261941102748746,2.7749187607280876,266.6228779296875,758.156225396299
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,0.6322729309436451,0.8767166453599929,0.4308627226948738,nan,2.9623391032218933,19.696181688308716,1000.0,0.0,nan,0,420,0,30390,6.598466436068217,252.8706017303467,0.8187639613946279,0.7055315090715886,2.5476558688155393,2.7918723609247356,0.29805106874454596,0.6164100952717356,2.5476558688155393,2.7918723609247356,15553.042338000849,889.4465866502901,5.833333333333333,151.6,574.3884760538737,629.83544921875,10.520416289320563,403.1700431167774,574.3884760538737,629.83544921875,0.42539467935542186,0.1971493227735721,0.7119408931653455,2.7780487858996867,265.71950311279295,729.0516507721364
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,0.6400271760459801,0.8769623112678527,0.4283997654914856,nan,3.2533350612806236,19.639653367996218,1000.0,0.0,nan,0,1009,0,31347,6.89375402616418,262.7203254699707,0.7897008009578871,0.6961213472485542,2.5843651546245985,2.7841863885365195,0.30321566670367517,0.6232262118863791,2.5843651546245985,2.7841863885365195,16222.151098866112,875.7890498193352,14.826086956521738,155.03,583.3561693274456,628.0270715332031,10.91818377242319,416.0909692085464,583.3561693274456,628.0270715332031,0.4312198847767567,0.19736799211868702,0.7057730397835975,2.7635770236039,278.04521240234374,1096.5345704755755
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,0.6481399795403202,0.8774743115901947,0.42545474698146185,nan,3.076897700627645,19.397525444030762,1000.0,0.0,nan,0,394,0,30380,6.3299533526102705,272.53998908996584,0.808556874593099,0.6807590074837208,2.5187873401544487,2.7889602446847492,0.3076892276716354,0.6300236750365481,2.5187873401544487,2.7889602446847492,16645.75603194683,865.0789158221424,7.166666666666667,151.47,567.7602793375651,629.0269973754882,9.958635332829752,428.77509734588324,567.7602793375651,629.0269973754882,0.4366230066176005,0.19767706618373665,0.6879928490182139,2.7736674387679394,265.2370456542969,745.5297110955809
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,0.6565456072711104,0.8778986448049545,0.4225740079085032,nan,2.313903898000717,19.02776457309723,1000.0,0.0,nan,0,481,0,30449,6.211127916971843,282.24018951416014,0.8194595724344254,0.6615971547365188,2.470905324846823,2.8013159396593204,0.3130008639535325,0.6367529541847466,2.470905324846823,2.8013159396593204,17651.039810686034,861.468515194364,5.583333333333333,151.91,556.7855173746744,632.1191757202148,9.706764586341619,441.08559878993344,556.7855173746744,632.1191757202148,0.44250170004601813,0.197211036234847,0.670532763285457,2.7826134520284245,266.2105227050781,768.2123615342103
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,0.6645225783553534,0.8782599778970083,0.4202411422133446,nan,3.1511280103163286,18.71696560382843,1000.0,0.0,nan,0,125,0,30143,7.078908703543923,291.75533599853514,0.8127514015544545,0.6450948707759381,2.460220097842264,2.807638462535103,0.31833197565395815,0.6434464975816931,2.460220097842264,2.807638462535103,16753.815912471135,854.5742862274726,9.272727272727273,150.205,554.7644292658025,633.6520501708984,10.989426740490366,452.9262949101063,554.7644292658025,633.6520501708984,0.44837778442505216,0.19678209478039752,0.6538352586364294,2.7895266046601206,265.665637512207,710.4136645653541
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,0.672952537282564,0.8783476467927297,0.4186082492272059,nan,3.1690955658753714,18.567112917900086,1000.0,0.0,nan,0,565,0,30837,6.771997888882955,301.1157437133789,0.7356834610303243,0.6346673394739628,2.5938518700908726,2.8010949518129724,0.3227134406748496,0.6501815472058705,2.5938518700908726,2.8010949518129724,17960.413758590163,847.5020606223701,14.833333333333334,152.405,585.5914764404297,631.658571472168,10.44311942256321,464.3515434012421,585.5914764404297,631.658571472168,0.45370068328725793,0.1976878869095936,0.6454904953550015,2.778890335914176,280.7718194580078,1201.1006846612759
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,0.6815387270527118,0.8787579796711604,0.41623636543750764,nan,2.9383040574880748,18.392549052238465,1000.0,0.0,nan,0,328,0,30330,6.333977699279785,310.3999327087402,0.8494709363350501,0.6238228085637093,2.3369208355928723,2.7952506839685523,0.32756466478686846,0.6569438320062868,2.3369208355928723,2.7952506839685523,16568.882894201895,842.0696071468337,7.846153846153846,151.14,526.6504727877103,630.373159790039,9.702746028896213,475.4882093762084,526.6504727877103,630.373159790039,0.4593163316746358,0.1979664269619506,0.6375947600239319,2.7672775007343553,265.8421762084961,767.6187981079827
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,0.6897597216359966,0.8788906449079513,0.4146400503317515,nan,3.3728479146957397,18.165353350639343,1000.0,0.0,nan,0,522,0,30544,6.990736071268717,319.5975651550293,0.8035860419273376,0.6115963435173035,2.4059407783588456,2.7920244087885933,0.33304245486990314,0.6637434010614869,2.4059407783588456,2.7920244087885933,17479.935292460767,836.2858102989776,7.933333333333334,152.125,542.1240498860677,629.7988400268555,10.637651133362699,486.3246683227088,542.1240498860677,629.7988400268555,0.4653228333465366,0.19799248930135246,0.6249909736389337,2.765088341549308,268.18325750732424,858.912382893414
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,0.6978381022789595,0.878904644648234,0.41380659252405166,nan,4.133244483367257,17.80959575176239,1000.0,0.0,nan,0,619,0,30807,7.357809149700662,328.6811532592773,0.8001771828402644,0.5954499790072441,2.388788138181966,2.796389918282445,0.3353496724398275,0.6705023245750047,2.388788138181966,2.796389918282445,17243.9790254993,828.2989365439726,12.521739130434783,152.595,538.8115725309952,630.7882626342773,11.121825056155872,496.82374351255874,538.8115725309952,630.7882626342773,0.4694107332938984,0.20009821200648242,0.6165653408375557,2.7543502728012297,277.10063739013674,1124.5426097905565
