algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,2.5193046488090083,0.7817113144757847,24074315.74875396,0.024255603880896624,1.8664451867341996,13902.972651367187,1000.0,0.11607142857142858,0.01343101343101343,3806,340,26402,18,9537.010781331195,0.0,1.1952107763844315,0.0,0.7838942050933838,0.0,1.0500113385285448,0.0,237.06861724853516,0.0,1.0500113385285448,0.0,237.06859436035157,0.0,1.1952107763844315,0.5377021343755233,0.7838942050933838,1.0500113385285448,7.902287241617839,317.90035937770654
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,2.5858910112747826,0.7692756479606032,1517182144.1024325,0.14658816925218146,1.7491232372820378,110988.119453125,1000.0,0.13405594405594407,0.1565961525528495,3859,585,26497,115,7604.734112722077,0.0,1.2569655280090881,0.0,0.7250656730495393,0.0,1.0844162779716469,0.0,244.62895126342772,0.0,1.0844162779716469,0.0,244.62900161743164,0.0,1.2569655280090881,0.5575415853708292,0.7250656730495393,1.0844162779716469,16.308596750895184,506.98227418147184
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,2.6639745480540262,0.738529647414883,151916509629.28772,0.03419539389890025,2.016724685827891,815379.0040625,1000.0,0.10054181929181931,0.01979185001499337,2812,966,27873,125,8749.903198855282,0.0,1.3260634923937507,0.0,0.7001993345717589,0.0,1.0891070049885474,0.0,245.63769976298013,0.0,1.0891070049885474,0.0,245.6376724243164,0.0,1.3260634923937507,0.567019324509537,0.7001993345717589,1.0891070049885474,19.651015981038412,699.9922559084225
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,2.7529882148965723,0.7308179824054242,4096144516500.795,0.11985460095859815,1.3323176649709543,5187456.8975,1000.0,0.22387393823926333,0.07143068954663158,5274,516,25069,43,7122.1795383112085,0.0,1.3587221792659605,0.0,0.5475724920630455,0.0,1.198874836371901,0.0,270.4953847249349,0.0,1.198874836371901,0.0,270.49533996582034,0.0,1.3587221792659605,0.5704511438721097,0.5475724920630455,1.198874836371901,13.524769236246744,356.1089769155605
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,2.7529882148965723,0.7242143150170645,206584759394966.28,0.03322580606012061,1.3642835360951722,37348929.58,1000.0,0.13166666666666665,0.016512055953772156,1962,511,28405,26,4764.480447711675,0.0,1.3697071578013222,0.0,0.36554483805472654,0.0,1.3290397581067117,0.0,299.332711537679,0.0,1.3290397581067117,0.0,299.33273061116535,0.0,1.3697071578013222,0.5729290863166865,0.36554483805472654,1.3290397581067117,11.97330846150716,190.579217908467
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,61,2.9596700933001676,0.7135833164056142,5986758717799697.0,0.18742500017992933,2.2549269273877144,223899998.88,1000.0,0.18500631313131313,0.15952441175845433,4908,459,25364,71,7833.312334319079,0.0,1.4063113220000123,0.0,0.6431328146718442,0.0,1.0868957342419576,0.0,244.98736572265625,0.0,1.0868957342419576,0.0,244.98737049102783,0.0,1.4063113220000123,0.5782225558646984,0.6431328146718442,1.0868957342419576,13.065992838541666,417.77665783035087
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,62,3.07506820614604,0.7015786492079497,3.652564293025368e+17,0.04083632641568945,1.6233373020077124,1577959697.28,1000.0,0.1283189033189033,0.02364063842403455,2351,682,28141,38,7042.039992290262,0.0,1.4477863049297879,0.0,0.6499189773458056,0.0,1.0653589535809962,0.0,240.3330945968628,0.0,1.0653589535809962,0.0,240.3331413269043,0.0,1.4477863049297879,0.5920618660634681,0.6499189773458056,1.0653589535809962,12.817765045166016,375.5754662554806
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,63,3.0790300199089278,0.685195648719867,1.776151104829332e+19,0.18317314637324922,1.60993208432276,9440251194.88,1000.0,0.2527380256482424,0.1349679074396327,7054,753,23487,76,6186.97627846798,0.0,1.4811562903983082,0.0,0.43894188547212826,0.0,1.2135027962147857,0.0,273.8303134315892,0.0,1.2135027962147857,0.0,273.83033511513156,0.0,1.4811562903983082,0.5966675396608907,0.43894188547212826,1.2135027962147857,17.342586517333984,391.84183096963875
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,64,3.294897439186745,0.6652753172069787,9.518284713180542e+20,0.08104774377637128,2.1537291175789304,65669911900.16,1000.0,0.23850267379679146,0.04998382048372208,3007,1131,27901,31,6336.945449439133,0.0,1.5242821864796288,0.0,0.510074513239993,0.0,1.1409637390268255,0.0,257.61629486083984,0.0,1.1409637390268255,0.0,257.61629655626086,0.0,1.5242821864796288,0.5968777686367902,0.510074513239993,1.1409637390268255,15.45697769165039,380.2167269663479
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,65,3.294897439186745,0.6527289830396573,3.383990768414638e+22,0.2255067117158917,1.1430412515213615,390492418703.36,1000.0,0.4015198982304245,0.1456916225274788,8296,851,22338,63,4669.48621119429,0.0,1.5430154835627734,0.0,0.32858467513793393,0.0,1.2608901603325025,0.0,283.98114254600125,0.0,1.2608901603325025,0.0,283.98113612124797,0.0,1.5430154835627734,0.6024654193262939,0.32858467513793393,1.2608901603325025,17.985472361246746,295.73412670897164
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,66,3.294897439186745,0.6479503179589907,1.0097117457047663e+24,0.20570043341341546,1.4292593752034009,2668281498173.44,1000.0,0.3123857623857624,0.15183222218035394,4772,631,25682,61,5438.73986989856,0.0,1.5640355683153462,0.0,0.47643328085541725,0.0,1.1322437601021171,0.0,255.44900512695312,0.0,1.1322437601021171,0.0,255.4490203857422,0.0,1.5640355683153462,0.6169259196611223,0.47643328085541725,1.1322437601021171,13.623946940104167,290.06612639458984
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,67,3.4650917095119906,0.6334363163510959,3.965972540285425e+25,0.3543459808515732,1.7266431726515292,16051997580984.32,1000.0,0.41285514815934654,0.2606842300216894,8555,659,21899,117,7047.246715031508,0.0,1.6284477449866268,0.0,0.620891826134175,0.0,1.0096302957158967,0.0,227.70953140258788,0.0,1.0096302957158967,0.0,227.7095039367676,0.0,1.6284477449866268,0.633210518810857,0.620891826134175,1.0096302957158967,15.180635426839192,469.81644766876707
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,68,3.543163841548102,0.6143716504052281,2.2489552536448123e+27,0.2593105123716095,2.239587824924716,109287560508866.56,1000.0,0.35022320730525064,0.23123132131727442,5485,931,25213,87,6258.95008789168,0.0,1.6802584725603962,0.0,0.5563312580010721,0.0,1.0411592873016933,0.0,234.8291996547154,0.0,1.0411592873016933,0.0,234.82918875558036,0.0,1.6802584725603962,0.6428979359994416,0.5563312580010721,1.0411592873016933,16.438043975830077,438.1265061524177
