algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,balance_threshold_honest,balance_threshold_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,4.578624036250495,0.7799366474151611,0.6241629330317179,nan,0.9412963688373566,6.4226166129112245,1000.0,nan,nan,0,0,0,30268,5608.544788031326,923.7535436228503,9.09900112273447,149.6943230856832,2.2552836435669343,4.064507371453136,198.9669050736861,208.2588801574707,0.8824214170392707,0.9227613841429,0.7224879698319868,0.6640864031016827,0.8824214170392707,0.9227613841429,198.9669050736861,208.2588801574707,5.8611790917136455,96.4265444946289,20.636363636363637,150.205,2.9789731347214152,1.2111549437316529,0.667131034542599,0.9206583526825213,87.68082397460938,492.8894027858292
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,4.662138164232926,0.7806953152020772,0.621346102754275,nan,0.7996292288104693,6.259298509955406,1000.0,nan,nan,0,0,0,31402,6147.49052862832,911.076668246926,9.016917089616891,153.64639103664723,2.278855494790739,4.099211283437375,220.28800900777182,209.4545346069336,0.9758050953084719,0.9287927058383264,0.5730952468390266,0.6418407394737006,0.9758050953084719,0.9287927058383264,220.28800900777182,209.4545346069336,5.847155531247457,99.634313621521,38.375,152.405,3.0069978102493935,1.215574902507181,0.6344751509771284,0.9338297475672704,94.35563827514649,659.5102126729297
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,4.734667811472339,0.7814469800392787,0.6189727435509363,nan,0.8030262130957383,6.048337203264237,1000.0,nan,nan,0,0,0,30658,5417.747020877712,922.9707059599724,8.873462215965757,157.41406998781437,2.313078633637593,4.131769795680089,197.13804743840143,211.41540588378905,0.8747893941234286,0.937487426912871,0.7079528661874624,0.6153490759432316,0.8747893941234286,0.937487426912871,197.13804743840143,211.41540588378905,5.792619081643911,102.76031196594238,33.07692307692308,151.14,3.0405550984545915,1.2131590471994456,0.6210009504651799,0.933660786413985,89.69175158691407,510.0497049268095
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,4.847659980761296,0.782128982146581,0.6168487260739008,nan,0.940455436706543,6.152661237716675,1000.0,nan,nan,0,0,0,31066,5742.972547774024,909.7662309359819,8.950459505259122,160.96507496121131,2.3478909165116617,4.168841247000916,200.0907002766927,208.4522607421875,0.8879566076641688,0.9240921891036403,0.6753244022528331,0.6214164493978024,0.8879566076641688,0.9240921891036403,200.0907002766927,208.4522607421875,5.881965796152751,105.78128025054932,42.733333333333334,152.125,3.0762710487073637,1.2128857420886676,0.6251774693644324,0.9215711020264679,89.38362530517578,536.1956688076135
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,4.902906561891237,0.7829189801216125,0.6145808897415797,nan,1.1327654382456904,5.95354820728302,1000.0,nan,nan,0,0,0,31426,5806.740686816221,897.7187582090384,8.968600421850025,164.54094362664588,2.368201900929988,4.202976883374611,201.83346557617188,210.00697776794433,0.894821522722392,0.9309750215977866,0.6516670150601346,0.5971902799606323,0.894821522722392,0.9309750215977866,201.83346557617188,210.00697776794433,5.9333112965459405,108.85451393127441,39.43478260869565,152.595,3.1021118939078374,1.2236673184275628,0.6028089566749307,0.9272461853909073,93.28713052368164,626.1975748771613
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,4.951059812917118,0.7832663142681122,0.6128300591309865,nan,0.8221884199551174,5.738295142650604,1000.0,nan,nan,0,0,0,31316,5617.299811067588,905.1668244098939,8.767303111747118,167.9124189907754,2.4040412444640364,4.236995160105878,189.94972337995256,211.7279541015625,0.8434758752998697,0.93835422301886,0.7162621447018215,0.5718609470129014,0.8434758752998697,0.93835422301886,189.94972337995256,211.7279541015625,5.838936839784894,111.82800418853759,53.714285714285715,152.82,3.137222810720773,1.2203983460627754,0.5813077543383447,0.9321472283082718,90.00977389526368,519.3511244738501
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,4.9823311890676205,0.7841489805777868,0.6105410595734914,nan,0.9469795160823398,5.755977560505271,1000.0,nan,nan,0,0,0,31224,5627.217479290395,899.1151729886254,8.95717558869645,171.07137156440652,2.4573921985632734,4.271598391926273,194.13197411431207,209.8698585510254,0.861758196407943,0.9301928782409999,0.675255729092492,0.5700539995729923,0.861758196407943,0.9301928782409999,194.13197411431207,209.8698585510254,6.005292150709364,114.6939182662964,41.388888888888886,152.395,3.1830746759084736,1.2096840212551496,0.5787403809094648,0.9245423081813897,90.93669448852539,562.2258984499045
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,5.011880633526433,0.7848016466697058,0.6085085817178091,nan,0.8386357145176994,5.785664991736412,1000.0,nan,nan,0,0,0,31312,5771.33716218783,886.2347619631701,8.839820987247208,174.19460545525723,2.5115758768498906,4.309807062910075,195.7725304497613,207.8322959136963,0.8686450262378761,0.9211675535824735,0.651248597436481,0.5696964900940656,0.8686450262378761,0.9211675535824735,195.7725304497613,207.8322959136963,5.966255108515422,117.56906120300293,43.833333333333336,152.615,3.230868351273965,1.200917533831349,0.5764301503333477,0.9168308311411765,90.18072946166993,562.2620426240298
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,5.075800855335197,0.7852606465419133,0.6068595240513484,nan,0.9782406779981795,5.552256304621697,1000.0,nan,nan,0,0,0,31786,6058.145549687444,882.8868610993238,8.757006006677212,177.29075966165433,2.5290435706718535,4.346568616731143,205.6856188092913,209.43592658996582,0.9108028558218929,0.9285763661687628,0.5715767826352801,0.5437023697793484,0.9108028558218929,0.9285763661687628,205.6856188092913,209.43592658996582,5.9498948823838,120.45913669586182,50.38095238095238,153.64,3.256053589095569,1.2106294180020334,0.5463510696434867,0.9268874805701914,92.41316662597656,607.5968575266022
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,5.13826413647965,0.7858873140811921,0.6052181927363077,nan,1.0816197327592156,5.338100540041924,1000.0,nan,nan,0,0,0,30978,5904.838585714636,878.5675648708203,8.68567327726858,180.16740751333097,2.563072774550942,4.3814572675146914,191.06495943936434,210.80839820861817,0.8485672988950413,0.9342991339069345,0.6558066173033281,0.5200010477751493,0.8485672988950413,0.9342991339069345,191.06495943936434,210.80839820861817,5.9409025799144395,123.23247512817383,50.72727272727273,152.1,3.2904265717364414,1.2115707174207495,0.5270809589827795,0.9298297017499164,88.52678839111329,481.3334748340501
