algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,31,0.0,0.8777874755859375,0.43260292559862135,nan,0.035619760174304245,0.03808290336281061,,nan,nan,0,0,0,50610,5.776926585606167,5.7441570806503295,52.857142857142854,167.46666666666667,9.334205428379382,9.281257327600985
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,32,0.0,0.8784819781780243,0.42890491530299185,nan,0.0348270720615983,0.037166501320898535,,nan,nan,0,0,0,50790,5.7948143005371096,5.757486731211344,48.2,167.69333333333333,9.300894813765645,9.240982661633295
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,33,0.0,0.8788999786973,0.42556803300976753,nan,0.034146392326802014,0.03660757149259249,,nan,nan,0,0,0,50220,5.80160961151123,5.770528275171916,33.8,166.83666666666667,9.249929336245925,9.20037409484459
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,34,0.0,0.8794129776954651,0.42233020707964897,nan,0.03338549580425024,0.03597302330036958,,nan,nan,0,0,0,51432,5.817746199094332,5.783268206914266,63.38461538461539,168.69333333333333,9.214025029316542,9.15941950476527
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,35,0.0,0.879951477944851,0.41932946130633353,nan,0.03278263689018786,0.03539833875993888,,nan,nan,0,0,0,51080,5.835847767916593,5.7957665650049845,57.36363636363637,168.16333333333333,9.1812808943725,9.118222912541833
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,36,0.0,0.88029247879982,0.4165911193192005,nan,0.032261078534647825,0.03487373838822047,,nan,nan,0,0,0,50464,5.853329261144002,5.808015467325847,49.0,167.23333333333332,9.147596047574256,9.076779549349357
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,37,0.0,0.8807409772276878,0.41407166823744773,nan,0.03173516158014536,0.03435450571278731,,nan,nan,0,0,0,50688,5.860342788696289,5.820011130968729,43.5,167.51,9.097702830705714,9.035091231025435
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,38,0.0,0.881129479110241,0.41163657024502753,nan,0.03118628801777959,0.03385135091220339,,nan,nan,0,0,0,51840,5.876220173305935,5.831794357299804,60.611111111111114,169.16333333333333,9.061737766316899,8.993228574552607
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,39,0.0,0.8814919766783714,0.40934769824147227,nan,0.03075301761738956,0.03335979017118613,,nan,nan,0,0,0,50638,5.890109062194824,5.843363242149353,41.1,167.42333333333335,9.022802893586883,8.951194997041041
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,40,0.0,0.8817789793014527,0.407152861058712,nan,0.030043980106711388,0.032938083379218976,,nan,nan,0,0,0,51206,5.895373980204265,5.854727082252502,74.55555555555556,168.45,8.970862447498373,8.909010946360844
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,41,0.0,0.8822404772043229,0.40505140870809553,nan,0.02969744966365397,0.032613545469939706,,nan,nan,0,0,0,51512,5.913350701332092,5.8659010473887125,56.3125,168.70333333333335,8.938428635185213,8.866705281209
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,42,0.0,0.8824534767866135,0.4032724921405315,nan,0.02934841505251825,0.03207078882182638,,nan,nan,0,0,0,50496,5.9289170900980634,5.876883134841919,51.666666666666664,167.28666666666666,8.902410606521027,8.82428038001724
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,43,0.0,0.8828109788894654,0.40141692385077477,nan,0.028909741872921585,0.0317590113915503,,nan,nan,0,0,0,51088,5.940483212471008,5.887714538574219,53.75,168.14333333333335,8.860510010245054,8.781803052146376
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,44,0.0,0.8830299764871598,0.39983235761523245,nan,0.02847558104433119,0.03147472814346353,,nan,nan,0,0,0,50228,5.955411979130337,5.898377194404602,26.428571428571427,166.81,8.823755411611847,8.73925059613688
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,45,0.0,0.8832934778928757,0.39827677950263024,nan,0.027998235486447812,0.031027070085207623,,nan,nan,0,0,0,51828,5.967519928427303,5.908873742421468,62.64705882352941,169.21,8.782946403461008,8.69663143264659
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,46,0.0,0.8835829770565033,0.3967403346300125,nan,0.027684646546840667,0.030675035634388528,,nan,nan,0,0,0,50710,5.966473647526333,5.919224815368652,59.57142857142857,167.64333333333335,8.723058495363006,8.653980116558817
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,47,0.0,0.8837464785575867,0.39550747275352477,nan,0.02727048370987177,0.030391916042814653,,nan,nan,0,0,0,51032,5.983033835887909,5.929449725151062,72.875,168.16333333333333,8.689148517418634,8.611328416590611
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,48,0.0,0.884007477760315,0.39421461418271064,nan,0.02705339218489826,0.030010141463329396,,nan,nan,0,0,0,50604,6.001681055341448,5.93953504562378,52.42857142857143,167.45666666666668,8.658314903678818,8.568660069111463
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,49,0.0,0.884253978729248,0.3928551444411278,nan,0.026668734047561884,0.029758081324398517,,nan,nan,0,0,0,50428,5.998177719116211,5.949495523770651,54.2,167.19,8.595764284265682,8.525999649800553
balance,scale,mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,50,0.0,0.8842669773101807,0.3921330447494984,nan,0.026247082902118565,0.2936168580253919,,nan,0.0,0,0,50267,399,6.0243907655988425,5.848231380780538,57.0,167.55666666666667,8.575965119356745,8.325195074977174
