algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,balance_threshold_honest,balance_threshold_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,97,7.300194468373703,0.885339977145195,0.3846365095674992,1.0,1.7819599142441382,nan,1000.0,1.0,1.0,50630,730,0,110,0.6002290721471661,0.0,8031.85528652708,0.0,0.6002290721471661,0.0,5.27348635223028,0.0,8.461538461538462,0.0,7.268524023202749,nan,135.37993680513821,0.0,0.7699097715891324,0.0,7.563749971730276,nan,135.37993680513821,0.0,5.27348635223028,1.0649607599805637,0.7699097715891324,0.6002290721471661,8.799695892333984,522.0705936242603
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,98,7.300194468373703,0.8853874766826629,0.3847944813966751,1.0,1.558058536052704,nan,1000.0,1.0,1.0,50077,177,0,18,0.6002290721471661,0.0,7740.315822503371,0.0,0.6002290721471661,0.0,5.291927681867017,0.0,3.6,0.0,7.457329845428466,nan,135.3546356201172,0.0,0.7039529800415039,0.0,7.7086617647089595,nan,135.3546356201172,0.0,5.291927681867017,1.060139211066871,0.7039529800415039,0.6002290721471661,3.3838658905029297,193.50789556258428
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,99,7.300194468373703,0.885345478951931,0.38505915358662607,1.0,1.7680757939815521,nan,1000.0,1.0,1.0,50356,456,0,32,0.6002290721471661,0.0,8071.501468125099,0.0,0.6002290721471661,0.0,5.308715382706514,0.0,4.0,0.0,7.309711813926697,nan,135.47897911071777,0.0,0.7898497879505157,0.0,7.505862360929493,nan,135.47897911071777,0.0,5.308715382706514,1.065845557460007,0.7898497879505157,0.6002290721471661,5.419159164428711,322.86005872500397
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,100,7.300194468373703,0.8853684771060943,0.3852107062935829,1.0,1.9672690480947495,nan,1000.0,1.0,1.0,50173,273,0,52,0.6002290721471661,0.0,8297.03748158463,0.0,0.6002290721471661,0.0,5.340200742597167,0.0,6.5,0.0,7.286714851856232,nan,135.49761199951172,0.0,0.7701728492975235,0.0,7.4325325409235745,nan,135.49761199951172,0.0,5.340200742597167,1.0530449235599297,0.7701728492975235,0.6002290721471661,5.4199044799804685,331.8814992633852
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,101,7.424627291164088,0.8853539776802063,0.3854104435443878,1.0,1.7711888154347737,nan,1000.0,1.0,1.0,50275,375,0,58,0.6002290721471661,0.0,8346.451749238833,0.0,0.6002290721471661,0.0,5.36361395785013,0.0,6.444444444444445,0.0,7.269146336449517,nan,135.0960693359375,0.0,0.7659427060021294,0.0,7.365346108074797,nan,135.0960693359375,0.0,5.36361395785013,1.0538793602677472,0.7659427060021294,0.6002290721471661,6.079323120117188,375.59032871574743
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,102,7.424627291164088,0.8852664771676063,0.38569123551249507,1.0,1.665381833910942,nan,1000.0,1.0,1.0,50354,454,0,70,0.6002290721471661,0.0,7948.639537825837,0.0,0.6002290721471661,0.0,5.386271861680491,0.0,7.0,0.0,7.892954349517822,nan,135.56780548095702,0.0,0.7204472720623016,0.0,7.944270848887396,nan,135.56780548095702,0.0,5.386271861680491,1.0620300384972627,0.7204472720623016,0.6002290721471661,6.778390274047852,397.43197689129175
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,103,7.424627291164088,0.8851774767041206,0.3860181938111782,1.0,1.629152384897073,nan,1000.0,1.0,1.0,50599,699,0,90,0.6002290721471661,0.0,8405.623781132295,0.0,0.6002290721471661,0.0,5.443762584132014,0.0,7.5,0.0,7.40289584795634,nan,135.64243952433267,0.0,0.7698545108238856,0.0,7.401517906620921,nan,135.64243952433267,0.0,5.443762584132014,0.9885069928658257,0.7698545108238856,0.6002290721471661,8.138546371459961,504.3374268679378
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,104,7.424627291164088,0.8852844786643982,0.3861418329179287,1.0,1.5849949651294284,nan,1000.0,1.0,1.0,50491,591,0,48,0.6002290721471661,0.0,8457.549960828945,0.0,0.6002290721471661,0.0,5.474076656148629,0.0,5.333333333333333,0.0,7.127382225460476,nan,135.37223307291666,0.0,0.722167882654402,0.0,7.0787065353355665,nan,135.37223307291666,0.0,5.474076656148629,0.9818937217755164,0.722167882654402,0.6002290721471661,6.09175048828125,380.5897482373025
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,105,7.424627291164088,0.885167478621006,0.3865304231643677,1.0,2.145687758922577,nan,1000.0,1.0,1.0,50079,179,0,10,0.6002290721471661,0.0,8532.468924540179,0.0,0.6002290721471661,0.0,5.482054381415619,0.0,2.5,0.0,8.35559892654419,nan,135.43698501586914,0.0,0.759094312787056,0.0,8.243395696949559,nan,135.43698501586914,0.0,5.482054381415619,0.988747888049573,0.759094312787056,0.6002290721471661,2.7087397003173828,170.64937849080357
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,106,7.512182738490573,0.8850794786214828,0.3870618939399719,1.0,2.085586190223694,nan,1000.0,1.0,1.0,50440,540,0,100,0.6002290721471661,0.0,8478.284880647234,0.0,0.6002290721471661,0.0,5.505759634183878,0.0,8.333333333333334,0.0,7.930538535118103,nan,135.43606313069662,0.0,0.7636888921260834,0.0,7.772056426201871,nan,135.43606313069662,0.0,5.505759634183878,1.0021657852864085,0.7636888921260834,0.6002290721471661,8.126163787841797,508.697092838834
