algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_dp_honest,sigma_dp_attacker,balance_kept_honest,balance_kept_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,27,3.915827137372104,0.7697009804844857,0.6594821539521217,nan,0.8406001230080923,6.798349982897441,1000.0,nan,nan,0,0,0,51068,5231.319916358326,1071.9548631735895,211.54067145453558,208.18704513549804,9.321783086175072,105.04429884102373,0.9368163160428445,0.923031390348027,67.88888888888889,168.19,211.54067145453558,208.18704513549804,1.799901835881505,3.725523372611084,0.9368163160428445,0.923031390348027,5.617425229814318,63.3010325495402,0.7728039291169908,0.7908616917332013,2.955274757919253,1.1759159576351073,0.7903357374822437,0.9234328930381672,128.71995916748048,737.3366763986035
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,28,3.98253005617367,0.7710619807243347,0.6546282702684403,nan,0.9627699524164199,6.768382929960887,1000.0,nan,nan,0,0,0,50792,5192.110692058692,1049.918061215314,209.36508026123047,208.79679484049478,9.378915388010936,109.93283999003356,0.9311521789172776,0.9256256977610402,48.5,167.69,209.36508026123047,208.79679484049478,1.8220205950257753,3.761557295540991,0.9311521789172776,0.9256256977610402,5.689658784866333,66.6900513458252,0.7679647922515869,0.7752770442267259,2.985742615334905,1.1821502865902567,0.7750411651307537,0.9258039713467251,129.46537850952149,733.793050570362
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,29,4.034078480434665,0.7720764806866646,0.6506684240698815,nan,0.6987482309341431,6.759261335134506,1000.0,nan,nan,0,0,0,50692,5329.9750555648625,1034.3217956876608,211.7557430267334,208.7960890197754,9.191457403464115,114.7288909258951,0.940374581804573,0.925541294294079,52.375,167.57666666666665,211.7557430267334,208.7960890197754,1.861743627035712,3.795331347037624,0.940374581804573,0.925541294294079,5.613235712051392,70.06509190877279,0.7432575598359108,0.7630811730027198,3.021896259036859,1.1792315531576107,0.7625662739594261,0.9259265744891567,128.66574530029297,705.8726783016341
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,30,4.093274074145911,0.7732669812440872,0.6464190086722374,nan,0.743664033137835,6.776389677524566,1000.0,nan,nan,0,0,0,51220,5749.2333027875175,1010.6976448302534,219.37295414851263,208.14099970499674,9.243750092570256,119.450374976112,0.9718112525912198,0.9225344034948345,55.46153846153846,168.33,219.37295414851263,208.14099970499674,1.9186727695510393,3.830322877381697,0.9718112525912198,0.9225344034948345,5.682931129749004,73.43645680745443,0.688192021388274,0.7547088101506233,3.0656628342494336,1.1690557517518274,0.7519461320231136,0.9245810457895726,130.58829663085936,755.8986527706276
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,31,4.141901215194115,0.7745034795999527,0.6426475811004638,nan,0.8372127200875964,6.673629724184672,1000.0,nan,nan,0,0,0,50610,5471.673159211342,996.4955082178318,206.82578822544642,209.45803833007812,9.174843408246144,124.11883163292528,0.9162191174142892,0.9286577824713425,52.857142857142854,167.46666666666667,206.82578822544642,209.45803833007812,1.9573604944382592,3.8639693843699447,0.9162191174142892,0.9286577824713425,5.678297655923026,76.81696998596192,0.7508038452693394,0.7338446569442749,3.1013258283972704,1.1654501449624108,0.7342313485347487,0.9283741647013118,128.5703840332031,674.5007291596578
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,32,4.2110155269908685,0.775406981408596,0.639065167605877,nan,0.9320569813251496,6.696531336307526,1000.0,nan,nan,0,0,0,50790,5054.084846804752,981.1115578911193,192.25821380615236,208.40785563151042,9.177739186857293,128.63870471177034,0.851885454244789,0.9239333814441805,48.2,167.69333333333333,192.25821380615236,208.40785563151042,2.0179293693044213,3.8993193945576134,0.851885454244789,0.9239333814441805,5.718083620071411,80.14684829711913,0.8268448889255524,0.7276256880164147,3.146763384456336,1.1528735222792739,0.7308263074005804,0.9216092547603292,128.8898776550293,689.7486316707666
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,33,4.272772065594403,0.7765644803643227,0.6354761603474617,nan,0.9082499921321869,6.57566300312678,1000.0,nan,nan,0,0,0,50220,4966.545069150033,970.7001851481701,186.32266845703126,209.7250301106771,9.236484052257765,133.11209987012145,0.8259249125588948,0.9299084926243597,33.8,166.83666666666667,186.32266845703126,209.7250301106771,2.058344238978086,3.933795117357793,0.8259249125588948,0.9299084926243597,5.793176651000977,83.48868515014648,0.8511647701263427,0.7065269243717194,3.183614766005911,1.1492401263056908,0.708898036597205,0.9282038437708277,127.69824475097656,632.0855617804026
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,34,4.340690902820204,0.7773459786176682,0.6324441379308701,nan,0.7641170850166907,6.573996903896332,1000.0,nan,nan,0,0,0,51432,6002.561032384393,958.7598459055806,218.8777055006761,208.9196737162272,9.19480059552625,137.42575895283593,0.9714014844005157,0.9260474705382289,63.38461538461539,168.69333333333333,218.8777055006761,208.9196737162272,2.079911805420585,3.9681192848744544,0.9714014844005157,0.9260474705382289,5.805607869074895,86.77078521728515,0.635231825021597,0.6989518375198046,3.212836293092906,1.1540000738553946,0.6963053194288248,0.9279311835740428,131.0426245727539,731.3224943853427
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,35,4.388940182446901,0.778400482237339,0.6291598510742188,nan,0.8649239919402383,6.478684961001078,1000.0,nan,nan,0,0,0,51080,5888.527255522151,946.5962794632812,205.08262079412287,209.4889050801595,9.06504402094275,141.67495203333723,0.9080653150124559,0.9287465670575894,57.36363636363637,168.16333333333333,205.08262079412287,209.4889050801595,2.124990262530751,4.002192656454515,0.9080653150124559,0.9287465670575894,5.7619647546248,90.05208119710286,0.7113939794627103,0.6820458858211835,3.251311698885009,1.1477970407960585,0.6830839212876041,0.9280150758276973,130.2051607055664,697.5053672994559
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,36,4.472296474852958,0.7789589795470238,0.6269816935062409,nan,0.6430736233790716,6.435728538036346,1000.0,nan,nan,0,0,0,50464,5539.892265372514,941.39018831069,193.2392807006836,209.12941853841147,8.93475972341788,145.78783211501823,0.8567495572543237,0.9270337678882561,49.0,167.23333333333332,193.2392807006836,209.12941853841147,2.1653525771308204,4.035494437452691,0.8567495572543237,0.9270337678882561,5.717140356699626,93.28616821289063,0.7719956586758295,0.6712552321950594,3.287437693323943,1.1427551263811595,0.6732305346750745,0.9256556461111201,127.79652249145508,631.3128201708842
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,37,4.577785682173565,0.7798329815268517,0.6244961601495743,nan,0.9886884212493896,6.396338187058767,1000.0,nan,nan,0,0,0,50688,5653.997694830202,925.5291640561117,200.50066223144532,208.64141387939452,9.247909762112023,149.8071169578663,0.8900428469053672,0.9246769350561226,43.5,167.51,200.50066223144532,208.64141387939452,2.2158120195208344,4.070833209237596,0.8900428469053672,0.9246769350561226,5.957099533081054,96.49920138041179,0.7114541620016098,0.6613131937384605,3.3288247333508907,1.1364469822566692,0.6629306443275944,0.9235597064060981,129.19486157226564,668.397452330271
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,38,4.659758363581551,0.7806359794735909,0.6215852159261703,nan,0.7822055133680502,6.238867551485697,1000.0,nan,nan,0,0,0,51840,6290.219010597468,918.2399554898032,219.98358069525824,209.89252217610678,9.023530441785567,153.73655924242004,0.9750438894016492,0.930257960911316,60.611111111111114,169.16333333333333,219.98358069525824,209.89252217610678,2.2439698265520427,4.105634230440672,0.9750438894016492,0.930257960911316,5.851444058948093,99.6927845509847,0.5742083465059599,0.6396981195608775,3.36096846888522,1.1395814540309037,0.63599115127475,0.9327930134673724,133.85492221069336,777.3918576753906
noise-game,scale,fashion_mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,39,4.73186555678627,0.7811034789681435,0.6194800826907157,nan,0.8959310442209244,6.097336037158966,1000.0,nan,nan,0,0,0,50638,5708.18276031194,923.6040710553772,192.67560882568358,210.76053924560546,8.918046100125178,157.48647765719207,0.8534899584391104,0.9341442926589822,41.1,167.42333333333335,192.67560882568358,210.76053924560546,2.292908409391668,4.139561494477641,0.8534899584391104,0.9341442926589822,5.821723556518554,102.80757987976074,0.739411723613739,0.6202868210275968,3.4009002604432506,1.131691811615329,0.6241295598206982,0.9315425399422121,130.30983572387694,668.326097839465
