algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,4.7464023579153265,0.8439623109499613,0.5433103234569232,nan,5.590670964934609,3.4697692036628722,1000.0,0.0,nan,0,4725,0,25963,184.93533463911578,229.17893623352052,0.8190295642823315,1.01582143361073,3673.248022511248,448.0684144781779,0.8190295642823315,1.01582143361073,184.93533463911578,229.17893623352052,0.6630847575989637,0.3418581973388791,2.663648197712215,3.9160029343156966,3.1645900923536074,1.036367470603001,0.35860460569367025,1.0055621418447949,95.74015185546875,260.0388222865186
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,5.074807043784342,0.8417049783468247,0.5553355966011683,0.0,6.417868477957589,5.114310705661774,1000.0,0.0,0.0,262,582,30149,23,171.1877920968192,0.0,0.7589643274151452,0.0,4501.1343359750335,0.0,0.7589643274151452,0.0,171.1877920968192,0.0,0.7486793696880341,0.0,2.723395925397284,0.0,2.723395925397284,1.0783746081944026,0.7486793696880341,0.7589643274151452,7.988763631184896,210.0529356788349
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.8377599793672562,0.6248089948296547,0.011491596638655463,6.426583680239591,5.529791867733001,1000.0,0.09523809523809523,0.006257274225331013,244,510,30140,20,169.39119096235797,0.0,0.7507900792625353,0.0,5026.376275966084,0.0,0.7507900792625353,0.0,169.39119096235797,0.0,0.7497158917513761,0.0,2.7614677812074477,0.0,2.7614677812074477,1.0836566234816194,0.7497158917513761,0.7507900792625353,6.211010335286458,184.30046345208976
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.8258806482702493,1.7759491270780563,0.005,6.512775274423452,9.702055492401122,1000.0,0.03125,0.0024154589371980675,258,535,30142,45,162.64178584172174,0.0,0.7206180249289773,0.0,4084.644445220414,0.0,0.7206180249289773,0.0,162.64178584172174,0.0,0.7893777718910804,0.0,2.813879571835266,0.0,2.813879571835266,1.0905096364039717,0.7893777718910804,0.7206180249289773,7.047810719807942,177.00125929288458
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.8155433127780756,12.88383594195048,0.1224149882173146,5.714813907941182,36.68847756385803,1000.0,0.875,0.05093087428012011,417,1,29938,550,173.01120122273764,0.0,0.7681621814394516,0.0,5635.198401096183,0.0,0.7681621814394516,0.0,173.01120122273764,0.0,0.6965901652971903,0.0,2.848132455662387,0.0,2.848132455662387,1.0918759850503201,0.6965901652971903,0.7681621814394516,6.920448048909505,225.40793604384734
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.8018476457893848,690.9457903717955,0.09090909090909091,5.627998078570647,108.26402446746826,1000.0,0.0625,0.07575757575757576,113,694,30415,72,179.22196421903723,0.0,0.7947268567227191,0.0,5319.798088963608,0.0,0.7947268567227191,0.0,179.22196421903723,0.0,0.6362432603012113,0.0,2.885737550076131,0.0,2.885737550076131,1.099278860768388,0.6362432603012113,0.7947268567227191,10.155911305745443,301.45522504127115
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,5.194253122102357,0.7859543146938086,38696.817693165045,0.0,5.301067902491643,596.2288313293457,1000.0,0.0,0.0,245,464,30069,34,179.7356215256911,0.0,0.7975544692722517,0.0,4434.320911904013,0.0,0.7975544692722517,0.0,179.7356215256911,0.0,0.6176363092202407,0.0,2.907517930306395,0.0,2.907517930306395,1.1064450526607064,0.6176363092202407,0.7975544692722517,7.788543599446615,192.15390618250723
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,5.26815741159631,0.7759039813031753,2145346.823280139,0.0,5.532277226448059,4666.184428710938,1000.0,0.0,0.0,532,340,29676,18,170.39361877441405,0.0,0.7547591669204738,0.0,6032.543241610156,0.0,0.7547591669204738,0.0,170.39361877441405,0.0,0.6837443351745606,0.0,2.945501010509442,0.0,2.945501010509442,1.1057157636279382,0.6837443351745606,0.7547591669204738,5.679787292480468,201.08477472033852
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,5.26815741159631,0.7666756474971771,148496543.55723283,0.18780819105890015,5.299695926904678,37243.27146484375,1000.0,0.1785752827419494,0.16090980670833227,4829,549,25527,151,170.05923919677736,0.0,0.7538538630446647,0.0,4612.042821865915,0.0,0.7538538630446647,0.0,170.05923919677736,0.0,0.6792581107001752,0.0,3.0486564163296532,0.0,3.0486564163296532,1.0959834136119475,0.6792581107001752,0.7538538630446647,11.33728261311849,307.4695214577277
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,5.26815741159631,0.7386873137454192,10042193769.970076,0.13476483624616128,5.576132468879223,241539.785703125,1000.0,0.2515061692693271,0.08694628810865847,4907,938,25778,153,170.48992665608725,0.0,0.7558674981059411,0.0,5400.569569307922,0.0,0.7558674981059411,0.0,170.48992665608725,0.0,0.6559942823369056,0.0,3.1390354874893465,0.0,3.1390354874893465,1.086135067793041,0.6559942823369056,0.7558674981059411,13.63919413248698,432.0455655446338
