algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,balance_kept_honest,balance_kept_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,102,2.30521035096321,0.8843983117739359,0.38799691667159397,1.0,2.1615164981168857,nan,1000.0,1.0,1.0,30753,853,0,120,16771.91933153582,0.0,1.2568337286219877,0.0,7.0588235294117645,0.0,0.7431662713780123,0.0,283.3024677949793,0.0,1.970573469525431,0.0,8.045939053410534,nan,283.3024677949793,0.0,7.9939658221076515,nan,1.2568337286219877,0.0,1.970573469525431,0.2066525233492791,0.7431662713780123,1.2568337286219877,16.053806508382163,950.4087621203631
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,103,2.30521035096321,0.8843913104136785,0.3882721079389254,1.0,2.036045869191488,nan,1000.0,1.0,1.0,30512,612,0,160,17433.87761017332,0.0,1.2502011093828413,0.0,8.88888888888889,0.0,0.7497988906171587,0.0,282.02867211235895,0.0,1.9777338284413015,0.0,7.572579338557909,nan,282.02867211235895,0.0,7.573989126417372,nan,1.2502011093828413,0.0,1.9777338284413015,0.1724801125039637,0.7497988906171587,1.2502011093828413,16.921720326741536,1046.032656610399
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,104,2.30521035096321,0.8843699779113133,0.388529673119386,1.0,2.1276843388875326,nan,1000.0,1.0,1.0,30560,660,0,104,17521.46083455899,0.0,1.2730068882306418,0.0,6.933333333333334,0.0,0.7269931117693583,0.0,287.0664103190104,0.0,1.978427851008589,0.0,7.529282647569642,nan,287.0664103190104,0.0,7.58105665842692,nan,1.2730068882306418,0.0,1.978427851008589,0.17255020434572915,0.7269931117693583,1.2730068882306418,14.353320515950521,876.0730417279495
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,105,2.30521035096321,0.8844103099902471,0.38877813746531803,1.0,2.4379141671316966,nan,1000.0,1.0,1.0,30067,167,0,26,16402.298498115342,0.0,1.2023449199540275,0.0,3.7142857142857144,0.0,0.7976550800459725,0.0,271.4304678780692,0.0,1.978840718954935,0.0,7.854365035738761,nan,271.4304678780692,0.0,7.961273057120187,nan,1.2023449199540275,0.0,1.978840718954935,0.17261853466060623,0.7976550800459725,1.2023449199540275,6.333377583821615,382.7202982893579
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,106,2.30521035096321,0.8843283122777938,0.38912328898906706,1.0,2.0744740433163114,nan,1000.0,1.0,1.0,30362,462,0,182,17919.661392996466,0.0,1.2908368185162544,0.0,10.11111111111111,0.0,0.7091631814837456,0.0,291.3275451660156,0.0,1.9796874096153776,0.0,7.623951506293003,nan,291.3275451660156,0.0,7.7794135676489935,nan,1.2908368185162544,0.0,1.9796874096153776,0.17268656023734918,0.7091631814837456,1.2908368185162544,17.479652709960938,1075.1796835797877
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,107,2.30521035096321,0.8842073120673497,0.389671431183815,1.0,2.4912292808294296,nan,1000.0,1.0,1.0,30398,498,0,136,17174.23795504841,0.0,1.2574572898447514,0.0,8.5,0.0,0.7425427101552486,0.0,283.905029296875,0.0,1.9804701912845981,0.0,8.191955539523596,nan,283.905029296875,0.0,8.414912760257721,nan,1.2574572898447514,0.0,1.9804701912845981,0.17283512753388824,0.7425427101552486,1.2574572898447514,15.1416015625,915.9593576025819
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,108,2.318567750997952,0.8840796440839768,0.3901761193076769,1.0,2.4992604355017343,nan,1000.0,1.0,1.0,30405,505,0,64,17796.486436483556,0.0,1.267710452278455,0.0,5.333333333333333,0.0,0.7322895477215449,0.0,286.47625223795575,0.0,1.9810094515871204,0.0,8.338050902024817,nan,286.47625223795575,0.0,8.622274994850159,nan,1.267710452278455,0.0,1.9810094515871204,0.17301332117094959,0.7322895477215449,1.267710452278455,11.459050089518229,711.8594574593423
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,109,2.318567750997952,0.8839609777927399,0.390879290997982,1.0,2.422207706249677,nan,1000.0,1.0,1.0,30918,1018,0,318,17184.39087874147,0.0,1.2321943869957557,0.0,12.23076923076923,0.0,0.7678056130042443,0.0,277.92102578970105,0.0,1.9824178948759694,0.0,7.826620776238117,nan,277.92102578970105,0.0,8.147547776882465,nan,1.2321943869957557,0.0,1.9824178948759694,0.1732346171374177,0.7678056130042443,1.2321943869957557,24.08648890177409,1489.3138761575942
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,110,2.3308130498354465,0.8838849786917369,0.3914878989259402,1.0,2.501782556374868,nan,1000.0,1.0,1.0,30644,744,0,326,18110.122698700077,0.0,1.2512298598885536,0.0,13.583333333333334,0.0,0.7487701401114464,0.0,282.3834813435872,0.0,1.9836712423393756,0.0,7.861662213361183,nan,282.3834813435872,0.0,8.238768517971039,nan,1.2512298598885536,0.0,1.9836712423393756,0.17350804359200245,0.7487701401114464,1.2512298598885536,22.59067850748698,1448.8098158960063
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,111,2.3308130498354465,0.8837993121147156,0.3918606682618459,1.0,2.5232384375163486,nan,1000.0,1.0,1.0,30322,422,0,102,18273.987360419957,0.0,1.2149033759321486,0.0,7.285714285714286,0.0,0.7850966240678515,0.0,274.100698198591,0.0,1.9844832705783748,0.0,7.574981896177482,nan,274.100698198591,0.0,7.991435834339687,nan,1.2149033759321486,0.0,1.9844832705783748,0.17368104708255894,0.7850966240678515,1.2149033759321486,12.791365915934245,852.786076819598
