algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,43,0.0,0.7846966483195623,0.6091830297311147,nan,0.03410438635076086,0.03424139606766403,,nan,nan,0,0,0,31224,8.596314109098406,8.519026999577626,5.763354433907403,5.711537690162658,41.388888888888886,152.395
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,44,0.0,0.7853569815556208,0.6071941159168879,nan,0.033866862213859955,0.03414916626177728,,nan,nan,0,0,0,31312,8.553966420849191,8.47669243119028,5.77332345644633,5.721168968677521,43.833333333333336,152.615
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,45,0.0,0.7857556474208832,0.605503161350886,nan,0.03334988122805953,0.033731951816007494,,nan,nan,0,0,0,31786,8.514089380068292,8.434361401303292,5.784846646445138,5.73067595243454,50.38095238095238,153.64
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,46,0.0,0.7864386465152104,0.6038178306818008,nan,0.03288261763751507,0.03354596115648747,,nan,nan,0,0,0,30978,8.471022480485702,8.392083342241614,5.794083855368874,5.740090374946594,50.72727272727273,152.1
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,47,0.0,0.7867903125286102,0.6022658814986547,nan,0.03287474907313784,0.0331090456712991,,nan,nan,0,0,0,31756,8.42522866112887,8.349851852201608,5.8013081550598145,5.749406406879425,58.294117647058826,153.825
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,48,0.0,0.7874619785944621,0.600642312169075,nan,0.03282361188282569,0.03310699564404786,,nan,nan,0,0,0,30596,8.390432168849971,8.307688210899219,5.815992875532671,5.758637275695801,34.54545454545455,151.08
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,49,0.0,0.7878546464443207,0.5991790461540222,nan,0.032225720044225456,0.03265271360054612,,nan,nan,0,0,0,30688,8.34066734801727,8.265576034418391,5.820169492201372,5.7677703070640565,38.81818181818182,151.305
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,50,0.0,0.788270978530248,0.5981010828415553,nan,0.03204863726471861,0.16468807809054853,,nan,0.0,0,0,30411,605,8.308220740098282,8.142638532942387,5.836307355335781,5.7199901938438416,43.214285714285715,152.055
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,51,0.0,0.7886849798758825,0.5968865670760473,nan,0.03195949018622438,0.28002795450389384,,nan,0.0,0,0,30384,530,8.273063729725896,8.035016553046045,5.85048398104581,5.682143540382385,48.18181818181818,151.92
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,52,0.0,0.7878223131100337,0.600669696132342,nan,0.03234246536468466,0.8164928545057774,,nan,0.0,0,0,30400,580,8.222978959532574,8.040748789969186,5.853962017939641,5.724231843948364,44.61538461538461,152.0
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,53,0.0,0.7792509813110033,0.6581974792480468,nan,0.034169513173401354,2.5101215386390687,,nan,0.0,0,0,30355,551,8.194919247294091,9.076236484514846,5.873009403546651,6.504618363380432,45.916666666666664,151.775
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,54,0.0,0.7702983137468496,1.0924964874982834,0.5207625152471743,0.04458300633355975,7.741030311584472,,1.0,0.3532020565672459,495,0,30033,766,8.146026345908405,16.080586677910983,5.87701940536499,11.601474871635437,31.58823529411765,151.31
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,55,0.0,0.7874439796805381,0.6101067711909612,1.0,0.06932853691279889,26.80445851325989,,1.0,1.0,1240,0,29074,498,8.141936867562945,48.22945279249862,5.9133603022648735,35.02829071044922,6.461538461538462,147.44
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,56,0.0,0.7902036480108897,0.592716667453448,1.0,0.03586371871953209,98.24881702423096,,1.0,1.0,611,0,29597,358,8.065533954088645,172.2331849048247,5.897053003311157,125.92696603775025,5.0,149.525
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,57,0.0,0.7904039788246154,0.5918357050418854,1.0,0.032001302589972816,367.1939365386963,,1.0,1.0,493,0,29863,700,8.032297807741706,638.6949011186741,5.912035131454468,470.10043502807616,12.2,151.595
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,58,0.0,0.7909206447998682,0.5906354196866354,1.0,0.03136274447043737,1416.2877197265625,,1.0,1.0,785,0,29900,1091,8.01366538078821,2440.7070714600436,5.93777455886205,1808.4568878173827,12.75,153.425
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,59,0.0,0.7910029800732931,0.5900658061106999,1.0,0.031171658411622047,5459.83211303711,,1.0,1.0,443,0,29900,559,7.959318884269452,9367.975139293525,5.936954243977865,6987.68833984375,7.733333333333333,151.715
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,60,0.0,0.7913599816958109,0.5891973117987315,1.0,0.03116498429949085,21579.755400390626,,1.0,1.0,467,0,29900,537,7.971700714201226,36703.21299457985,5.985963702201843,27560.505419921876,5.833333333333333,151.835
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,61,0.0,0.7915743124485016,0.5886497672398885,1.0,0.03125464317078392,84157.285078125,,1.0,1.0,372,0,29900,530,7.8725289047444065,142714.88128176273,5.951037049293518,107881.6675390625,9.875,151.36
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,62,0.0,0.7921509810288747,0.5872836011648178,1.0,0.03073913666109244,335659.2365625,,1.0,1.0,592,0,29900,720,7.8308485112175745,563756.5428853695,5.959125190973282,429007.8925,8.0,152.46
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,63,0.0,0.7923713145653407,0.5866374625762304,1.0,0.03039596221099297,1321735.901875,,1.0,1.0,641,0,29900,829,7.830666860716025,2209933.779671539,5.9988462548506885,1692966.02875,9.894736842105264,152.705
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,64,0.0,0.792584310968717,0.586017671028773,1.0,0.030622687290112176,5281711.5875,,1.0,1.0,1008,0,29900,1162,7.773499075455195,8753198.094799709,5.994884649912517,6750423.765,8.555555555555555,154.54
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,65,0.0,0.7930849794546763,0.5849888966480891,1.0,0.030300659413139027,20674458.35,,1.0,1.0,734,0,29900,914,7.724066948275376,34168018.31504635,5.996607253425999,26526464.34,9.473684210526315,153.17
balance,scale,fashion_mnist,42,500,200,1.0,0.1,0.05,iid,1.0,50,66,0.0,0.7934656437238058,0.5842989003658294,1.0,0.029984448347240688,82994085.12,,1.0,1.0,554,0,29900,692,7.686169996569282,135786540.15553534,6.007099956274033,106123507.52,8.625,152.27
