algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,113,0.0,0.8875685760974884,0.3786048721671104,nan,0.0145193623714149,0.0,,nan,nan,0,0,0,392,6.58805733016043,0.0,6.16202646506514,0.0,11.878787878787879,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,114,0.0,0.8875687764883041,0.3788086928129196,nan,0.014310110444203019,0.0,,nan,nan,0,0,0,356,6.593029301742027,0.0,6.1257024672561196,0.0,12.275862068965518,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,115,0.0,0.8875651770830154,0.3789953438639641,nan,0.014223869057372213,0.0,,nan,nan,0,0,0,304,6.607571993555341,0.0,6.098422373268961,0.0,10.857142857142858,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,116,0.0,0.887583976984024,0.3791818942427635,nan,0.014072143968194723,0.0,,nan,nan,0,0,0,414,6.612526864716501,0.0,6.062444129406653,0.0,12.545454545454545,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,117,0.0,0.8876359777450562,0.37934040051698686,nan,0.014032372772693634,0.0,,nan,nan,0,0,0,210,6.610174854596456,0.0,6.020020234016013,0.0,8.75,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,118,0.0,0.8876369776725769,0.37952491563558577,nan,0.013867216693237424,0.0,,nan,nan,0,0,0,402,6.624561509778423,0.0,5.993035408121734,0.0,12.96774193548387,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,119,0.0,0.8875909756422042,0.3797334635257721,nan,0.013713075103238225,0.0,,nan,nan,0,0,0,258,6.631021698315938,0.0,5.959020221486239,0.0,10.75,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,120,0.0,0.8876155773401261,0.37987393450737,nan,0.013655366016551852,0.0,,nan,nan,0,0,0,382,6.63218554854393,0.0,5.920464502635613,0.0,11.9375,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,121,0.0,0.887571377158165,0.38013831424713135,nan,0.013562609808519482,0.0,,nan,nan,0,0,0,316,6.640601799405855,0.0,5.88858916875413,0.0,10.89655172413793,0.0
balance,scale,mnist,42,500,0,1.0,0.1,0.05,iid,1.0,500,122,0.0,0.8876135768890381,0.3803855658173561,nan,0.013379303578287363,0.0,,nan,nan,0,0,0,128,6.652471793325324,0.0,5.85991831697753,0.0,6.7368421052631575,0.0
