algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,46,4.6418344701202585,0.7853677292168141,0.6067177525162697,nan,1.0169454654057821,4.434911490678787,1000.0,0.0,nan,0,3255,0,7567,0.859423015348264,0.9899296880658188,193.81298217773437,223.18288146972657,2.582729268464484,4.079874236141432,0.6386103592813015,0.4318781341612339,5773.965526853929,524.3243008558167,193.81298217773437,223.18288146972657,0.859423015348264,0.9899296880658188,2.8821582619998733,1.0918208475464708,0.45884320700298187,0.9729070785809204,50.450965759277345,278.0838259767811
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,47,4.7464023579153265,0.7857357288897038,0.6054453933238984,nan,1.0521097023572241,4.20096129655838,1000.0,0.0,nan,0,4218,0,7996,0.8684653988443543,0.9955736222368329,195.98190689086914,224.7073840332031,2.637608470072455,4.100547901647748,0.6104604048388345,0.4070879855006933,5790.688449130617,526.7666471653193,195.98190689086914,224.7073840332031,0.8684653988443543,0.9955736222368329,2.9301963563875133,1.0821390946427436,0.4515757022309117,0.9677686983697283,55.9164635925293,429.6318825843784
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,48,4.817790508240018,0.78623998016119,0.6039230275154114,nan,1.1471138913184404,4.22924288034439,1000.0,0.0,nan,0,2949,0,7579,0.8556956473417027,0.9852692114158867,193.14422607421875,222.21455169677733,2.65307384059592,4.123381175587791,0.617132168263197,0.40773164816200735,5798.036747609104,524.5451945874498,193.14422607421875,222.21455169677733,0.8556956473417027,0.9852692114158867,2.9471353075942943,1.0874707461159812,0.4366144785207921,0.9673969956815165,50.62352557373047,290.44621484098127
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,49,5.094688819491828,0.7866922296583653,0.6025592704117299,nan,1.1446177791804075,3.8944335512816908,1000.0,0.0,nan,0,3216,0,7516,0.8408209492387648,0.9961547254736661,189.8022289276123,224.6232275390625,2.6667476714122644,4.143521623405237,0.627514326479286,0.3739604840241373,5624.192270789648,524.6161932301632,189.8022289276123,224.6232275390625,0.8408209492387648,0.9961547254736661,2.962102461810859,1.0964408157706704,0.4089334278110543,0.9747293770274726,50.99831683349609,284.89739131130136
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,50,5.094688819491828,0.7832972311973572,0.6150479423999786,0.30940833471881607,0.9673292416901815,8.61782907962799,1000.0,0.6111111111111112,0.21798739309038231,265,24,10314,819,0.8588017335038688,0.0,193.6974596296038,0.0,2.706174940372697,0.0,0.5840753146580288,0.0,5654.029436729289,0.0,193.6974596296038,0.0,0.8588017335038688,0.0,2.706174940372697,1.029491871218408,0.5840753146580288,0.8588017335038688,10.1691166305542,296.8365454282877
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.7732089801132679,1.0363801753520965,0.4217649402035368,1.1042156131828533,10.884348573684692,1000.0,0.75,0.33408732961499144,167,3,10217,585,0.8408819457491045,0.0,189.6961239085478,0.0,2.733793629919842,0.0,0.5996866997550515,0.0,5743.651188880634,0.0,189.6961239085478,0.0,0.8408819457491045,0.0,2.733793629919842,1.030170634012066,0.5996866997550515,0.8408819457491045,8.06208526611328,244.10517552742698
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.7722579799592495,9.727248986512423,0.3219606767679076,1.0318687426693298,40.09507472991943,1000.0,0.4117647058823529,0.2950909049893154,129,21,10055,391,0.8273012939032827,0.0,186.6918487548828,0.0,2.7696560002501878,0.0,0.6095859837882659,0.0,5305.746111092596,0.0,186.6918487548828,0.0,0.8273012939032827,0.0,2.7696560002501878,1.0296152908859921,0.6095859837882659,0.8273012939032827,7.93440357208252,225.49420972143528
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.7531762288510799,2950.8746780510246,0.16153846153846155,0.8738255980941985,205.82389236450194,1000.0,0.1875,0.11746031746031746,16,754,10572,64,0.8526342668637518,0.0,192.1379386054145,0.0,2.798508242249479,0.0,0.5525292389922671,0.0,5619.1994081685025,0.0,192.1379386054145,0.0,0.8526342668637518,0.0,2.798508242249479,1.0283435599112505,0.5525292389922671,0.8526342668637518,8.646207237243653,252.8639733675826
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.7373144804313779,919736.1052990982,0.0,0.8525753231862416,2236.8507568359373,1000.0,0.0,0.0,0,971,10701,94,0.9084167040619948,0.0,205.13864018366888,0.0,2.817562195071584,0.0,0.44115070210626495,0.0,5191.679018345564,0.0,205.13864018366888,0.0,0.9084167040619948,0.0,2.817562195071584,1.0324440582000023,0.44115070210626495,0.9084167040619948,13.334011611938477,337.4591361924616
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,55,5.194253122102357,0.730804480779916,94927063.62228064,0.019615384615384614,0.8633836125334103,35442.5723828125,1000.0,0.041666666666666664,0.007411067193675889,781,223,9311,73,0.8747210371478055,0.0,197.08138834635417,0.0,2.8308192820021567,0.0,0.4838871225714684,0.0,5175.263740113305,0.0,197.08138834635417,0.0,0.8747210371478055,0.0,2.8308192820021567,1.0339820584733785,0.4838871225714684,0.8747210371478055,7.390552062988281,194.0723902542489
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,56,5.230305745052937,0.7293557309545576,13420909925.437061,0.032563025210084036,0.6306688656720022,472629.811875,1000.0,0.11666666666666665,0.013846153846153847,530,245,9596,41,0.8586173889274864,0.0,193.7886225382487,0.0,2.8527161831461143,0.0,0.5010758598024646,0.0,5270.316190353465,0.0,193.7886225382487,0.0,0.8586173889274864,0.0,2.8527161831461143,1.0314145018141174,0.5010758598024646,0.8586173889274864,5.813658676147461,158.1094857106039
