algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,1.3573949755668715,0.8770366446177165,0.4232319615284602,nan,1.8811176906932483,11.137079155445099,1000.0,0.0,nan,0,25,0,30243,333.4731972434304,381.6889402770996,1.4788505264949114,1.691224092710689,0.7503294910704523,1.29044993599364,0.8105649460445751,0.6397535221278667,1.4788505264949114,1.691224092710689,9990.8719195274,435.1133726147145,333.4731972434304,381.6889402770996,0.9663776690397274,0.37745428334196984,0.6486583830903492,1.6801524849932787,160.0119864501953,393.84453127548863
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,1.3728322189676505,0.8769726455211639,0.42196411152680713,nan,1.8798099557558696,11.046007006168365,1000.0,0.0,nan,0,414,0,30988,353.47133763631183,380.4879409790039,1.5656797035189118,1.6872594858935275,0.7598296890526841,1.3019679119023215,0.7280726097524166,0.6293035863339901,1.5656797035189118,1.6872594858935275,10662.739958873552,433.0125914521042,353.47133763631183,380.4879409790039,0.9766849781925391,0.37869404912028487,0.6398859817002501,1.6742330806391048,169.16180059814454,685.0165546067723
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,1.3883435249128326,0.8774053106705347,0.419611512919267,nan,1.7432539142095125,10.84685689687729,1000.0,0.0,nan,0,93,0,30565,317.7188955453726,381.155072479248,1.4098313768569868,1.6901497728416954,0.7719288531744916,1.3132329594250263,0.8431700743161715,0.6131562481820584,1.4098313768569868,1.6901497728416954,9829.32299842204,429.81392342361937,317.7188955453726,381.155072479248,0.9884504956747054,0.37771147405926353,0.6271946507160653,1.673041138344976,160.7227202758789,427.4879673284207
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,1.4061815603872478,0.8775349775950114,0.41813714275757474,nan,2.0211487213770547,10.682843174934387,1000.0,0.0,nan,0,352,0,30714,325.6518961588542,381.18390701293947,1.44523254158856,1.6898589528208974,0.7839640441022129,1.3243685093476198,0.8022035559018453,0.5994592659175396,1.44523254158856,1.6898589528208974,10356.962600185801,427.805733465435,325.6518961588542,381.18390701293947,1.0001258302003755,0.3767436126933345,0.6136042163815609,1.6727919938977112,162.2431196899414,481.831171391748
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,41,1.4263510640774693,0.8773209770520528,0.41785186926523843,nan,2.440310872119406,10.523794617652893,1000.0,0.0,nan,0,780,0,30646,326.30464636761207,380.900046081543,1.446645958362031,1.6885996268445889,0.7928290249892539,1.335362611137226,0.7889823006547015,0.5864378057420254,1.446645958362031,1.6885996268445889,10200.470384853648,426.3585133571583,326.30464636761207,380.900046081543,1.0098424594484428,0.37948261847089637,0.6073280451276377,1.6636447641759842,167.37003216552733,639.7650430461313
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,42,1.4450851678227785,0.8776413120826085,0.4157956605156263,nan,1.698756673506328,10.4199795794487,1000.0,0.0,nan,0,809,0,30507,318.4256395612444,379.78108306884764,1.414027676010954,1.6831031731759587,0.8075964237336697,1.346407426276512,0.8043912436280932,0.5768787090480327,1.414027676010954,1.6831031731759587,10400.204489955808,424.40317833829454,318.4256395612444,379.78108306884764,1.0231208247508066,0.37763966623720435,0.5917627066373825,1.6655001032679677,160.8283511352539,460.9669970540805
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,43,1.462544373627012,0.8775636444489161,0.41511918693780897,nan,2.089623623424106,10.191306245326995,1000.0,0.0,nan,0,800,0,30424,316.3118625217014,380.22572357177734,1.404198650118638,1.6852484612050913,0.8277718783136501,1.357316362426978,0.8007694780826569,0.5607439577579498,1.404198650118638,1.6852484612050913,9527.149182069426,419.691378485468,316.3118625217014,380.22572357177734,1.0395896719589814,0.3734938404423758,0.5805625787021917,1.662042513500705,163.47751647949218,510.85392194868655
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,44,1.4747983018966582,0.877758978207906,0.41400473843018215,nan,1.9226438734266493,9.875821721553802,1000.0,0.0,nan,0,857,0,30455,317.3021511501736,381.8000846862793,1.4077764891593478,1.6922372795515412,0.8469832232530238,1.3680624205405625,0.7856307129065195,0.540250533670187,1.4077764891593478,1.6922372795515412,10500.331652148812,422.4431277285904,317.3021511501736,381.8000846862793,1.0554149021680392,0.3686559936546637,0.5605112824144713,1.6687496913540205,164.14291131591796,546.9891905687933
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,45,1.4886161786520828,0.8775099780162176,0.41373666952053706,nan,2.283628883815947,9.758016123771668,1000.0,0.0,nan,0,2137,0,29649,322.2193545386905,380.30436553955076,1.4267173329260567,1.6861976215237022,0.8558149806623432,1.3790161464400803,0.7569232341789064,0.5308420683443547,1.4267173329260567,1.6861976215237022,10459.481640637088,418.554318285726,322.2193545386905,380.30436553955076,1.065095446973438,0.37132948314902087,0.5523248940571401,1.6615411235121609,165.65495910644532,606.7199562210483
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,46,1.537414683794145,0.8779246451457342,0.41210914572079976,nan,2.289739289067008,9.47559347629547,1000.0,0.0,nan,0,1486,0,29492,307.41436490145594,381.3031358337402,1.365113578198976,1.6898999594604454,0.8674212293315677,1.389836719706793,0.7986439412290399,0.5128185760974884,1.365113578198976,1.6898999594604454,10560.996265360622,420.68412538761635,307.41436490145594,381.3031358337402,1.076387425481658,0.37139912211774667,0.5277194245166689,1.672967968020274,159.28437036132811,400.6155679929802
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,1.5940012606091747,0.8775123087565104,0.41261131435632703,nan,2.5708037159022163,9.337232670783997,1000.0,0.0,nan,0,1774,0,29982,307.4648500330308,379.8278044128418,1.3632741141208673,1.684294690778932,0.8853010057923146,1.4007186411601202,0.7882051853572621,0.5028545972704888,1.3632741141208673,1.684294690778932,9398.750317268723,419.3431761287203,307.4648500330308,379.8278044128418,1.0914680599394369,0.3699821973299111,0.5252092516367337,1.65914561334489,162.38492666625976,487.2947812386247
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,1.5940012606091747,0.8778266455729803,0.41105086614688235,nan,2.2105014540932397,9.004826607704162,1000.0,0.0,nan,0,1280,0,29316,334.7038934881037,381.1686851501465,1.4840625612694707,1.689978847905189,0.8888778840872671,1.4113577735763885,0.6675802685997703,0.48270469091832635,1.4840625612694707,1.689978847905189,11292.033974130269,420.7430390881686,334.7038934881037,381.1686851501465,1.0978698398829156,0.37283688086002575,0.4923427542097761,1.679243875616123,159.83095971679688,416.72196306613336
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,1.5940012606091747,0.8776713109016419,0.41101081411043805,nan,2.681632486256686,9.005217332839965,1000.0,0.0,nan,0,1451,0,29237,309.3495982776989,377.99561187744143,1.370023200996531,1.675461040991072,0.8921697257593718,1.4223671634375206,0.757604948498986,0.48062098160386085,1.370023200996531,1.675461040991072,9507.31442572532,420.2605150742233,309.3495982776989,377.99561187744143,1.1042487008306314,0.37712576740756776,0.4950609040486304,1.6595377412757166,158.00393591308594,377.26512339564636
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,1.7851488672589513,0.8724986441930135,0.4298285856842995,0.13269698693047552,2.4310036301612854,9.154283804893494,1000.0,0.775,0.1101568758124531,273,8,30138,597,298.6731218610491,0.0,1.3241038394480598,0.0,0.912022258492445,0.0,0.7871787973812648,0.0,1.3241038394480598,0.0,10013.54267441189,0.0,298.6731218610491,0.0,0.912022258492445,0.3554406411154261,0.7871787973812648,1.3241038394480598,13.938079020182292,467.2986581392216
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,1.8041287660107996,0.8638033114870389,0.6652326730887095,0.07289214690241246,2.467052302577279,9.905146899223327,1000.0,0.8555555555555555,0.03341979192754285,498,95,29886,435,291.6604794588956,0.0,1.292780291753557,0.0,0.9259443602955184,0.0,0.8039690906351263,0.0,1.292780291753557,0.0,10230.50056773483,0.0,291.6604794588956,0.0,0.9259443602955184,0.35913395141716253,0.8039690906351263,1.292780291753557,10.694217580159505,375.1183541502771
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,1.8100158922121303,0.8542176458984614,3.552164297401905,0.2289342403628118,2.52633988398772,17.617414197921754,1000.0,0.7142857142857143,0.08513157101718206,244,6,30156,574,284.1914297250601,0.0,1.2591948260498922,0.0,0.9440401005531162,0.0,0.823333047903501,0.0,1.2591948260498922,0.0,9397.683650929393,0.0,284.1914297250601,0.0,0.9440401005531162,0.3620791290634477,0.823333047903501,1.2591948260498922,12.314961954752604,407.23295820694034
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,1.8172355242838145,0.8400193109114965,55.64856653581063,0.3430854889344474,1.801261122028033,64.67916818618774,1000.0,0.8181818181818182,0.2510641450582135,549,4,29806,547,298.77963892618817,0.0,1.3266639502253623,0.0,0.9560077091932578,0.0,0.7478265290458997,0.0,1.3266639502253623,0.0,11203.603699531697,0.0,298.77963892618817,0.0,0.9560077091932578,0.3634739321253789,0.7478265290458997,1.3266639502253623,11.951185557047525,448.1441479812679
