algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,3.1031388284870296,0.8813636442025502,0.4012210272749265,nan,1.392144046046517,5.273532189130783,1000.0,0.0,nan,0,904,0,29692,296.1195429021662,336.32643798828127,296.1195429021662,336.32643798828127,1.3129532770677046,1.491163369268179,0.6870467229322954,0.5088366307318211,10384.12805702845,639.828668747054,1.3129532770677046,1.491163369268179,1.7568472995040956,3.013564102560628,2.2595340207267087,0.7658491274860381,0.51812720425886,1.48187279574114,141.04520513916015,484.3822847534476
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,3.1083154121372623,0.8814646438757578,0.4003361114859581,nan,1.8051452094858342,5.209410407543182,1000.0,0.0,nan,0,1471,0,29217,275.12823208895594,338.3096755981445,275.12823208895594,338.3096755981445,1.2185255505821921,1.4995396990329026,0.7814744494178079,0.5004603009670973,9315.432025854667,649.5744760363876,1.2185255505821921,1.4995396990329026,1.757521099077197,3.0190548850444974,2.2621346134641165,0.7678602298468097,0.5151103276635798,1.4848896723364202,141.37669134521485,464.7692949833578
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,2.242196491242757,0.8796069777011871,0.4051877616842588,0.03309684684684684,1.5253244851316725,5.280836415290833,1000.0,0.6,0.00565277215832097,60,7,30351,598,270.91378239222934,0.0,270.91378239222934,0.0,1.2010516141142165,0.0,0.7989483858857837,0.0,9721.225620056328,0.0,1.2010516141142165,0.0,1.7709119188297215,0.0,1.7709119188297215,0.5700975615763476,0.7989483858857837,1.2010516141142165,12.642643178304036,453.65719560262863
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,2.242196491242757,0.8708603103955587,0.48805142293373743,0.012341479309221245,1.5226130268790505,5.786281609535218,1000.0,0.5,0.004468246926099631,206,95,30178,435,269.7608184814453,0.0,269.7608184814453,0.0,1.1957233385606245,0.0,0.8042766614393755,0.0,9833.218663239344,0.0,1.1957233385606245,0.0,1.777836703550169,0.0,1.777836703550169,0.5610751287394011,0.8042766614393755,1.1957233385606245,9.891230010986328,360.55135098544264
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,2.242196491242757,0.8588449772944053,1.8576047683755557,0.08400686175789669,1.626291064115671,10.78938760280609,1000.0,0.875,0.0358942886223699,258,4,30142,576,263.8006321833684,0.0,263.8006321833684,0.0,1.1688440166986906,0.0,0.8311559833013095,0.0,9444.920892664084,0.0,1.1688440166986906,0.0,1.7912293963621815,0.0,1.7912293963621815,0.5421459711419996,0.8311559833013095,1.1688440166986906,11.431360727945963,409.279905348777
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,2.242196491242757,0.844448311328888,31.75084435572227,0.3410260990114323,1.2040693908929825,41.99016035079956,1000.0,0.8181818181818182,0.2538643739808335,448,4,29907,547,278.4004605611165,0.0,278.4004605611165,0.0,1.2361361881097157,0.0,0.7638638118902842,0.0,10767.444359593506,0.0,1.2361361881097157,0.0,1.7981563712253326,0.0,1.7981563712253326,0.5323474429834651,0.7638638118902842,1.2361361881097157,11.136018422444662,430.69777438374024
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,2.242196491242757,0.8210009804864724,3049.1067401979367,0.09090909090909091,1.4967475936693304,163.582607421875,1000.0,0.0625,0.07575757575757576,34,697,30494,69,287.93073586856616,0.0,287.93073586856616,0.0,1.2766081365373205,0.0,0.7233918634626795,0.0,10179.958270639157,0.0,1.2766081365373205,0.0,1.7990431077999172,0.0,1.7990431077999172,0.5326246418972609,0.7233918634626795,1.2766081365373205,16.31607503255208,576.8643020028856
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,2.242196491242757,0.8043123115350803,213375.88191631675,0.0,1.238682134793355,1146.4522650146484,1000.0,0.0,0.0,377,466,29937,32,301.6936739408053,0.0,301.6936739408053,0.0,1.3386666321983705,0.0,0.6613333678016295,0.0,8988.468056212396,0.0,1.3386666321983705,0.0,1.7996319828891665,0.0,1.7996319828891665,0.5327897439047136,0.6613333678016295,1.3386666321983705,13.073392537434897,389.5002824358706
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,2.242196491242757,0.7889196454112728,14552300.140066044,0.007813324886495618,1.2000071346759795,10143.939267578126,1000.0,0.0642857142857143,0.004173422206209092,2223,339,27985,19,272.02538909912107,0.0,272.02538909912107,0.0,1.2048127233982087,0.0,0.7951872766017913,0.0,11173.237403922449,0.0,1.2048127233982087,0.0,1.8064817930116328,0.0,1.8064817930116328,0.5226867024980133,0.7951872766017913,1.2048127233982087,9.067512969970704,372.441246797415
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,2.242196491242757,0.7759626462807258,774440871.484677,0.1456142894355293,1.1642581101506948,73992.420546875,1000.0,0.12664141414141414,0.14178892588121605,3689,578,26667,122,285.17415008544924,0.0,285.17415008544924,0.0,1.2641537431627512,0.0,0.7358462568372488,0.0,9138.516025546818,0.0,1.2641537431627512,0.0,1.8327920341824318,0.0,1.8327920341824318,0.47895059519723837,0.7358462568372488,1.2641537431627512,19.011610005696614,609.2344017031212
