algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_local_norm_honest,balance_local_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,139,7.679766180985512,0.7975693789720535,0.6001949677467346,nan,1.1009835305661466,0.0,1000.0,nan,nan,0,0,0,550,8.132430282798973,0.0,5.5004489046244,0.0,0.3122325805896843,0.0,139.85212006440034,0.0,5571.402566795314,0.0,139.85212006440034,0.0,0.6197574094914752,0.0,0.6197574094914752,0.0,14.864864864864865,0.0,10.199516534174617,0.0,5.5004489046244,0.8748414927549004,0.3122325805896843,0.6197574094914752,10.349056884765625,412.28378994285316
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,140,7.679766180985512,0.7975441788434983,0.600979026556015,nan,1.4205933923904712,0.0,1000.0,nan,nan,0,0,0,270,7.683430543312659,0.0,5.5256220164047525,0.0,0.4454761309405932,0.0,136.5185998769907,0.0,5631.023413226105,0.0,136.5185998769907,0.0,0.6052497847733371,0.0,0.6052497847733371,0.0,10.384615384615385,0.0,9.604323035525994,0.0,5.5256220164047525,0.8751727656493853,0.4454761309405932,0.6052497847733371,7.0989671936035155,292.81321748775747
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,141,7.679766180985512,0.7974421801567078,0.6017143415212631,nan,1.7699506887793541,0.0,1000.0,nan,nan,0,0,0,234,8.775293312072755,0.0,5.552647819419187,0.0,0.4925382236391306,0.0,136.1237042236328,0.0,5940.124926969595,0.0,136.1237042236328,0.0,0.6030848004019728,0.0,0.6030848004019728,0.0,9.36,0.0,10.93265346705396,0.0,5.552647819419187,0.8729857266898658,0.4925382236391306,0.6030848004019728,6.80618521118164,297.0062463484797
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,142,7.679766180985512,0.79747978079319,0.6023490380048752,nan,1.3609784706072374,0.0,1000.0,nan,nan,0,0,0,178,8.500400066375732,0.0,5.586446610457677,0.0,0.3991684326055375,0.0,136.91448697176847,0.0,5733.073803377829,0.0,136.91448697176847,0.0,0.6070502121599859,0.0,0.6070502121599859,0.0,8.090909090909092,0.0,10.55493732052299,0.0,5.586446610457677,0.8350938451796633,0.3991684326055375,0.6070502121599859,6.0242374267578125,252.25524734862452
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,143,7.679766180985512,0.7974591799974442,0.6028063943386078,nan,1.477535714705785,0.0,1000.0,nan,nan,0,0,0,230,7.740562399228414,0.0,5.607278423423364,0.0,0.4540291490654151,0.0,136.79463640848795,0.0,5944.721271068502,0.0,136.79463640848795,0.0,0.605742118557047,0.0,0.605742118557047,0.0,9.583333333333334,0.0,9.579462911763274,0.0,5.607278423423364,0.8375679683413891,0.4540291490654151,0.605742118557047,6.566142547607422,285.3466210112881
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,144,7.679766180985512,0.7974241794347763,0.6036914192438125,nan,1.4101756165424983,0.0,1000.0,nan,nan,0,0,0,218,7.927272816499074,0.0,5.636585087370066,0.0,0.41318790211031836,0.0,136.71514956156412,0.0,6035.610746762543,0.0,136.71514956156412,0.0,0.605097743950899,0.0,0.605097743950899,0.0,9.083333333333334,0.0,9.777882199690792,0.0,5.636585087370066,0.8181791678031503,0.41318790211031836,0.605097743950899,6.562327178955078,289.7093158446021
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,145,7.679766180985512,0.7973619793653488,0.6043508505821228,nan,1.454600028693676,0.0,1000.0,nan,nan,0,0,0,298,7.979367818151202,0.0,5.666181823552899,0.0,0.42426963842340876,0.0,136.29231698172433,0.0,6006.8227998196235,0.0,136.29231698172433,0.0,0.6035959040721853,0.0,0.6035959040721853,0.0,10.642857142857142,0.0,9.80938618647662,0.0,5.666181823552899,0.8107657419757052,0.42426963842340876,0.6035959040721853,7.6323697509765625,336.3820767898989
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,146,7.679766180985512,0.7973603796958924,0.6047577911615372,nan,1.3186289719913318,0.0,1000.0,nan,nan,0,0,0,218,7.920009965481966,0.0,5.693244422275824,0.0,0.4041702021723208,0.0,136.2811630912449,0.0,6306.689319091723,0.0,136.2811630912449,0.0,0.6047290851510898,0.0,0.6047290851510898,0.0,9.478260869565217,0.0,9.704014294115716,0.0,5.693244422275824,0.8002621028236847,0.4041702021723208,0.6047290851510898,6.268933502197266,290.1077086782193
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,147,7.679766180985512,0.7973735795021057,0.6052262201309204,nan,1.363211679086089,0.0,1000.0,nan,nan,0,0,0,480,7.9143892288208,0.0,5.725395708389086,0.0,0.40286953994738206,0.0,136.10328063964843,0.0,6078.329346416045,0.0,136.10328063964843,0.0,0.6029052283865493,0.0,0.6029052283865493,0.0,13.714285714285714,0.0,9.664857525734206,0.0,5.725395708389086,0.8016848811597952,0.40286953994738206,0.6029052283865493,9.52722964477539,425.4830542491231
noise-game,scale,fashion_mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,148,7.679766180985512,0.7973243783712387,0.6062215496301651,nan,1.4635557654229077,0.0,1000.0,nan,nan,0,0,0,162,8.528774976730347,0.0,5.746041546938605,0.0,0.3889236998828975,0.0,136.4549761685458,0.0,5733.2549652659245,0.0,136.4549761685458,0.0,0.60490541131592,0.0,0.60490541131592,0.0,7.363636363636363,0.0,10.380470991064263,0.0,5.746041546938605,0.8030097282704278,0.3889236998828975,0.60490541131592,6.004018951416016,252.26321847170067
