algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,47,6.030754101699525,0.8833159772555034,0.3965183330575625,nan,29.304360950694363,151.44428592681885,1000.0,0.0,nan,0,31756,0,0,0.7320012619325792,0.7670738819837815,0.7320012619325792,0.7670738819837815,2.837824443495267,5.7236078778721415,165.087989358341,172.97814453125,0.0,0.0,8.70377381789205,8.699895457517405,5.993104289559757,5.990433790683746,0.8288022314800936,0.772686243057251,165.087989358341,172.97814453125,5999.521792759847,6345.914900351769,3.9921378172460162,1.665421905898767,0.7770824264820819,0.7643262573714752,74.8042494506836,2742.3497010945425
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,48,6.119011003251584,0.8836199788252512,0.3952069603403409,nan,24.82048884305087,150.4769305038452,1000.0,0.0,nan,0,30596,0,0,0.802512520551242,0.7647097898992955,0.802512520551242,0.7647097898992955,2.853876271912997,5.781932555124577,180.99796641956675,172.48032745361328,0.0,0.0,8.645607316405377,8.659161595967976,5.992872541601008,6.002267956733704,0.7030800580978394,0.7641720834374428,180.99796641956675,172.48032745361328,6507.950914873733,6407.739747305616,4.0250987851976285,1.6840443483575307,0.7609871911211601,0.7666805483693022,72.97408624267578,2706.2708190494686
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,49,6.239697289419294,0.8838083094358444,0.39389338155587517,nan,31.011007915843617,151.10762910842897,1000.0,0.0,nan,0,30688,0,0,0.7281063055806026,0.757179767327181,0.7281063055806026,0.757179767327181,2.870249329363579,5.842883705900246,164.37870233709162,170.82767303466798,0.0,0.0,8.618645629500788,8.618406324084344,6.014144463972612,6.013977475166321,0.8115002675489946,0.7640431843698025,164.37870233709162,170.82767303466798,6158.580552088185,6401.227601579781,4.059303079978246,1.709216761627418,0.7665172503175328,0.7556640892266486,71.9474006652832,2695.979812777852
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,50,5.141782000643783,0.8838989780346552,0.39301408539215726,0.7035989115506647,27.139924832752772,0.2626868636906147,1000.0,0.5552841347414977,0.8333333333333334,461,555,29950,50,0.7188853264545153,0.0,0.7188853264545153,0.0,2.930978199044948,0.0,162.15037100655692,0.0,3.5714285714285716,149.75,8.581255227397532,8.404137653279063,6.028106927871704,5.903686473369598,0.814758471080235,0.0,162.15037100655692,0.0,6201.577731717619,0.0,2.930978199044948,1.1521230170558197,0.814758471080235,0.7188853264545153,7.567017313639323,289.4069608134889
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.8840836435556412,0.3919222754240036,0.9688848994916496,25.53850863196633,0.514675328284502,1000.0,0.5982508179019931,1.0,484,530,29900,0,0.7182597555284568,0.0,0.7182597555284568,0.0,2.9703290488215677,0.0,162.0403164950284,0.0,0.0,149.5,8.539408062969475,8.212870363840082,6.038835395466197,5.807916882038117,0.803888353434476,0.0,162.0403164950284,0.0,6290.5279454449055,0.0,2.9703290488215677,1.1562396416717686,0.803888353434476,0.7182597555284568,5.941478271484375,230.65269133297988
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.8836146448055903,0.39345665494600934,0.7795418629922373,27.52572312721839,2.2934899246692657,1000.0,0.5027003569271542,0.8888888888888888,441,521,29959,59,0.6892505535939834,0.0,0.6892505535939834,0.0,3.0310812677120325,0.0,155.55959730881912,0.0,4.538461538461538,149.795,8.501465961462253,8.749546246342788,6.052217703599196,6.2288267612457275,0.8421387259776776,0.0,155.55959730881912,0.0,6064.150820952132,0.0,3.0310812677120325,1.165482334064792,0.8421387259776776,0.6892505535939834,6.740915883382161,262.7798689079257
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.8843219776948293,0.39014548261960347,0.8869780554824949,20.342458645502727,10.107806549072265,1000.0,0.6708062593935215,1.0,3070,380,27285,171,0.7176674168247624,0.0,0.7176674168247624,0.0,3.0776348725294507,0.0,161.6393953959147,0.0,0.0,137.28,8.465672062646378,18.032544853362143,6.06704839070638,12.923288478851319,0.7823773523171743,0.0,161.6393953959147,0.0,6492.892377349212,0.0,3.0776348725294507,1.1738436237793568,0.7823773523171743,0.7176674168247624,6.465575815836589,259.71569509396846
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.8844943132003148,0.38912765045960745,0.897985609803363,28.10058100083295,52.79196907043457,1000.0,0.5387763246296617,1.0,5478,193,25050,573,0.7083591060210088,0.0,0.7083591060210088,0.0,3.131311609584913,0.0,159.79843049890854,0.0,0.0,128.115,8.414365311052062,83.88921867202221,6.070614814758301,60.52258427619934,0.784450913176817,0.0,159.79843049890854,0.0,6425.145996364577,0.0,3.131311609584913,1.1966011971316874,0.784450913176817,0.7083591060210088,9.055244394938152,364.09160646065925
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,5.232403264031606,0.8846786433458328,0.3883297809958458,0.9268073278602711,26.15491456251878,302.78714874267575,1000.0,0.6000803932847751,1.0,2725,84,27589,414,0.7004136946330259,0.0,0.7004136946330259,0.0,3.1695799693826285,0.0,157.81730769230768,0.0,0.0,140.015,8.452400866686927,473.20502227562525,6.138845407045805,343.68134254455566,0.7860058500216558,0.0,157.81730769230768,0.0,6270.302193808065,0.0,3.1695799693826285,1.2171811857243644,0.7860058500216558,0.7004136946330259,6.83875,271.71309506501615
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,5.387101920273127,0.8848429767290751,0.38756200184424716,0.9361510858456755,19.38341679573059,1681.1512014770508,1000.0,0.6176806766030903,1.0,1608,50,28600,308,0.6919002317490108,0.0,0.6919002317490108,0.0,3.2126533214716058,0.0,156.21321868896484,0.0,0.0,144.54,8.335244867055248,2629.942240509675,6.094250059127807,1922.862004699707,0.7937897443771362,0.0,156.21321868896484,0.0,6490.1475219566055,0.0,3.2126533214716058,1.2134993881621463,0.7937897443771362,0.6919002317490108,5.2071072896321615,216.33825073188683
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,5.39774722281705,0.8849759783347447,0.3866940775513649,0.8369146198499247,20.38109972476959,10391.845708007813,1000.0,0.342401641731491,1.0,715,244,29641,456,0.6574418601843213,0.0,0.6574418601843213,0.0,3.3365235907608173,0.0,148.30419006347657,0.0,0.0,150.485,8.392442049250551,16052.156842150529,6.177113127708435,11814.914916992188,0.8497402787208557,0.0,148.30419006347657,0.0,6175.142796008163,0.0,3.3365235907608173,1.2081405415995778,0.8497402787208557,0.6574418601843213,9.88694600423177,411.6761864005442
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,5.39774722281705,0.8850613097349803,0.38603667984406154,0.8954558323395417,23.460305432478588,61003.692099609376,1000.0,0.4752583921871674,1.0,893,306,29792,785,0.6748480980912704,0.0,0.6748480980912704,0.0,3.4600633783235164,0.0,152.23537000020346,0.0,0.0,152.885,8.250329831417108,94571.42016722081,6.113132536411285,70073.2743359375,0.8006980443994204,0.0,152.23537000020346,0.0,6386.843516925161,0.0,3.4600633783235164,1.2044038257222753,0.8006980443994204,0.6748480980912704,12.178829600016275,510.94748135401284
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,5.39774722281705,0.8851543110609055,0.3853970365722974,0.9022268798834264,20.539985338846844,400508.175234375,1000.0,0.49951723108484614,1.0,443,116,29900,443,0.6863254157717537,0.0,0.6863254157717537,0.0,3.5186785075728357,0.0,154.8758076985677,0.0,0.0,151.715,8.203545817179947,610236.3217939632,6.1191261291503904,455182.808125,0.7673973202705383,0.0,154.8758076985677,0.0,6629.482013515725,0.0,3.5186785075728357,1.1996530101861682,0.7673973202705383,0.6863254157717537,7.743790384928386,331.47410067578625
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,5.602814464438581,0.8853143105904261,0.3846753893295924,0.9286392638640755,31.85323929786682,2438249.145625,1000.0,0.6539170317391362,1.0,467,70,29900,467,0.667416137116418,0.0,0.667416137116418,0.0,3.5515169194154455,0.0,150.32123311360678,0.0,0.0,151.835,8.165787357518266,3736738.156761436,6.131703694661458,2805923.07375,0.7838885088761648,0.0,150.32123311360678,0.0,6630.0455446448905,0.0,3.5515169194154455,1.2157034718911333,0.7838885088761648,0.667416137116418,6.012849324544271,265.2018217857956
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,61,5.602814464438581,0.8854783083995184,0.3841634107629458,0.829683870032127,27.750680029392242,16615236.66,1000.0,0.41751256436918205,1.0,372,158,29900,372,0.6679254555849874,0.0,0.6679254555849874,0.0,3.6135879487922695,0.0,150.5466766357422,0.0,0.0,151.36,8.13013773868473,24978987.278601006,6.145769864320755,18882227.115,0.7772715464234352,0.0,150.5466766357422,0.0,6559.831611792802,0.0,3.6135879487922695,1.2162165334247275,0.7772715464234352,0.6679254555849874,8.029156087239583,349.85768596228274
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,62,5.602814464438581,0.8854529772202174,0.3837224673231443,0.9218350613158084,24.265809684991837,100715090.44,1000.0,0.5369980212160081,1.0,592,128,29900,592,0.6373870414800149,0.0,0.6373870414800149,0.0,3.697557425327436,0.0,143.77350044250488,0.0,0.0,152.46,8.089922335884923,152761573.5244354,6.156275391578674,116248621.04,0.83036769926548,0.0,143.77350044250488,0.0,6182.154787925919,0.0,3.697557425327436,1.2122959577045673,0.83036769926548,0.6373870414800149,7.66792002360026,329.71492202271565
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,63,5.602814464438581,0.8856043120225271,0.3831719863414764,0.877261088981893,25.379110035143402,679946905.6,1000.0,0.5460192953398838,1.0,641,188,29900,641,0.6766492741823136,0.0,0.6766492741823136,0.0,3.7566965460496204,0.0,152.6429852937397,0.0,0.0,152.705,8.037083212164793,1011736168.0123056,6.156975821444862,775061668.48,0.7306514413733232,0.0,152.6429852937397,0.0,6611.307480998841,0.0,3.7566965460496204,1.2286118164628945,0.7306514413733232,0.6766492741823136,9.667389068603516,418.71614046325993
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,64,5.6830388240135585,0.8856783082087835,0.3826666064063708,0.9170994385025132,32.854380236731636,4094738155.52,1000.0,0.7111458039201001,1.0,1008,154,29900,1008,0.6584713826447068,0.0,0.6584713826447068,0.0,3.830375281304205,0.0,148.63841247558594,0.0,0.0,154.54,8.011903770317481,6124131975.408491,6.1787411901685925,4722900770.56,0.7589062220520444,0.0,148.63841247558594,0.0,6661.731332274956,0.0,3.830375281304205,1.213908854504122,0.7589062220520444,0.6584713826447068,8.918304748535157,399.7038799364974
