algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,33,0.0,0.8790327289700508,0.42547474689781667,nan,0.03414596457965672,0.036704177632927895,,nan,nan,0,0,0,10802,28.88888888888889,102.82,9.257129148857196,9.200420513557562,5.806125375959608,5.770557389259339
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,34,0.0,0.8795752263069153,0.4222388634830713,nan,0.03344725769944489,0.03596522700041532,,nan,nan,0,0,0,11926,40.827586206896555,107.42,9.217810031343443,9.15942915124716,5.820136053808804,5.783274297714233
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,35,0.0,0.8801069773733616,0.41921580880880355,nan,0.032813739064149555,0.035493041053414345,,nan,nan,0,0,0,11106,40.875,104.52,9.178057806350203,9.118229399156924,5.833799093961716,5.795770688056946
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,36,0.0,0.8804547281563282,0.4164373145997524,nan,0.03228392125573009,0.034810634292662145,,nan,nan,0,0,0,11030,31.272727272727273,103.42,9.14034934030225,9.07675713863591,5.848692265423861,5.808001127243042
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,37,0.0,0.880914727896452,0.4138894107192755,nan,0.03179752548225224,0.034270679615437984,,nan,nan,0,0,0,10622,29.142857142857142,102.14,9.098497997416588,9.035061411260337,5.860855000359671,5.81999192237854
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,38,0.0,0.8812732271850109,0.4114514625072479,nan,0.03122516511939466,0.03387150837108493,,nan,nan,0,0,0,12040,40.03125,107.59,9.06067690168358,8.993194683096396,5.875532239675522,5.831772379875183
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,39,0.0,0.8815739774703979,0.40916377283632754,nan,0.030764633854851127,0.03326361039653421,,nan,nan,0,0,0,11194,36.4,104.66,9.027263984091826,8.951135312283304,5.893021273612976,5.843324279785156
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,40,0.0,0.8819349788129329,0.406924939379096,nan,0.030140580143779516,0.03283198034390807,,nan,nan,0,0,0,11506,38.5,105.82,8.984345290849818,8.90896362320238,5.904234488805135,5.854695982933045
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,41,0.0,0.882289477288723,0.40495084032416345,nan,0.02979568379931152,0.032637472059577705,,nan,nan,0,0,0,11824,38.03333333333333,106.83,8.936742089838926,8.866646009762448,5.912234942118327,5.865861835479737
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,42,0.0,0.88256272777915,0.4030244940519333,nan,0.029332993379794062,0.032018746398389336,,nan,nan,0,0,0,10904,32.705882352941174,103.48,8.902349972640568,8.824209576519586,5.928876708535587,5.876835980415344
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,43,0.0,0.8828482283651828,0.4012439829111099,nan,0.028948542769066988,0.031664534825831654,,nan,nan,0,0,0,11320,33.64,104.79,8.857742541153124,8.781688608925105,5.938627777099609,5.887637810707092
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,44,0.0,0.8831387278437615,0.39960045598447325,nan,0.028555290247313677,0.031547129191458224,,nan,nan,0,0,0,11092,28.85185185185185,103.13,8.814391813659016,8.739128385886204,5.949092211546721,5.898294711112976
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,45,0.0,0.8834139770269394,0.3980368420481682,nan,0.028075354690663516,0.030944643020629884,,nan,nan,0,0,0,11818,43.52,107.3,8.779742416031697,8.69652297804434,5.965342998504639,5.908800053596496
balance,scale,mnist,42,500,100,1.0,0.1,0.05,iid,1.0,50,46,0.0,0.8836789762973786,0.3964740154892206,nan,0.027713416423648597,0.030687977876514196,,nan,nan,0,0,0,10822,33.2,103.24,8.733321903861114,8.653865673754176,5.973493703206381,5.919146537780762
