algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_n_honest,sigma_n_attacker,balance_kept_honest,balance_kept_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,balance_threshold_honest,balance_threshold_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,1.8172355242838145,0.8825596437851588,0.39479080607493716,1.0,2.6055713716675255,1081.777773742676,1000.0,1.0,1.0,3573,0,26955,766,1.287069590159179,0.0,8.117647058823529,137.915,290.34464578067553,0.0,0.9792115758438972,0.0,1.287069590159179,0.0,0.7729887506541084,0.0,11296.879957873376,0.0,10.013277509124077,1759.1308562450881,290.34464578067553,0.0,7.224163504207835,1269.1397915649413,0.9792115758438972,0.3706340298333763,0.7729887506541084,1.287069590159179,16.452863260904948,640.1565309461579
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,1.8172355242838145,0.8827103116114934,0.3940646284818649,1.0,2.4199197108928976,6040.167355957031,1000.0,1.0,1.0,1380,0,28934,498,1.2712574176747014,0.0,6.461538461538462,146.74,286.4442349947416,0.0,0.9893015083316667,0.0,1.2712574176747014,0.0,0.7758829135161179,0.0,10901.74648854765,0.0,9.516816851778648,9437.541731356067,286.4442349947416,0.0,6.9119139451247,6854.33767578125,0.9893015083316667,0.3751072840906468,0.7758829135161179,1.2712574176747014,12.412583516438803,472.4090145037313
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,1.850579477951605,0.8829683083295822,0.3930941570798556,1.0,1.8251505076885224,31773.516796875,1000.0,1.0,1.0,1034,0,29174,358,1.2431093294906428,0.0,5.0,147.41,280.66515960693357,0.0,1.004277699231083,0.0,1.2431093294906428,0.0,0.7909570455551147,0.0,11569.387202037195,0.0,8.760994012179095,49995.20160425719,280.66515960693357,0.0,6.405533266067505,36553.60642578125,1.004277699231083,0.3761046177661624,0.7909570455551147,1.2431093294906428,9.355505320231119,385.64624006790655
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,1.8671594723245926,0.8830976460377375,0.3923040310541789,1.0,1.9035172551870345,212081.786171875,1000.0,1.0,1.0,465,0,29891,700,1.1790408601789841,0.0,12.2,151.735,265.96699676513674,0.0,1.0425694449631702,0.0,1.1790408601789841,0.0,0.8417449414730072,0.0,10976.746695425572,0.0,8.711951180711731,325296.31484324037,265.96699676513674,0.0,6.412282347679138,239428.777109375,1.0425694449631702,0.37694064711923386,0.8417449414730072,1.1790408601789841,17.731133117675782,731.7831130283715
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,1.8873920394821384,0.8832116452852885,0.39176687051852543,1.0,2.176664672791958,1268866.8296875,1000.0,1.0,1.0,785,0,29900,1091,1.2196058512374048,0.0,12.75,153.425,275.12218475341797,0.0,1.082357824722415,0.0,1.2196058512374048,0.0,0.7898539329568545,0.0,11379.27938443658,0.0,8.79790678569556,1971155.7374686438,275.12218475341797,0.0,6.518863042195638,1460539.944375,1.082357824722415,0.3773308921029636,0.7898539329568545,1.2196058512374048,22.00977478027344,910.3423507549264
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,1.9118497715272944,0.883306312362353,0.3910581660270691,1.0,1.8882598439852396,9153232.6,1000.0,1.0,1.0,443,0,29900,559,1.2464675968134395,0.0,7.733333333333333,151.715,281.2802693684896,0.0,1.100535332593418,0.0,1.2464675968134395,0.0,0.7507704973220826,0.0,11649.17642514245,0.0,8.570433983139091,13833041.504560428,281.28028666178386,0.0,6.392792542775472,10318236.48,1.100535332593418,0.37745692782007867,0.7507704973220826,1.2464675968134395,14.064014333089192,582.4588212571225
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,1.9118497715272944,0.8834186448653539,0.3906238054235776,1.0,2.925912469625473,55186207.32,1000.0,1.0,1.0,467,0,29900,537,1.2240347965460827,0.0,5.833333333333333,151.835,275.6814498901367,0.0,1.1091630497616884,0.0,1.2240347965460827,0.0,0.7609239916006724,0.0,10983.212303070824,0.0,9.62805162390655,85202656.67532152,275.6814498901367,0.0,7.22972043355306,63978820.64,1.1091630497616884,0.38201878961156965,0.7609239916006724,1.2240347965460827,11.027257995605469,439.3284921228331
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,61,1.97539815988882,0.8833823108673096,0.3904626269141833,1.0,2.577406622469425,409905469.12,1000.0,1.0,1.0,372,0,29900,530,1.2059859800532624,0.0,9.875,151.36,271.82765674591064,0.0,1.1298330641913221,0.0,1.2059859800532624,0.0,0.7669252976775169,0.0,11366.183975139451,0.0,9.497970699464489,612842356.7452774,271.82764625549316,0.0,7.179748237133026,463262518.88,1.1298330641913221,0.3837014357055681,0.7669252976775169,1.2059859800532624,14.497474466959636,606.196478674104
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,62,2.015129565549102,0.8833906443913778,0.3900107029080391,1.0,2.2503934763371944,2392204236.16,1000.0,1.0,1.0,592,0,29900,720,1.1417327592942865,0.0,8.0,152.46,257.52661895751953,0.0,1.15727345759511,0.0,1.1417327592942865,0.0,0.8208894208073616,0.0,10830.221531027526,0.0,8.860735130482624,3649379059.474581,257.5266227722168,0.0,6.742849111557007,2777107315.2,1.15727345759511,0.3863389724276169,0.8208894208073616,1.1417327592942865,13.734753214518229,577.6118149881347
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,63,2.0319715016029236,0.8834203106164932,0.38975845128297804,1.0,2.371274339525323,17548812815.36,1000.0,1.0,1.0,641,0,29900,829,1.2231678449706829,0.0,9.894736842105264,152.705,275.92901852256375,0.0,1.1764902063568161,0.0,1.2231678449706829,0.0,0.7240928411483765,0.0,11624.993537270624,0.0,9.033660237737493,25901275502.247265,275.92901852256375,0.0,6.9204245115581315,19842214246.4,1.1764902063568161,0.393351956686382,0.7240928411483765,1.2231678449706829,17.475504506429036,736.2495906938062
