algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,51,5.189122391698059,0.7859643133481343,0.6044993601242701,0.04729272781173912,0.9690759642557665,2.233186116218567,1000.0,0.43,0.021755307691421272,326,38,30058,492,0.8330902508773611,0.0,187.9121329567649,0.0,2.6940742251977454,0.0,187.9121329567649,0.0,0.8330902508773611,0.0,0.6126621406186711,0.0,5681.800470359237,0.0,2.6940742251977454,1.0528123479049343,0.6126621406186711,0.8330902508773611,6.8901115417480465,208.33268391317202
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,52,5.194253122102357,0.781961313088735,0.6254409170150756,0.02924505052164626,1.1185507682653575,2.5994426053762436,1000.0,0.13636363636363635,0.013168147109241078,4,164,30396,416,0.7930648118308556,0.0,178.99332134540265,0.0,2.7397112141662476,0.0,178.99332134540265,0.0,0.7930648118308556,0.0,0.6675202731902783,0.0,5539.369096171124,0.0,2.7397112141662476,1.0534373755600377,0.6675202731902783,0.7930648118308556,7.756377258300781,240.0393275007486
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,53,5.194253122102357,0.7740489806731542,0.7512369749943415,0.3147524295004684,0.7670724391937256,4.156425085067749,1000.0,0.8116883116883117,0.23438812331038497,85,5,30270,546,0.8122553646937395,0.0,182.93287785847983,0.0,2.7735561991524613,0.0,182.93287785847983,0.0,0.8122553646937395,0.0,0.6216788316766421,0.0,6054.983845863094,0.0,2.7735561991524613,1.0577006385833287,0.6216788316766421,0.8122553646937395,7.317315114339193,242.1993538345237
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,54,5.194253122102357,0.7618199822803339,2.2600907291968664,0.30597372211521584,1.0854033161612118,9.677537865638733,1000.0,0.5384615384615384,0.1552239774179531,34,13,30494,753,0.8256236244328398,0.0,186.24332831887637,0.0,2.794976957777188,0.0,186.24332831887637,0.0,0.8256236244328398,0.0,0.5832241948913125,0.0,5772.687449277234,0.0,2.794976957777188,1.0649362392557455,0.5832241948913125,0.8256236244328398,10.553788604736328,327.1189554590432
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,55,5.194253122102357,0.7598583152890206,14.924144560893376,0.26814647131568464,0.8671073730175312,23.12677906990051,1000.0,0.6,0.05533717679944095,201,7,30113,491,0.8513722369178203,0.0,191.85774113581732,0.0,2.809064114778803,0.0,191.85774113581732,0.0,0.8513722369178203,0.0,0.5243565010336729,0.0,5374.80029974076,0.0,2.809064114778803,1.071936233824806,0.5243565010336729,0.8513722369178203,8.31383544921875,232.90801298876633
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,56,5.257577095343783,0.7518643150230249,185.32515511016052,0.0,0.802513736486435,55.930807991027834,1000.0,0.0,0.0,0,331,30208,27,0.7794594054563991,0.0,175.9941146850586,0.0,2.8405621753062533,0.0,175.9941146850586,0.0,0.7794594054563991,0.0,0.6405023068189621,0.0,5494.014929239055,0.0,2.8405621753062533,1.069852360783501,0.6405023068189621,0.7794594054563991,5.866470489501953,183.1338309746352
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,57,5.257577095343783,0.7417599814633529,5043.912401442528,0.10714285714285714,0.7262578830122948,203.9900952911377,1000.0,0.039473684210526314,0.1111111111111111,3,555,30353,145,0.794871248230035,0.0,179.29635467529297,0.0,2.9297070055975873,0.0,179.29635467529297,0.0,0.794871248230035,0.0,0.6067284199409186,0.0,4806.263751179655,0.0,2.9297070055975873,1.0638008091138238,0.6067284199409186,0.794871248230035,11.953090311686198,320.417583411977
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,58,5.257577095343783,0.7125979821880658,208233.5701247263,0.0,0.8855773086349169,912.4654833984375,1000.0,0.0,0.0,135,964,30550,127,0.7918927236143167,0.0,178.60637855529785,0.0,3.00976994693993,0.0,178.60637855529785,0.0,0.7918927236143167,0.0,0.5916518451025089,0.0,5531.8942822029485,0.0,3.00976994693993,1.0622639889212808,0.5916518451025089,0.7918927236143167,14.288510284423829,442.5515425762359
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,59,5.257577095343783,0.7063423166175683,3215648.361231846,0.013590013324917598,0.4638350516557693,4337.191564941406,1000.0,0.052721088435374146,0.0065214442026036235,199,519,30144,40,0.9045179808566108,0.0,204.08653564453124,0.0,3.036438309099987,0.0,204.08653564453124,0.0,0.9045179808566108,0.0,0.37378046053151287,0.0,4666.649517509573,0.0,3.036438309099987,1.0545341905272356,0.37378046053151287,0.9045179808566108,10.204326782226563,233.33247587547865
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,60,5.257577095343783,0.7000289825598399,53184517.39184966,0.07808048108643592,0.786955825984478,17253.941440429688,1000.0,0.2286183513456241,0.03966716672411511,3194,512,27173,25,0.8995326665653152,0.0,202.58051172892252,0.0,3.0437797154147512,0.0,202.58051172892252,0.0,0.8995326665653152,0.0,0.36094461668593186,0.0,3836.8021734763947,0.0,3.0437797154147512,1.054720591793109,0.36094461668593186,0.8995326665653152,8.1032204691569,153.47208693905577
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,61,5.3141756823254696,0.6921683167417844,688083925.8761957,0.11546840958605666,0.9472989195492119,74899.236484375,1000.0,0.078125,0.11347517730496454,640,456,29632,74,0.8068426716363419,0.0,181.87481307983398,0.0,3.086722516443324,0.0,181.87481307983398,0.0,0.8068426716363419,0.0,0.5216039401711896,0.0,4900.470814976063,0.0,3.086722516443324,1.053779511404458,0.5216039401711896,0.8068426716363419,9.699990030924479,261.35844346539
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,62,5.36942570401209,0.677872983366251,14248180811.337353,0.11664157789136835,0.7078210064209998,287735.7225,1000.0,0.22527091555245582,0.06966830679015823,4867,680,25625,40,0.7998505485827794,0.0,180.42938041687012,0.0,3.143753112579223,0.0,180.42938041687012,0.0,0.7998505485827794,0.0,0.5276082176715136,0.0,4494.539401975797,0.0,3.143753112579223,1.0444726968584244,0.5276082176715136,0.7998505485827794,9.62290028889974,239.70876810537584
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,63,5.36942570401209,0.6605413171152273,304939527455.9954,0.0930464111024511,0.7991826992089811,1217498.485625,1000.0,0.09254385964912282,0.08644216614804849,1209,755,29332,74,0.841317632243371,0.0,189.82006755628083,0.0,3.1777483143007847,0.0,189.82006755628083,0.0,0.841317632243371,0.0,0.42033311317821864,0.0,4683.662373747665,0.0,3.1777483143007847,1.05320954975559,0.42033311317821864,0.841317632243371,12.021937611897787,296.63195033735207
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,64,5.36942570401209,0.6408036500712235,5602730147072.023,0.10247917437606895,0.9148136940267351,4641986.4375,1000.0,0.27447283589152105,0.056634311532473655,4412,1127,26496,35,0.8360883416031174,0.0,188.7505366007487,0.0,3.224187504392307,0.0,188.7505366007487,0.0,0.8360883416031174,0.0,0.42205905554712647,0.0,4258.281922047977,0.0,3.224187504392307,1.0411849022415758,0.42205905554712647,0.8360883416031174,11.325032196044923,255.49691532287864
