algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,trust_honest,trust_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,balance_threshold_honest,balance_threshold_attacker,noise_norm_honest,noise_norm_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,29,4.027647046930814,0.772358980178833,0.6502398325502873,nan,0.7154934273825752,6.7763748812675475,1000.0,nan,nan,0,0,0,10784,28.27777777777778,102.75,5.607572714487712,70.21202751159667,0.7349288215239843,0.7648588380217552,1.9249729213603382,3.796799239730469,213.8164087931315,208.46488159179688,5440.938923062935,1024.5237275450315,9.182184462944134,114.96949231940306,213.8164087931315,208.46488159179688,0.9466066732472834,0.924211132324976,0.9466066732472834,0.924211132324976,2.2993381850343644,1.2360665278014293,0.7602932422848071,0.927627401279226,49.39036703491211,400.778546739272
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,30,4.081118244541897,0.7735354802012444,0.6461285363137722,nan,0.787522004200862,6.742898066043853,1000.0,nan,nan,0,0,0,11106,29.115384615384617,103.49,5.65833592414856,73.59719108581542,0.7469703532182254,0.7507810327410698,1.9848059980496129,3.830236275960085,209.31914402888373,208.91804306030272,5486.399525630328,1007.7076451446634,9.203743988527263,119.71182236418623,209.31914402888373,208.91804306030272,0.9282671933903158,0.9254441725666137,0.9282671933903158,0.9254441725666137,2.353892053631707,1.2246386392970667,0.7499947020458797,0.926026700673092,52.6682041015625,486.83430436170977
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,31,4.1346916778873535,0.7747442302107811,0.6421583741903305,nan,1.0048606220413656,6.634855940341949,1000.0,nan,nan,0,0,0,10838,31.0,103.11,5.712566291584688,76.96612838745118,0.7349081845844493,0.729383664727211,2.0089111849103625,3.8626546826556964,209.39029289694395,210.1816096496582,5421.3444140055435,993.7342738515939,9.230213764832158,124.35983783929433,209.39029289694395,210.1816096496582,0.9278777413607961,0.931929683634688,0.9278777413607961,0.931929683634688,2.3796598844594294,1.2258315233184813,0.7301863727406559,0.9313409398854903,49.155591888427736,383.0725648465072
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,32,4.186887187740798,0.7756822288036347,0.6387512512505055,nan,0.8536152005195617,6.676395127773285,1000.0,nan,nan,0,0,0,11440,42.45,105.91,5.704846835136413,80.2817315673828,0.7451713770627976,0.7252645933628082,2.060064458452167,3.8961975616815083,205.58123321533202,208.7751628112793,5396.748582620826,982.9657691695159,9.156493649387446,128.85519743160486,205.58123321533202,208.7751628112793,0.9111925962383551,0.9256478880533368,0.9111925962383551,0.9256478880533368,2.4272910790980355,1.2162631543448974,0.7285823906461398,0.9232386727508397,49.97828189086914,412.46309713873615
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,33,4.212901105194987,0.7767459787428379,0.6353307250142097,nan,0.9246692781647047,6.550714912414551,1000.0,nan,nan,0,0,0,10802,28.88888888888889,102.82,5.7624670134650335,83.61780464172364,0.7090841142667664,0.7037035501003266,2.092144574307528,3.927727417869786,209.12681833902994,210.24038894653322,5627.962299559078,968.3780436854739,9.187521437367998,133.31796449269982,209.12681833902994,210.24038894653322,0.9280700681179179,0.9319382833964249,0.9280700681179179,0.9319382833964249,2.4592611430199796,1.2124862049765235,0.7045243141257157,0.9313482166590259,49.57664324951172,396.2822515212216
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,34,4.270734627392358,0.7776439793407917,0.6320605272054672,nan,0.9361226019160501,6.573956198692322,1000.0,nan,nan,0,0,0,11926,40.827586206896555,107.42,5.821771194194925,86.89228050231934,0.6943776607513428,0.6987702026963234,2.1290504848238188,3.9621928380877733,209.90347816204203,208.84585342407226,5644.271996964845,956.5972796474844,9.220399732565973,137.6181806499913,209.90347816204203,208.84585342407226,0.9293032338130903,0.926176752815163,0.9293032338130903,0.926176752815163,2.4956789554766097,1.2106346221729036,0.6977827320265215,0.9268796051325264,53.94357241821289,518.6872317534578
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,35,4.3579496325962115,0.7785282306373119,0.6291235625743866,nan,0.9297582656145096,6.475243864059448,1000.0,nan,nan,0,0,0,11106,40.875,104.52,5.831177264451981,90.17751396179199,0.6955708172172308,0.6815022027492523,2.163515533818164,3.995699812818582,207.30788898468018,209.50922988891602,5667.136480830871,945.7976748726136,9.173932998071557,141.87228984812737,207.30788898468018,209.50922988891602,0.919215708988532,0.929129694042961,0.919215708988532,0.929129694042961,2.5299523896182476,1.2071171481130336,0.6834427012965597,0.9277622478285569,48.53569842529297,370.5079023611106
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,36,4.425689932088266,0.7791504794359208,0.626548043936491,nan,0.7596302628517151,6.509598419666291,1000.0,nan,nan,0,0,0,11030,31.272727272727273,103.42,5.738593166524714,93.41446563720703,0.7636456205086275,0.678809954226017,2.225625975855999,4.02943337088668,194.6006518277255,207.8664144897461,5466.562922224243,930.9197784150497,8.968286222545144,145.98833561639844,194.6006518277255,207.8664144897461,0.8625751812053702,0.9217630171772097,0.8625751812053702,0.9217630171772097,2.5863874548621353,1.189941357048492,0.6941081891294385,0.911089800854419,50.13571157836914,426.7127242608766
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,37,4.523731196650351,0.780083478987217,0.6239761497080326,nan,0.8742575070687703,6.436528990268707,1000.0,nan,nan,0,0,0,10622,29.142857142857142,102.14,5.83860410962786,96.66918952941894,0.7511291716779981,0.6653082922101021,2.269641735045717,4.0660073004018935,194.38812146868025,207.93707702636718,5533.859028970074,917.6577482498003,9.063955309574677,150.071009654961,194.38812146868025,207.93707702636718,0.8626379556535166,0.9219173833874827,0.8626379556535166,0.9219173833874827,2.628914848116952,1.1820012120097438,0.6758476984605455,0.9146374536657679,47.030282806396485,338.4796024611222
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,38,4.603616979798268,0.7807979811728001,0.6213566063344479,nan,0.9405395518988371,6.165283324718476,1000.0,nan,nan,0,0,0,12040,40.03125,107.59,5.836137071251869,99.88798248291016,0.6103189522400498,0.6320198589563369,2.293502600830132,4.097846855942283,214.26215934753418,211.1470411682129,6108.463877161412,915.6263147900875,8.99992548751147,154.0375745923334,214.26215934753418,211.1470411682129,0.9503492396768226,0.9355088270286367,0.9503492396768226,0.9355088270286367,2.6543714518525623,1.1858103342682016,0.6267590330857219,0.9391065028221364,55.942186431884764,574.0669510963479
