algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_n_honest,sigma_n_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_kept_honest,balance_kept_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,72,6.02750574750049,0.8760773134231568,0.41179527670145033,0.9935541506322155,6.173082288106283,1.6744662939054637e+17,1000.0,0.7181343212691175,1.0,970,34,29471,615,6202.779406325255,0.0,12.656421434041814,2.3688092013495008e+17,0.6370634155987965,0.0,4.120131518449005,0.0,143.85240987141927,0.0,0.7165557424227397,0.0,10.295266183217366,1.9268891599605597e+17,4.933333333333334,150.06,0.6370634155987965,0.0,143.85240987141927,0.0,4.120131518449005,1.1579878324328374,0.7165557424227397,0.6370634155987965,7.1926204935709634,310.13897031626277
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,73,6.02750574750049,0.875279643535614,0.41404340893030167,0.9895986713269379,6.239407062530518,1.1180298108538349e+18,1000.0,0.7842157947421105,1.0,1047,29,29471,795,5649.4133637753475,0.0,13.021666849927424,1.5521669706429458e+18,0.630769959748554,0.0,4.1928439451141655,0.0,142.19614334106444,0.0,0.7039006322622299,0.0,10.663223910331727,1.2710434190135393e+18,8.85,150.445,0.630769959748554,0.0,142.19614334106444,0.0,4.1928439451141655,1.1661121243618073,0.7039006322622299,0.630769959748554,9.479742889404298,376.6275575850231
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,74,6.02750574750049,0.8752593111991882,0.4146168327331543,0.9542794111204402,6.136863803863525,6.712245690695302e+18,1000.0,0.8616653726708076,1.0,1075,37,29471,737,5820.256244401195,0.0,12.659266835682633,9.359596434193572e+18,0.6273096611803078,0.0,4.260804008099452,0.0,141.48119710286457,0.0,0.7257466206947962,0.0,10.435801251729329,7.715682863112006e+18,6.066666666666666,150.585,0.6273096611803078,0.0,141.48119710286457,0.0,4.260804008099452,1.148282042959708,0.7257466206947962,0.6273096611803078,7.074059855143229,291.0128122200597
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,75,6.02750574750049,0.8751333129405975,0.41498214175303777,0.9809237167760286,5.860162717955453,nan,1000.0,0.7885881943280156,1.0,30438,567,6,81,5772.091363488943,0.0,12.37888191733523,nan,0.6407697533267339,0.0,4.3022563664459,0.0,144.65213993617468,0.0,0.6671804019383022,0.0,10.272921323776245,nan,5.357142857142857,0.06,0.6407697533267339,0.0,144.65213993617468,0.0,4.3022563664459,1.1516057129415591,0.6671804019383022,0.6407697533267339,6.750433197021485,269.364263629484
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,76,6.251159859126089,0.8747833091020584,0.4161870014667511,0.9763998600868626,6.465350642800331,nan,1000.0,0.6837209921226314,1.0,30483,619,6,92,5520.073716315073,0.0,13.721735524866444,nan,0.6108756234233914,0.0,4.3638326239638765,0.0,137.68909072875977,0.0,0.7619949541985989,0.0,11.463490694761276,nan,4.875,0.1,0.6108756234233914,0.0,137.68909072875977,0.0,4.3638326239638765,1.144113783580326,0.7619949541985989,0.6108756234233914,7.343418172200521,294.4039315368039
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,77,6.251159859126089,0.8745803107817968,0.4173068674405416,0.9953917050691244,6.344836375292609,nan,1000.0,0.578125,1.0,30235,397,6,130,5657.7038651125495,0.0,14.105216479836688,nan,0.6125078454864656,0.0,4.419782757585497,0.0,138.11855271283318,0.0,0.7104078566326815,0.0,11.862682062036852,nan,7.470588235294118,0.045,0.6125078454864656,0.0,138.11855271283318,0.0,4.419782757585497,1.151058261468832,0.7104078566326815,0.6125078454864656,7.8267179870605466,320.6032190230445
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,78,6.302466851802491,0.8745453119277954,0.4177407764395078,0.9897889563939519,6.331402518532493,nan,1000.0,0.9805701850632728,1.0,30507,614,6,47,5577.548218074768,0.0,14.15621725443921,nan,0.6002290721471661,0.0,4.447593298181687,0.0,135.13655922629616,0.0,0.7611524354327809,0.0,11.985210071910512,nan,3.3636363636363638,0.08,0.6002290721471661,0.0,135.13655922629616,0.0,4.447593298181687,1.1653437722270177,0.7611524354327809,0.6002290721471661,4.955007171630859,204.51010132940817
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,79,6.302466851802491,0.8744236449400584,0.41815976242224373,0.9521338325709223,6.076460629701614,nan,1000.0,0.9207438394938395,1.0,30375,510,0,113,6125.5385571528695,0.0,12.223647932090481,nan,0.6056091527119736,0.0,4.512020055405989,0.0,136.63844776153564,0.0,0.762883435934782,0.0,10.418244868516922,nan,7.0625,0.0,0.6056091527119736,0.0,136.63844776153564,0.0,4.512020055405989,1.1461572246222191,0.762883435934782,0.6056091527119736,7.287383880615234,326.6953897148197
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,80,6.302466851802491,0.8740849773089091,0.41975806693236034,0.968399241603467,5.84883277118206,nan,1000.0,0.785443722943723,1.0,30373,485,0,140,5772.507179338356,0.0,13.93503314279319,nan,0.6102371921803469,0.0,4.55944761137837,0.0,137.6245231628418,0.0,0.7020504456013441,0.0,11.956306248903275,nan,8.75,0.0,0.6102371921803469,0.0,137.6245231628418,0.0,4.55944761137837,1.1525271067352776,0.7020504456013441,0.6102371921803469,7.339974568684895,307.8670495647123
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,81,6.302466851802491,0.8742369778951009,0.41925224393606186,0.9580998714946082,6.2497478723526,nan,1000.0,0.7913056203552978,1.0,30529,675,0,40,6838.416276218234,0.0,9.688150224774505,nan,0.6174922211762178,0.0,4.603762072353548,0.0,139.37171936035156,0.0,0.707417077251843,0.0,8.368067707334246,nan,2.857142857142857,0.0,0.6174922211762178,0.0,139.37171936035156,0.0,4.603762072353548,1.1461316140289086,0.707417077251843,0.6174922211762178,6.5040135701497395,319.1260928901843
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,82,6.302466851802491,0.8745079775651295,0.4187153922518094,0.989694041867955,6.124181079864502,nan,1000.0,0.97976011994003,1.0,30012,115,0,9,6072.99553563466,0.0,11.520963292852832,nan,0.6015820061132267,0.0,4.618486051420271,0.0,135.80193176269532,0.0,0.727548885345459,0.0,10.01770896911621,nan,1.8,0.0,0.6015820061132267,0.0,135.80193176269532,0.0,4.618486051420271,1.1481400251606317,0.727548885345459,0.6015820061132267,2.2633655293782553,101.21659226057767
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,83,6.302466851802491,0.8739133123556773,0.42123654087384543,0.9952380952380953,6.5329443454742435,nan,1000.0,0.8257575757575758,1.0,30394,512,0,96,5741.872831619467,0.0,15.828956385130944,nan,0.6091542505345406,0.0,4.661938485667052,0.0,137.3067148844401,0.0,0.754916266600291,0.0,13.855659325917562,nan,6.4,0.0,0.6091542505345406,0.0,137.3067148844401,0.0,4.661938485667052,1.1507524087375511,0.754916266600291,0.6091542505345406,6.865335744222005,287.09364158097344
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,84,6.302466851802491,0.8738073128461837,0.4216277129451434,0.9312231218017679,6.169744508607047,nan,1000.0,0.8499535127629878,1.0,30661,790,0,57,6329.387360657868,0.0,11.700665722021656,nan,0.6048487567483661,0.0,4.700379265261049,0.0,136.45226723807198,0.0,0.7395208754709789,0.0,10.310525076729911,nan,4.071428571428571,0.0,0.6048487567483661,0.0,136.45226723807198,0.0,4.700379265261049,1.1565759771329926,0.7395208754709789,0.6048487567483661,6.367772471110026,295.3714101640339
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,85,6.302466851802491,0.8740029797951381,0.4212306093176206,0.992,6.727112690607707,nan,1000.0,0.49230769230769234,1.0,30150,301,0,47,6245.129020908345,0.0,12.186658486974217,nan,0.6002290721471661,0.0,4.736168896445694,0.0,135.42180887858072,0.0,0.7640263885259628,0.0,10.810608704884848,nan,3.9166666666666665,0.0,0.6002290721471661,0.0,135.42180887858072,0.0,4.736168896445694,1.1547080106112246,0.7640263885259628,0.6002290721471661,5.416872355143229,249.8051608363338
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,86,6.303139667233008,0.8737203117211659,0.4225290070970853,0.9830837710689224,6.315265265378085,nan,1000.0,0.8604855691812213,1.0,30299,416,0,39,5521.9582849993085,0.0,14.375638134868632,nan,0.6028144062590374,0.0,4.760794001418233,0.0,136.00382579456675,0.0,0.7282156402414496,0.0,12.837721087715842,nan,3.5454545454545454,0.0,0.6028144062590374,0.0,136.00382579456675,0.0,4.760794001418233,1.1620870768280132,0.7282156402414496,0.6028144062590374,4.986806945800781,202.47180378330796
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,87,6.722832188220414,0.8738479789098104,0.42245278318723045,0.9800355624802887,5.897772637280551,nan,1000.0,0.8745857248275044,1.0,30388,509,0,29,6540.148034890432,0.0,10.373871616281251,nan,0.6148175025577495,0.0,4.803815753265008,0.0,138.73024541681463,0.0,0.6720915897326036,0.0,9.326033462177623,nan,2.6363636363636362,0.0,0.6148175025577495,0.0,138.73024541681463,0.0,4.803815753265008,1.1415015869822964,0.6720915897326036,0.6148175025577495,5.086775665283203,239.80542794598253
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,88,6.722832188220414,0.8735229770342509,0.4239731922745705,1.0,6.2376245021820065,nan,1000.0,1.0,1.0,30189,289,0,52,5932.461340400618,0.0,17.69667466595747,nan,0.6002290721471661,0.0,4.8279938182333355,0.0,135.2835693359375,0.0,0.7303282439708709,0.0,16.015594482421875,nan,5.2,0.0,0.6002290721471661,0.0,135.2835693359375,0.0,4.8279938182333355,1.1445543397080413,0.7303282439708709,0.6002290721471661,4.509452311197917,197.7487113466873
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,89,6.722832188220414,0.8735813122987747,0.4240271163980166,0.9587544241731614,6.269547389103816,nan,1000.0,0.8591404238463062,1.0,30475,601,0,50,7194.035213895621,0.0,10.702050309801278,nan,0.6002290721471661,0.0,4.873145926669447,0.0,135.29766845703125,0.0,0.7231400746565598,0.0,9.75020353610699,nan,3.8461538461538463,0.0,0.6002290721471661,0.0,135.29766845703125,0.0,4.873145926669447,1.1322764600431594,0.7231400746565598,0.6002290721471661,5.862898966471354,311.741525935477
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,90,6.995101179598504,0.8730663140614827,0.4261164389053981,0.9843160870814324,6.12926667669545,nan,1000.0,0.7392942241478518,1.0,30680,841,0,215,6634.665271235566,0.0,12.836870876123436,nan,0.6002472321274324,0.0,4.952981467204258,0.0,135.521856556768,0.0,0.7066939939623293,0.0,11.773380030756412,nan,9.347826086956522,0.0,0.6002472321274324,0.0,135.521856556768,0.0,4.952981467204258,1.1103872650340258,0.7066939939623293,0.6002472321274324,10.390009002685547,508.65767079472676
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,91,6.995101179598504,0.873352978626887,0.42550634135802584,0.7961568525273579,7.078564596176148,nan,1000.0,0.4859165888577653,1.0,30129,266,0,15,6709.706529456952,0.0,10.344739379531983,nan,0.6002290721471661,0.0,4.980546586560049,0.0,135.40508880615235,0.0,0.7448537886142731,0.0,9.551175832748413,nan,1.5,0.0,0.6002290721471661,0.0,135.40508880615235,0.0,4.980546586560049,1.1090160566366185,0.7448537886142731,0.6002290721471661,4.513502960205078,223.65688431523174
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,92,6.995101179598504,0.8729696438709895,0.4271998804807663,0.8942307692307692,6.343718498945236,nan,1000.0,0.5902777777777778,1.0,30284,440,0,100,6323.584813135265,0.0,13.05148037539938,nan,0.6002290721471661,0.0,5.01434959083479,0.0,135.5672836303711,0.0,0.7362663894891739,0.0,12.130881428718567,nan,6.25,0.0,0.6002290721471661,0.0,135.5672836303711,0.0,5.01434959083479,1.1143519381602331,0.7362663894891739,0.6002290721471661,7.230255126953125,337.25785670054745
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,93,7.370550019512597,0.8725513104597727,0.4294066761930784,0.9733199781061851,6.364006012678146,nan,1000.0,0.8631567834738583,1.0,30408,540,0,94,6199.52345198539,0.0,15.38354453660645,nan,0.6002290721471661,0.0,5.0474890078047245,0.0,135.51895236968994,0.0,0.720612145960331,0.0,14.394092619419098,nan,5.875,0.0,0.6002290721471661,0.0,135.51895236968994,0.0,5.0474890078047245,1.123082978719946,0.720612145960331,0.6002290721471661,7.227677459716797,330.64125077255414
