algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,10,2.720432397537244,0.7274912318587303,0.8502961185574531,nan,0.7486379494269689,4.487560334205628,1000.0,0.0,nan,0,85,0,11457,0.9477494621979128,2.6499234411448906,214.19794273376465,219.89923263549804,214.19794273376465,219.89923263549804,0.9508373762170473,0.9225301939249039,0.9493215996035996,0.974934997340696,2938.4486953550622,1454.506753056394,0.9493215996035996,0.974934997340696,1.2881842579873082,1.1739720100441116,0.9280090034008026,0.9699775655206128,54.261347778320314,431.9468879883218
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,11,2.792561360056282,0.7321169815957547,0.8253606843948365,nan,0.8094026918212572,4.784610724449157,1000.0,0.0,nan,0,30,0,11860,1.0165114908740114,2.7062590729796154,219.63356971740723,217.76007293701173,219.63356971740723,217.76007293701173,0.9127181246876717,0.9227340251207352,0.9740242185940072,0.9650516330903378,3208.462608897884,1312.7808739201125,0.9740242185940072,0.9650516330903378,1.3544610072951322,1.1832883820900004,0.9207954637465938,0.9667882625426608,54.09442593383789,416.5623800111209
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,12,2.881397933603152,0.7359369803965091,0.8041301594674587,nan,0.7142854734607365,5.042692914009094,1000.0,0.0,nan,0,139,0,11939,1.0914083007786,2.766707089566057,223.1237454621688,216.45091690063475,223.1237454621688,216.45091690063475,0.8844773458397907,0.9185187613964081,0.9893798395956558,0.9591878124437101,3457.187021186941,1186.4795491658035,0.9893798395956558,0.9591878124437101,1.4264680585360916,1.1895497009666072,0.9121532934467967,0.9648334760574886,53.55387567138672,396.32651280775997
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,13,2.9804441599614195,0.7398704822361469,0.7854641565680504,nan,0.8363933950662613,5.287924637794495,1000.0,0.0,nan,0,84,0,10468,1.1365428868911618,2.83346548063881,218.64031600952148,214.9296208190918,218.64031600952148,214.9296208190918,0.8957557052373886,0.9149277609586716,0.9696318698511467,0.9527969753209337,3575.738915182119,1076.819850833909,0.9696318698511467,0.9527969753209337,1.4759274056406917,1.1995552694294886,0.9117324183384578,0.9556027910759691,51.731536804199216,358.3935267740665
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,14,3.072556102042159,0.7432717305421829,0.7691636723279953,nan,0.8036566555500031,5.4820737409591676,1000.0,0.0,nan,0,6,0,10892,1.1891602364540403,2.901898140159367,213.55604451497396,214.6217268371582,213.55604451497396,214.6217268371582,0.9119332432746887,0.90541672706604,0.9459197956228186,0.9515849826549169,3632.7976966392835,993.1985649185851,0.9459197956228186,0.9515849826549169,1.5317078171951055,1.2079168727185319,0.9062667074410812,0.9508460452159476,49.33102670288086,307.6236438828955
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,15,3.192133867688905,0.7460937310755252,0.7551221945881843,nan,0.8295187779835292,5.649510364532471,1000.0,0.0,nan,0,72,0,10896,1.2425354192271831,2.9755068761826875,219.09912036714098,214.52807891845703,219.09912036714098,214.52807891845703,0.8718209607260567,0.8944629263877869,0.9710326979386414,0.951544577491648,3896.904130525923,922.9967742529351,0.9710326979386414,0.951544577491648,1.589129710618284,1.2162720287076922,0.8905333290415361,0.9549268132717049,52.107778839111326,348.26932833267585
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,16,3.377983350726144,0.7487814824283123,0.7425151887536049,nan,1.0075760409235954,5.814887475967407,1000.0,0.0,nan,0,34,0,11776,1.2750763000379057,3.051701941670383,217.2116340637207,214.14330673217773,217.2116340637207,214.14330673217773,0.869214391708374,0.8858196020126343,0.963591932758088,0.9494419059328351,4016.120147908833,866.663191558129,0.963591932758088,0.9494419059328351,1.6304014283644013,1.231128011933934,0.8830520669619243,0.951800243737044,51.51712670898438,333.97744422797916
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,17,3.496516584352932,0.7515787309408188,0.7308819296956063,nan,0.7076476812362671,5.974072895050049,1000.0,0.0,nan,0,64,0,10738,1.3352442718620445,3.1319370729800937,217.7549116346571,213.35536483764648,217.7549116346571,213.35536483764648,0.8569696843624115,0.8785226583480835,0.9643344616064926,0.9461509757617641,4194.68880932672,817.1563659960765,0.9643344616064926,0.9461509757617641,1.6945828320856544,1.2371334238986482,0.8752349165536589,0.9489247278397737,50.51024978637695,314.44007033497724
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,18,3.530594170557086,0.753927730768919,0.7208000881969929,nan,0.8586372406709761,6.072014136314392,1000.0,0.0,nan,0,117,0,11039,1.3847144504626812,3.211373202518881,220.99596441359748,213.9175730895996,220.99596441359748,213.9175730895996,0.8276554984705788,0.8644489711523056,0.9792244396393218,0.948491947933901,4376.509872790797,779.9822264429395,0.9792244396393218,0.948491947933901,1.750046200873921,1.2454381465472797,0.8580633271331629,0.9538256861637676,52.06534512329102,339.8098599458013
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,19,3.5673579018905706,0.7563002303242683,0.7113134866952896,nan,0.8354871488279767,6.148204612731933,1000.0,0.0,nan,0,89,0,11181,1.4341603373317884,3.282685493451635,215.70317586263022,214.53926544189454,215.70317586263022,214.53926544189454,0.8430602120028602,0.8495484620332718,0.956741925106732,0.9513764074807746,4398.853468246802,744.1212901756917,0.956741925106732,0.9513764074807746,1.8038653685557575,1.2504868901063233,0.8485587289777853,0.9521948762711749,50.6731674194336,307.1829828920232
noise-game,scale,fashion_mnist,42,500,100,1.1,1.0,0.05,iid,1.0,50,20,3.6023802928376556,0.7582332296669483,0.7029242052137852,nan,0.7294574325734918,6.199561915397644,1000.0,0.0,nan,0,85,0,11181,1.493734611642655,3.348400843583073,211.93288629705256,215.53716278076172,211.93288629705256,215.53716278076172,0.8527568605813113,0.8333614110946655,0.9392832394998113,0.9551628904642986,4558.611496260951,722.9706280112197,0.9392832394998113,0.9551628904642986,1.8646678580307385,1.2518187356242303,0.8368589511660279,0.9522993468477516,52.432479553222656,345.1730314377258
