algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,balance_kept_honest,balance_kept_attacker,balance_threshold_honest,balance_threshold_attacker,balance_local_norm_honest,balance_local_norm_attacker
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,48,0.0,0.7874644801020623,0.600788816511631,nan,0.03293939241208136,0.03293595657373468,,nan,nan,0,0,0,50604,52.42857142857143,167.45666666666668,8.384901716588827,8.30636402638344,5.812159333910261,5.757719391187032
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,49,0.0,0.7879599797725677,0.5992862978577613,nan,0.03239651477895677,0.03257103178029259,,nan,nan,0,0,0,50428,54.2,167.19,8.341869003236885,8.264267100283314,5.821008014678955,5.76685692469279
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,50,0.0,0.7881364813446998,0.5984221309423446,nan,0.03200191066600382,0.3282743440071742,,nan,0.0,0,0,50267,399,57.0,167.55666666666667,8.322267233448445,8.080725183515684,5.8461746488298685,5.676497688293457
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,51,0.0,0.7877544808387756,0.5999613696336746,nan,0.03219811812974513,0.8958013422290484,,nan,0.0,0,0,50428,560,70.0,168.09333333333333,8.271558767533218,8.015906781524667,5.849419713020325,5.668629633585612
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,52,0.0,0.7771454806625843,0.7150922730565071,nan,0.034291114695370196,4.402101558446884,,nan,0.0,52,0,50193,375,53.57142857142857,167.31,8.235330471434276,10.554616958211737,5.86275509425572,7.513861714998881
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,53,0.0,0.7836484803259373,0.6268646922707558,0.9974464524019786,0.0484013347979635,19.738587040901184,,1.0,0.994930011840897,6296,0,44144,632,8.727272727272727,148.93333333333334,8.190218592890941,32.70632382852817,5.869640610434792,23.439467992782593
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,54,0.0,0.789525979757309,0.5945242556929589,1.0,0.03855750033631921,100.91654303232829,,1.0,1.0,6451,0,43867,514,8.727272727272727,147.61666666666667,8.151024216507873,160.44565176726528,5.880625161257657,115.75486855824788
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,55,0.0,0.7897979789972305,0.5935511714220048,1.0,0.03159329121001065,558.6616132609049,,1.0,1.0,1309,0,48868,325,6.0,163.81666666666666,8.097804420150261,876.3881934134052,5.881307601928711,636.5069192504883
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,56,0.0,0.7902674806118012,0.5922682827711105,1.0,0.031669680885970594,2929.579833577474,,1.0,1.0,914,0,49264,302,4.0,165.14,8.069074210286583,4610.8662549938435,5.8996414343516035,3371.1993343098957
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,57,0.0,0.7904284793138504,0.5914261746406555,1.0,0.031572357891127466,17308.900865885418,,1.0,1.0,757,0,49889,890,10.285714285714286,168.78333333333333,8.037415794913526,26872.3833896878,5.915802138192313,19778.957213541667
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,58,0.0,0.7910849782824516,0.589966271519661,1.0,0.030916193732991815,98865.5487890625,,1.0,1.0,1067,0,49900,1297,12.105263157894736,169.89,7.998138752191527,153463.09905700196,5.926270008087158,113709.42533854167
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,59,0.0,0.79132397711277,0.589383017718792,1.0,0.03065862731076777,605409.3471875,,1.0,1.0,791,0,49900,867,6.333333333333333,168.97,7.9485012824790156,928045.5712651819,5.928885261217753,692240.651875
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,60,0.0,0.7916519802808761,0.5886252400279045,1.0,0.03081535154953599,3566381.3341666665,,1.0,1.0,517,0,49900,569,5.777777777777778,168.05666666666667,7.8979919126530245,5464314.220369213,5.930615637037489,4103162.895
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,61,0.0,0.7919084787368774,0.5879902440309525,1.0,0.030906687369570137,22572658.366666667,,1.0,1.0,641,0,49900,757,8.923076923076923,168.47,7.88008675031112,34111546.06376948,5.956750209514912,25785751.553333335
balance,scale,fashion_mnist,42,500,300,1.0,0.1,0.05,iid,1.0,50,62,0.0,0.7922439789772033,0.58721266746521,1.0,0.030551697593182325,134880778.88,,1.0,1.0,459,0,49900,513,6.0,167.86333333333334,7.85218524594658,203999174.98603693,5.97536203596327,155239450.85333332
