algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,balance_local_norm_honest,balance_local_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_threshold_honest,balance_threshold_attacker,balance_kept_honest,balance_kept_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,106,6.434539277447951,0.8801699781417847,0.40418087273836134,1.0,3.0318800575203366,nan,1000.0,1.0,1.0,30362,462,0,182,4.279042331736933,0.0,8089.201186108356,0.0,9.337485684288872,nan,137.7891608344184,0.0,9.150887458119454,nan,10.11111111111111,0.0,0.610550832842893,0.0,0.610550832842893,0.0,0.6975369474126233,0.0,137.78917270236545,0.0,4.279042331736933,1.4456582090267656,0.6975369474126233,0.610550832842893,8.267349650065103,485.3520711665013
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,107,6.480461563992518,0.8798933118581772,0.4055382564663887,0.991788379496446,3.9382219091057777,nan,1000.0,0.9843300712559141,1.0,30398,502,0,132,4.332087726752145,0.0,7619.331316651413,0.0,10.532753467559814,nan,135.51004314422607,0.0,10.253683023609907,nan,8.25,0.0,0.6002290721471661,0.0,0.6002290721471661,0.0,0.7321181893348694,0.0,135.51007652282715,0.0,4.332087726752145,1.4605477895477104,0.7321181893348694,0.6002290721471661,7.2272023010253905,406.36433688807534
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,108,6.480461563992518,0.8797143103679022,0.4065174069007238,1.0,4.051540980736415,nan,1000.0,1.0,1.0,30405,505,0,64,4.374039976255585,0.0,7720.23316610153,0.0,11.315478444099426,nan,135.6893310546875,0.0,10.942475773971209,nan,5.333333333333333,0.0,0.6004479649794777,0.0,0.6004479649794777,0.0,0.7045790180563927,0.0,135.6893107096354,0.0,4.374039976255585,1.4692515433690212,0.7045790180563927,0.6004479649794777,5.4275732421875,308.8093266440612
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,109,6.480461563992518,0.8792456426223119,0.4082970142364502,0.992710063355914,3.765169817667741,nan,1000.0,0.7803226938536535,1.0,30918,1034,0,302,4.4882839117278746,0.0,7841.236637402916,0.0,10.012498011955849,nan,135.38893655630258,0.0,9.618111744586944,nan,11.615384615384615,0.0,0.600229072147166,0.0,0.600229072147166,0.0,0.7565944148943975,0.0,135.38894359882062,0.0,4.4882839117278746,1.4500490398206138,0.7565944148943975,0.600229072147166,11.733707834879556,679.5738419082528
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,110,6.480461563992518,0.8789703100919724,0.4096894183754921,0.996173093906388,3.8788766165574393,nan,1000.0,0.9925859201773836,1.0,30644,749,0,321,4.600559788991685,0.0,8215.90634630558,0.0,10.181555489699045,nan,135.87338256835938,0.0,9.715523611569989,nan,13.375,0.0,0.6020215694533629,0.0,0.6020215694533629,0.0,0.7325585124393305,0.0,135.87339210510254,0.0,4.600559788991685,1.420606092210124,0.7325585124393305,0.6020215694533629,10.86987060546875,657.2725077044464
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,111,6.510652249431037,0.878799311319987,0.41042117913564047,0.9986772486772486,4.110501417091915,nan,1000.0,0.8976470588235295,1.0,30322,425,0,99,4.653635812930335,0.0,8575.837532120058,0.0,9.928760494504656,nan,135.4213420322963,0.0,9.411347667232992,nan,7.071428571428571,0.0,0.6002290721471661,0.0,0.6002290721471661,0.0,0.769518107175827,0.0,135.4213627406529,0.0,4.653635812930335,1.407541207999175,0.769518107175827,0.6002290721471661,6.319662628173828,400.2057514989361
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,112,6.736119252691896,0.8788556438684464,0.4105831413467725,1.0,3.8079335540533066,nan,1000.0,1.0,1.0,30247,347,0,24,4.668830683108696,0.0,7131.750859403086,0.0,9.616946935653687,nan,135.1713161468506,0.0,9.055213735305674,nan,3.0,0.0,0.6002290721471661,0.0,0.6002290721471661,0.0,0.7687749341130257,0.0,135.17122077941895,0.0,4.668830683108696,1.4172599486768924,0.7687749341130257,0.6002290721471661,3.6045684305826824,190.1800229174156
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,113,6.8310391097127185,0.8784546448787054,0.4124512058496475,0.9759849010760152,4.227980948984623,nan,1000.0,0.960427807486631,1.0,30261,366,0,135,4.726066916213642,0.0,7737.278600085558,0.0,12.448646038770676,nan,135.5589780807495,0.0,11.643627628125884,nan,8.4375,0.0,0.6002290721471661,0.0,0.6002290721471661,0.0,0.706863034516573,0.0,135.55903434753418,0.0,4.726066916213642,1.4023382802067528,0.706863034516573,0.6002290721471661,7.22981216430664,412.65485867122976
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,114,6.8310391097127185,0.8783363105853399,0.4132167582710584,1.0,3.7297727425893146,nan,1000.0,0.9285714285714286,1.0,30662,763,0,107,4.774739445173985,0.0,8212.606450162106,0.0,10.53824421564738,nan,135.51789042154948,0.0,9.791272818290377,nan,7.133333333333334,0.0,0.6002290721471663,0.0,0.6002290721471663,0.0,0.7084854443868002,0.0,135.51785380045573,0.0,4.774739445173985,1.3968918985676801,0.7084854443868002,0.6002290721471663,6.775894521077474,410.6303225081052
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,115,6.926551802896705,0.8781699774662654,0.414252035121123,0.9779146081494451,3.5632129271825153,nan,1000.0,0.7843482043858263,1.0,30424,537,0,97,4.821442485788662,0.0,8156.676254715854,0.0,10.489528147379557,nan,135.61760355631512,0.0,9.681252538966866,nan,6.466666666666667,0.0,0.6002290721471663,0.0,0.6002290721471663,0.0,0.7050233205159505,0.0,135.61756998697916,0.0,4.821442485788662,1.3851216790527023,0.7050233205159505,0.6002290721471663,6.780880177815755,407.8338127357927
