algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,nsr_honest,nsr_attacker,balance_kept_honest,balance_kept_attacker,balance_local_norm_honest,balance_local_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,balance_threshold_honest,balance_threshold_attacker,sigma_n_honest,sigma_n_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,10,2.853288194129278,0.8382499796152115,0.724322436451912,nan,186.03974753931948,205.9351676940918,1000.0,0.0,nan,0,32034,0,0,2258.791388077431,2303.872105363572,0.0,0.0,5.331799758108039,5.331338860988617,0.92630404840329,0.9400238051691173,0.9386980869635325,2.8012311516913053,209.08681528191818,211.99573951721192,209.08681528191818,211.99573951721192,9.909587215004976,9.908730599901395,0.92630404840329,0.9400238051691173,0.9762757044089468,0.9611130282282829,1.6837113128546417,1.2375764674575658,0.9624285115498931,0.9388335066369223,92.74359478759766,1007.3829148923713
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,11,2.948561673305159,0.8436643135547638,0.682553885380427,nan,184.82039642333984,204.449306640625,1000.0,0.0,nan,0,31680,0,0,2508.083516026569,2514.252311057274,0.0,0.0,5.3645004166497126,5.36353312253952,0.9318965022097339,0.936881073983619,1.0072283599135976,2.8808204791106804,210.21500651041666,211.35014801025392,210.21500651041666,211.35014801025392,9.904116049614535,9.902330199604771,0.9318965022097339,0.936881073983619,0.959744370645947,0.9541802024841308,1.7566652075924307,1.2515356005406195,0.9546396292130882,0.9364695038371512,92.10779943847656,1095.9919309998663
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,12,3.0796909905048615,0.8478933131694794,0.6483106152216593,nan,183.11062483354047,203.38026435852052,1000.0,0.0,nan,0,30700,0,0,2702.070345179326,2721.3695191769384,0.0,0.0,5.393007408488881,5.393828914165497,0.930824977815123,0.931986483350882,1.0506797799427716,2.966899472854146,209.7604619806463,210.1672632598877,209.7604619806463,210.1672632598877,9.890589049483692,9.892095662479708,0.930824977815123,0.931986483350882,0.9504977681420066,0.9491881743073464,1.8171676571073212,1.2723599903343208,0.9492564469717125,0.9319259309295866,88.68163546752929,1147.9933552647203
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,13,3.173681940814347,0.8514566439390182,0.619619019428889,nan,177.59840034036074,202.4332376861572,1000.0,0.0,nan,0,30976,0,0,2955.136233926654,2922.289248775624,0.0,0.0,5.422438116634593,5.42242546081543,0.9423407161836479,0.9265906414687435,1.10344652403699,3.061134064368556,212.48452489516313,209.10880561828614,212.48452489516313,209.10880561828614,9.87848735728604,9.878464301172368,0.9423407161836479,0.9265906414687435,0.9268356456476099,0.9447722777724266,1.8865215401696165,1.293223462890564,0.9433671038271645,0.9278245182897268,90.86799609375,1269.3903314637555
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,14,3.322246324587,0.8548349799712499,0.5951393409570058,nan,182.0910118950738,200.45674026489257,1000.0,0.0,nan,0,30632,0,0,3104.998158247992,3122.0066511809673,0.0,0.0,5.448548634847005,5.44948178768158,0.9192495827529,0.9253916751784911,1.1399152117174702,3.1584047563582875,207.82560390896268,208.69998649597167,207.82560390896268,208.69998649597167,9.860101357596632,9.86179006079957,0.9192495827529,0.9253916751784911,0.9426112903489007,0.9355462023615837,1.9473110295737974,1.3192899809894414,0.935850440600272,0.9251271831601644,87.22085546875,1304.692627320851
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,15,3.459770694432371,0.8576386445760726,0.5742580231030782,nan,175.1023292541504,198.7750991821289,1000.0,0.0,nan,0,31250,0,0,3332.7881238202012,3322.6011006582903,0.0,0.0,5.475806564092636,5.475149343013763,0.9298213484130426,0.9229485046606051,1.194469034007685,3.2622530539245007,209.3787431716919,208.20601211547853,209.3787431716919,208.20601211547853,9.843586204928638,9.842404751151946,0.9298213484130426,0.9229485046606051,0.9197017177939415,0.9276868230104447,2.0215826419744114,1.342259498203487,0.9270953337351481,0.9234576041978225,89.98252462768555,1435.6896602255626
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,16,3.5066759132394645,0.8599886453151703,0.5561294607321421,nan,180.8147527521307,197.5950493621826,1000.0,0.0,nan,0,31002,0,0,3463.9187092747075,3502.546816943007,0.0,0.0,5.499885689128529,5.499593141078949,0.9110962098646822,0.9184479037344749,1.2257617226722646,3.3688967728038746,205.7634180242365,207.19570747375488,205.7634180242365,207.19570747375488,9.821178795668649,9.820656390865413,0.9110962098646822,0.9184479037344749,0.9308186932043596,0.9221914005279541,2.0830157427249087,1.373967221446936,0.9226411646011317,0.9180646400730167,87.40507818603515,1477.2249383812464
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,17,3.5466037244899726,0.8620866443713506,0.5404498293002447,nan,168.99464797973633,195.03390449523926,1000.0,0.0,nan,0,31054,0,0,3679.594701853766,3688.299878278898,0.0,0.0,5.522235065698624,5.5229559946060185,0.9165192158782127,0.9193954040383734,1.29852689734012,3.452505967427643,206.89512062072754,207.39732925415038,206.89512062072754,207.39732925415038,9.795566272248447,9.796845085411226,0.9165192158782127,0.9193954040383734,0.913645327091217,0.9102361673116683,2.160118525375129,1.3804797385610719,0.9104886976657091,0.9191823530635467,89.57957556152344,1593.0669817708797
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,18,3.5858465995496664,0.8641679767767588,0.5265881576140722,nan,165.93482208251953,192.68632499694823,1000.0,0.0,nan,0,30858,0,0,3904.9123181536434,3869.0847949066556,0.0,0.0,5.547751545906067,5.545331120491028,0.9301199901818107,0.9193982173400762,1.3642814074767857,3.5107003916906137,209.6867847442627,207.37906379699706,209.6867847442627,207.37906379699706,9.775441124719991,9.771176202986258,0.9301199901818107,0.9193982173400762,0.8864441979676485,0.8992804905772209,2.222849001162317,1.378800675693654,0.898329654087623,0.9201924227357603,89.66160263061523,1672.5911121435788
noise-game,scale,mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,19,3.6362961249888444,0.8657583129405976,0.5144076044360797,nan,169.264028375799,191.68033103942872,1000.0,0.0,nan,0,31020,0,0,3977.542973126144,4040.2541027907246,0.0,0.0,5.566530791195956,5.566816489696503,0.8904152096244368,0.9141216003278959,1.4124784540038742,3.558815245865918,200.9033563787287,206.17923446655274,200.9033563787287,206.17923446655274,9.743358456171459,9.743858527581397,0.8904152096244368,0.9141216003278959,0.9232657660137523,0.894598822593689,2.2710131707486916,1.3793231178766703,0.8960933077956827,0.912885722139564,86.89156762695312,1703.607586525065
