algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,noise_norm_honest,noise_norm_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,sigma_n_honest,sigma_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,31,3.990524242611567,0.7743486477931341,0.6428992408514023,nan,0.9046028479933739,5.999738075733185,1000.0,0.0,nan,0,603,0,30285,212.76964950561523,221.75956100463867,2.0155132274816054,3.7548208911070264,0.7122881611188253,0.6598213858902454,212.76964950561523,221.75956100463867,0.94446832872138,0.9829499253156858,5401.552327405611,575.95382204318,0.94446832872138,0.9829499253156858,2.7112362929317744,1.20799187448319,0.6627912033560142,0.980771721734876,93.81029598999024,360.01878467500666
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,32,4.024774440185425,0.7752549803256988,0.6395173798004786,nan,0.874622140939419,5.958907375335693,1000.0,0.0,nan,0,960,0,29896,194.8383589524489,221.51269638061524,2.0659216502649675,3.777441941543525,0.8101611733436584,0.6475478382408619,194.8383589524489,221.51269638061524,0.8640003182493926,0.9820818349496299,5201.259132530792,569.2744168201406,0.8640003182493926,0.9820818349496299,2.7505297667763906,1.1928402468340953,0.6574725957823472,0.9748749818176906,93.67087588500976,362.94250417385683
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,33,4.070160492914013,0.7763263138135275,0.6360238426923752,nan,0.8574719478686651,5.851480841636658,1000.0,0.0,nan,0,886,0,29924,206.85572560628256,222.39356353759766,2.1041139151839396,3.79914267947416,0.7236552884181341,0.6287988346815109,206.85572560628256,222.39356353759766,0.9175945051965302,0.985789061056976,5436.440631679451,565.3519239382491,0.9175945051965302,0.985789061056976,2.7821254209000275,1.1821911884935374,0.6341680679118858,0.981928991857328,93.92196282958984,356.61534473560647
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,34,4.105108389112385,0.7771949803829193,0.6330687377850215,nan,0.8710419943799144,5.844397228360176,1000.0,0.0,nan,0,2648,0,29708,220.07611747409987,221.32989334106446,2.1392568433796804,3.8216250603195476,0.6301848823609559,0.621444436982274,220.07611747409987,221.32989334106446,0.9749937484070448,0.9812149380353179,5702.338441434781,557.4023784041018,0.9749937484070448,0.9812149380353179,2.8122041301556275,1.1766709811804552,0.6223459178957704,0.9805732906745542,98.65545874023438,485.26851966764065
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,35,4.15651548083593,0.7780219805240631,0.6300180747111639,nan,0.8458156610528628,5.669986696243286,1000.0,0.0,nan,0,2647,0,28127,207.68158721923828,222.99792778015137,2.168011841774894,3.8439027270604162,0.692444235086441,0.5969774354994297,207.68158721923828,222.99792778015137,0.921418974177627,0.9886932908101573,5712.461496400873,553.9775090958835,0.921418974177627,0.9886932908101573,2.8383681958891027,1.17121807783863,0.6023812166081285,0.9848853106234103,94.18352920532226,358.6900795519743
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,36,4.198748468513161,0.7785939798752467,0.6274741252263387,nan,0.6743755886952082,5.5081120193004605,1000.0,0.0,nan,0,2878,0,28052,197.7399139404297,224.40464401245117,2.209248328174425,3.864835107182129,0.7423594519495964,0.5745811726152897,197.7399139404297,224.40464401245117,0.8774260370817636,0.9944809706022418,5775.5604597093925,552.1638821608292,0.8774260370817636,0.9944809706022418,2.8714830397775066,1.1599136569655113,0.5840780563511938,0.9878552196482525,94.50761553955078,359.4790038973571
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,37,4.228702341932146,0.7795159808794657,0.6250894321997961,nan,0.9218354631553997,5.433784492909909,1000.0,0.0,nan,0,2682,0,27586,200.21592018821022,224.19554626464844,2.2516164883901038,3.8859444396864933,0.7144810313528235,0.5618479680642485,200.21592018821022,224.19554626464844,0.8879520843301301,0.9933809811338926,5602.954811918712,547.2112377026634,0.8879520843301301,0.9933809811338926,2.905347668908659,1.147376701242389,0.5698051419797667,0.9878846879355923,94.08296875,342.149500943277
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,38,4.261989753954521,0.7802553155024846,0.6224066245555878,nan,0.7942555708189806,5.331061634421348,1000.0,0.0,nan,0,5958,0,25444,220.65313911437988,224.12955940246582,2.2750105470585034,3.906785317970657,0.5707340482622385,0.5466712948679924,220.65313911437988,224.12955940246582,0.9774198278946246,0.993875416340343,6117.058129695867,541.7571786835131,0.9774198278946246,0.993875416340343,2.927720455423365,1.1467152762022943,0.5492494470173759,0.9921123175783019,100.24317443847656,510.3216616988069
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,39,4.308920523007463,0.7810163150231043,0.6199849883715312,nan,0.801031986108193,5.136121110916138,1000.0,0.0,nan,0,5143,0,25515,197.6104724590595,225.58450187683104,2.3090323812857227,3.9268782427004023,0.7048624134980715,0.5225512968003749,197.6104724590595,225.58450187683104,0.876881806362092,1.0003168012197046,5342.864527696631,547.0575210845293,0.876881806362092,1.0003168012197046,2.9561707258515946,1.1397354744388781,0.5336782663640841,0.9927832099842636,95.37167303466796,357.7374861539241
noise-game,scale,fashion_mnist,42,500,200,1.1,1.0,0.05,iid,1.0,50,40,4.361228121837528,0.7817119803031286,0.6179306598504385,nan,0.9381233215332031,5.21177286863327,1000.0,0.0,nan,0,4132,0,26934,200.2851328531901,222.8154360961914,2.3438484482714688,3.9479767555598055,0.6740261574586233,0.526414248868823,200.2851328531901,222.8154360961914,0.8888268471743891,0.9877740685357126,5713.731968466684,542.8812016551532,0.8888268471743891,0.9877740685357126,2.9854997711868037,1.1333209159018012,0.5367127541192742,0.980870774022132,95.13472842407226,388.56443971606177
